,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1272,Alabama,US,2020-04-12 23:18:15,32.3182,-86.9023,3563,93,,3470.0,1.0,75.98802021,21583.0,437.0,2.610159978,84000001,USA,460.3001516,12.26494527
1331,Alabama,US,2020-04-13 23:07:54,32.3182,-86.9023,3734,99,,3635.0,1.0,79.63493333293523,29182.0,457.0,2.6513122656668453,84000001,USA,622.3638523089759,12.23888591322978
583,Alabama,US,2020-04-14 23:33:31,32.3182,-86.9023,3953,114,,3839.0,1.0,84.30554137,33117.0,493.0,2.8838856560000004,84000001,USA,706.2855081,12.4715406
524,Alabama,US,2020-04-15 22:56:51,32.3182,-86.9023,4075,118,,3957.0,1.0,86.90743260088672,34077.0,525.0,2.8957055214723932,84000001,USA,726.7594063166669,12.883435582822086
1738,Alabama,US,2020-04-16 23:30:51,32.3182,-86.9023,4345,133,,4212.0,1.0,92.66571647873691,36391.0,553.0,3.0609896432681243,84000001,USA,776.1100318475752,12.727272727272727
1797,Alabama,US,2020-04-17 23:30:52,32.3182,-86.9023,4571,148,,4423.0,1.0,97.48561335427073,37848.0,594.0,3.2378035440822583,84000001,USA,807.1834378106407,12.994968278276088
874,Alabama,US,2020-04-18 22:32:47,32.3182,-86.9023,4712,153,,4559.0,1.0,100.49271715714805,42538.0,620.0,3.247028862478777,84000001,USA,907.2069614666307,13.157894736842106
1014,Alabama,US,2020-04-19 23:41:01,32.3182,-86.9023,4888,157,,4731.0,1.0,104.24626516641335,45712.0,641.0,3.211947626841244,84000001,USA,974.8987874973583,13.113747954173489
349,Alabama,US,2020-04-20 23:36:47,32.3182,-86.9023,5079,163,,4916.0,1.0,108.3197178355592,45900.0,641.0,3.2092931679464463,84000001,USA,978.908259234528,12.620594605237253
290,Alabama,US,2020-04-21 23:40:34,32.3182,-86.9023,5317,183,,5134.0,1.0,113.39553843899748,48526.0,699.0,3.4417904833552755,84000001,USA,1034.912901690952,13.14651119052097
