,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
292,American Samoa,US,2020-04-21 23:40:34,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
2208,American Samoa,US,2020-04-22 23:40:26,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
2267,American Samoa,US,2020-04-24 03:33:00,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3545,American Samoa,US,2020-04-25 06:32:46,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3486,American Samoa,US,2020-04-26 02:32:45,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1156,American Samoa,US,2020-04-27 02:32:46,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1215,American Samoa,US,2020-04-28 02:32:46,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1974,American Samoa,US,2020-04-29 02:32:33,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
2033,American Samoa,US,2020-04-30 02:32:31,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1566,American Samoa,US,2020-05-01 02:32:32,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
118,American Samoa,US,2020-05-02 02:32:31,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,57.0,,,16,ASM,102.44244352186337,
2384,American Samoa,US,2020-05-03 02:32:33,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,57.0,,,16,ASM,102.44244352186337,
2326,American Samoa,US,2020-05-04 02:32:32,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,57.0,,,16,ASM,102.44244352186337,
2790,American Samoa,US,2020-05-05 02:32:38,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,83.0,,,16,ASM,149.17057565464316,
2848,American Samoa,US,2020-05-06 02:32:35,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.17057565464316,
1682,American Samoa,US,2020-05-07 02:32:32,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.17057565464316,
1624,American Samoa,US,2020-05-08 02:32:36,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.17057565464316,
2616,American Samoa,US,2020-05-09 02:32:39,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.17057565464316,
2558,American Samoa,US,2020-05-10 02:32:34,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.17057565464316,
1392,American Samoa,US,2020-05-11 02:32:34,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.17057565464316,
1450,American Samoa,US,2020-05-12 03:32:31,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
3196,American Samoa,US,2020-05-13 03:32:30,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
3138,American Samoa,US,2020-05-14 03:32:32,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
1858,American Samoa,US,2020-05-15 02:33:07,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
1916,American Samoa,US,2020-05-16 02:32:24,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
702,American Samoa,US,2020-05-17 02:32:37,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
644,American Samoa,US,2020-05-18 02:32:26,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
3428,American Samoa,US,2020-05-19 02:32:23,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.70976438237992,
3370,American Samoa,US,2020-05-20 02:32:25,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
2092,American Samoa,US,2020-05-21 02:32:54,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
2150,American Samoa,US,2020-05-22 02:36:57,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
234,American Samoa,US,2020-05-23 02:32:47,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
176,American Samoa,US,2020-05-24 02:32:48,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
760,American Samoa,US,2020-05-25 02:32:50,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
818,American Samoa,US,2020-05-26 02:32:41,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
3312,American Samoa,US,2020-05-27 02:32:37,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16,ASM,222.85724555633442,
3254,American Samoa,US,2020-05-28 02:32:37,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
468,American Samoa,US,2020-05-29 02:32:58,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
410,American Samoa,US,2020-05-30 02:32:55,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
3022,American Samoa,US,2020-05-31 02:32:52,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
3080,American Samoa,US,2020-06-01 02:32:54,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
1508,American Samoa,US,2020-06-02 02:33:16,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
2964,American Samoa,US,2020-06-03 02:33:21,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
2906,American Samoa,US,2020-06-04 02:33:23,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
2442,American Samoa,US,2020-06-05 02:33:15,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
2500,American Samoa,US,2020-06-06 02:33:09,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
60,American Samoa,US,2020-06-07 03:53:50,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
2,American Samoa,US,2020-06-08 03:33:42,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
2732,American Samoa,US,2020-06-09 03:33:19,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
2674,American Samoa,US,2020-06-10 04:07:14,-14.271,-170.132,0,0,,0.0,60.0,0.0,174.0,,,16,ASM,312.7190381193724,
351,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
526,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
585,American Samoa,US,,-14.270999999999999,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.391707554,
876,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1016,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1327,American Samoa,US,,-14.270999999999999,-170.1322,0,0,,0.0,60.0,0.0,3.0,,,16,ASM,5.391707554,
1333,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1740,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
1799,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
