,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1274,Arizona,US,2020-04-12 23:18:15,33.7298,-111.4312,3542,115,,3427.0,4.0,48.66242224,42109.0,,3.246753247,84000004,USA,578.5222863,
1334,Arizona,US,2020-04-13 23:07:54,33.7298,-111.4312,3705,122,,3583.0,4.0,50.90182789082197,43347.0,525.0,3.292847503373819,84000004,USA,595.5307782951309,14.170040485829961
586,Arizona,US,2020-04-14 23:33:31,33.7298,-111.4312,3809,131,249.0,3678.0,4.0,52.33065113,44096.0,580.0,3.439222893,84000004,USA,605.8210534,15.22709373
527,Arizona,US,2020-04-15 22:56:51,33.7298,-111.4312,3964,142,385.0,3822.0,4.0,54.46014730343274,45310.0,590.0,3.5822401614530777,84000004,USA,622.4998169320227,14.883955600403633
1741,Arizona,US,2020-04-16 23:30:51,33.7298,-111.4312,4237,150,460.0,4087.0,4.0,58.21080830591436,47398.0,578.0,3.5402407363700727,84000004,USA,651.186191192761,13.641727637479349
1800,Arizona,US,2020-04-17 23:30:52,33.7298,-111.4312,4511,169,539.0,4342.0,4.0,61.975207993386746,49230.0,566.0,3.746397694524496,84000004,USA,676.3554620958612,12.547107071602747
877,Arizona,US,2020-04-18 22:32:47,33.7298,-111.4312,4724,180,539.0,4544.0,4.0,64.90154789642186,51045.0,566.0,3.8103302286198137,84000004,USA,701.2911753541182,11.981371718882304
1017,Arizona,US,2020-04-19 23:41:01,33.7298,-111.4312,4933,184,994.0,4749.0,4.0,67.77293305949387,52990.0,631.0,3.729981755524022,84000004,USA,728.0129176611757,12.791404824650314
352,Arizona,US,2020-04-20 23:36:47,33.7298,-111.4312,5068,191,1155.0,4877.0,4.0,69.62765553324851,54500.0,637.0,3.768745067087608,84000004,USA,748.7583319972463,12.569060773480663
293,Arizona,US,2020-04-21 23:40:34,33.7298,-111.4312,5256,208,1155.0,5048.0,4.0,72.21052831151424,55152.0,637.0,3.9573820395738197,84000004,USA,757.7159546112317,12.119482496194825
2209,Arizona,US,2020-04-22 23:40:26,33.7298,-111.4312,5473,231,1265.0,5242.0,4.0,75.19182295451245,56601.0,664.0,4.220719897679517,84000004,USA,777.6233091628649,12.132285766490044
2268,Arizona,US,2020-04-24 03:33:00,33.7298,-111.4312,5772,249,1282.0,5523.0,4.0,79.29968976675424,58697.0,699.0,4.3139293139293144,84000004,USA,806.4195929035295,12.110187110187109
3546,Arizona,US,2020-04-25 06:32:46,33.7298,-111.4312,6045,266,1313.0,5779.0,4.0,83.05035076923583,60714.0,984.0,4.400330851943755,84000004,USA,834.1305205299229,16.277915632754343
3487,Arizona,US,2020-04-26 02:32:45,33.7298,-111.4312,6286,273,1345.0,6013.0,4.0,86.36137385201265,62508.0,1022.0,4.342984409799555,84000004,USA,858.7777214033737,16.258351893095767
1157,Arizona,US,2020-04-27 02:32:46,33.7298,-111.4312,6534,275,1383.0,6259.0,4.0,89.76856772972491,64811.0,1037.0,4.2087542087542085,84000004,USA,890.4179129371289,15.870829507193143
1216,Arizona,US,2020-04-28 02:32:46,33.7298,-111.4312,6725,275,1418.0,6450.0,4.0,92.39265656296296,66543.0,1051.0,4.089219330855019,84000004,USA,914.2133153411514,15.628252788104088
1975,Arizona,US,2020-04-29 02:32:33,33.7298,-111.4312,6955,275,1450.0,6680.0,4.0,95.55255411084124,67438.0,1095.0,3.9539899352983454,84000004,USA,926.5094384078952,15.744069015097054
2034,Arizona,US,2020-04-30 02:32:31,33.7298,-111.4312,7209,308,1475.0,6901.0,4.0,99.04218009849812,68813.0,1131.0,4.2724372312387295,84000004,USA,945.4001302702112,15.688722430295465
