,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1275,Arkansas,US,2020-04-12 23:18:15,34.9697,-92.3731,1280,27,367.0,1253.0,5.0,49.43942261,19722.0,130.0,2.109375,84000005,USA,761.7533537,10.15625
1335,Arkansas,US,2020-04-13 23:07:54,34.9697,-92.3731,1410,29,391.0,1381.0,5.0,54.46061396810462,20804.0,130.0,2.0567375886524824,84000005,USA,803.5451155974812,9.21985815602837
587,Arkansas,US,2020-04-14 23:33:31,34.9697,-92.3731,1498,32,427.0,1466.0,5.0,57.85957427,21131.0,130.0,2.136181575,84000005,USA,816.1753431,8.67823765
528,Arkansas,US,2020-04-15 22:56:51,34.9697,-92.3731,1569,33,489.0,1536.0,5.0,60.601917245358976,21834.0,130.0,2.103250478011472,84000005,USA,843.3284009784372,8.2855321861058
1742,Arkansas,US,2020-04-16 23:30:51,34.9697,-92.3731,1620,37,548.0,1583.0,5.0,62.57176923994999,22675.0,85.0,2.2839506172839505,84000005,USA,875.811646614732,5.246913580246914
1801,Arkansas,US,2020-04-17 23:30:52,34.9697,-92.3731,1695,37,593.0,1658.0,5.0,65.46861040846619,23494.0,83.0,2.1828908554572277,84000005,USA,907.445152174929,4.896755162241887
878,Arkansas,US,2020-04-18 22:32:47,34.9697,-92.3731,1744,38,703.0,1706.0,5.0,67.36121330523011,24141.0,291.0,2.1788990825688077,84000005,USA,932.4352353219957,16.68577981651376
1018,Arkansas,US,2020-04-19 23:41:01,34.9697,-92.3731,1781,39,721.0,1742.0,5.0,68.79032161503143,24209.0,291.0,2.18978102189781,84000005,USA,935.0617046481168,16.339135317237506
353,Arkansas,US,2020-04-20 23:36:47,34.9697,-92.3731,1973,41,749.0,1932.0,5.0,76.20623500643292,26553.0,291.0,2.078053725291434,84000005,USA,1025.5976473014766,14.749113025848963
294,Arkansas,US,2020-04-21 23:40:34,34.9697,-92.3731,1990,42,809.0,1948.0,5.0,76.86285233796326,27441.0,291.0,2.1105527638190957,84000005,USA,1059.8962467367085,14.623115577889447
2210,Arkansas,US,2020-04-22 23:40:26,34.9697,-92.3731,2276,42,863.0,2234.0,5.0,87.90947332723837,29713.0,291.0,1.845342706502636,84000005,USA,1147.6512218682926,12.785588752196837
2269,Arkansas,US,2020-04-24 03:33:00,34.9697,-92.3731,2599,45,902.0,2554.0,5.0,100.38520262631481,31590.0,291.0,1.7314351673720665,84000005,USA,1220.1495001790247,11.196614082339359
3547,Arkansas,US,2020-04-25 06:32:46,34.9697,-92.3731,2810,47,929.0,2763.0,5.0,108.53498244707373,35578.0,291.0,1.6725978647686832,84000005,USA,1374.1842012462594,10.355871886120996
3488,Arkansas,US,2020-04-26 02:32:45,34.9697,-92.3731,2911,48,964.0,2863.0,5.0,112.43606188734225,38053.0,291.0,1.6489178976296806,84000005,USA,1469.7799598072945,9.996564754379936
1158,Arkansas,US,2020-04-27 02:32:46,34.9697,-92.3731,3001,51,985.0,2950.0,5.0,115.91227128956169,39469.0,291.0,1.6994335221592802,84000005,USA,1524.4723210688805,9.696767744085305
1217,Arkansas,US,2020-04-28 02:32:46,34.9697,-92.3731,3069,51,987.0,3018.0,5.0,118.53874061568304,40457.0,109.0,1.66177908113392,84000005,USA,1562.6333753954668,3.551645487129358
1976,Arkansas,US,2020-04-29 02:32:33,34.9697,-92.3731,3127,57,1146.0,3070.0,5.0,120.77896445266892,40671.0,,1.8228333866325552,84000005,USA,1570.8990288629666,
