,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1276,California,US,2020-04-12 23:18:15,36.1162,-119.6816,22795,640,,22155.0,6.0,58.13772584,190328.0,5234.0,2.81202018,84000006,USA,485.42386849999997,22.9611757
1336,California,US,2020-04-13 23:07:54,36.1162,-119.6816,23931,714,,23217.0,6.0,61.035047905282056,190882.0,3015.0,2.9877564665078773,84000006,USA,486.83682312715933,12.59872132380594
588,California,US,2020-04-14 23:33:31,36.1162,-119.6816,25356,767,,24589.0,6.0,64.66945279,202208.0,5163.0,3.0288689069999997,84000006,USA,515.7233282,20.36204449
529,California,US,2020-04-15 22:56:51,36.1162,-119.6816,26686,860,,25826.0,6.0,68.06156401321954,216486.0,5163.0,3.2264108521322044,84000006,USA,552.13878988855,19.347223263134232
1743,California,US,2020-04-16 23:30:51,36.1162,-119.6816,27677,956,,26721.0,6.0,70.58906944442319,246400.0,5031.0,3.4577446977634865,84000006,USA,628.4332373850444,18.177548144668854
1802,California,US,2020-04-17 23:30:52,36.1162,-119.6816,29157,1037,,28120.0,6.0,74.36374960404116,258800.0,4892.0,3.5566073327159864,84000006,USA,660.0589360196814,16.778132180951406
879,California,US,2020-04-18 22:32:47,36.1162,-119.6816,30491,1140,,29351.0,6.0,77.76606266683194,251614.0,4892.0,3.73880817290348,84000006,USA,641.7313335689958,16.044078580564758
1019,California,US,2020-04-19 23:41:01,36.1162,-119.6816,31431,1177,,30254.0,6.0,80.1634946601028,280900.0,4731.0,3.744710635996309,84000006,USA,716.4240924572199,15.05201870764532
354,California,US,2020-04-20 23:36:47,36.1162,-119.6816,33686,1225,,32461.0,6.0,85.91478098438557,290500.0,4674.0,3.6365255595796473,84000006,USA,740.9085043033904,13.875200379979816
295,California,US,2020-04-21 23:40:34,36.1162,-119.6816,35465,1282,,34183.0,6.0,90.45204855462906,300100.0,4886.0,3.614831524037784,84000006,USA,765.392916149561,13.776963203158045
2211,California,US,2020-04-22 23:40:26,36.1162,-119.6816,37344,1421,,35923.0,6.0,95.24436208160348,465327.0,4984.0,3.805162810625536,84000006,USA,1186.7976990773966,13.346186803770351
2270,California,US,2020-04-24 03:33:00,36.1162,-119.6816,39561,1533,,38028.0,6.0,100.89873094232848,482097.0,4929.0,3.875028437097141,84000006,USA,1229.568906021176,12.459240160764391
3548,California,US,2020-04-25 06:32:46,36.1162,-119.6816,41355,1621,,39734.0,6.0,105.47425540608162,494173.0,4880.0,3.9197195018740176,84000006,USA,1260.3682557560044,11.800265989602226
