,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1277,Colorado,US,2020-04-12 23:18:15,39.0598,-105.3111,7307,289,,7018.0,8.0,128.943729,34873.0,1376.0,3.955111537,84000008,USA,615.3899908,18.8312577
1337,Colorado,US,2020-04-13 23:07:54,39.0598,-105.3111,7691,306,,7385.0,8.0,135.7200246417166,37534.0,1472.0,3.9786763749837473,84000008,USA,662.3476017295789,19.139253673124433
589,Colorado,US,2020-04-14 23:33:31,39.0598,-105.3111,7950,327,,7623.0,8.0,140.290495,38742.0,1493.0,4.11320755,84000008,USA,683.6646982999999,18.7798742
530,Colorado,US,2020-04-15 22:56:51,39.0598,-105.3111,7956,328,,7628.0,8.0,140.39637447009457,39580.0,1556.0,4.122674710910005,84000008,USA,698.4525517252819,19.55756661639015
1744,Colorado,US,2020-04-16 23:30:51,39.0598,-105.3111,8286,355,,7931.0,8.0,146.21975350165957,40533.0,1636.0,4.284335022930244,84000008,USA,715.2697645043165,19.744146753560226
1803,Colorado,US,2020-04-17 23:30:52,39.0598,-105.3111,8691,372,,8319.0,8.0,153.3666277676712,41830.0,1693.0,4.280289955125991,84000008,USA,738.1574087586798,19.479921758140605
880,Colorado,US,2020-04-18 22:32:47,39.0598,-105.3111,9047,389,,8658.0,8.0,159.648818480511,43307.0,1755.0,4.299767878854868,84000008,USA,764.2214415757146,19.39869570023212
1020,Colorado,US,2020-04-19 23:41:01,39.0598,-105.3111,9730,420,,9310.0,8.0,171.70144841553798,44606.0,1797.0,4.316546762589929,84000008,USA,787.1443790363296,18.468653648509765
355,Colorado,US,2020-04-20 23:36:47,39.0598,-105.3111,9730,420,,9310.0,8.0,171.70144841553798,46195.0,1813.0,4.316546762589929,84000008,USA,815.1848314034713,18.633093525179856
296,Colorado,US,2020-04-21 23:40:34,39.0598,-105.3111,10473,483,,9990.0,8.0,184.81287453812226,47466.0,1880.0,4.611859066170153,84000008,USA,837.6136639765598,17.95092141697699
2212,Colorado,US,2020-04-22 23:40:26,39.0598,-105.3111,10891,506,,10385.0,8.0,192.18915464477124,48704.0,2003.0,4.646038013038289,84000008,USA,859.4601586464914,18.39133229271876
2271,Colorado,US,2020-04-24 03:33:00,39.0598,-105.3111,11278,552,,10726.0,8.0,199.0183900545157,50645.0,2123.0,4.894484837737188,84000008,USA,893.7122153139693,18.82425962050009
3549,Colorado,US,2020-04-25 06:32:46,39.0598,-105.3111,12256,674,,11582.0,8.0,216.27676791169918,56789.0,2366.0,5.499347258485639,84000008,USA,1002.132944919834,19.304830287206265
3490,Colorado,US,2020-04-26 02:32:45,39.0598,-105.3111,12968,684,2086.0,12284.0,8.0,228.84114933737888,56789.0,2366.0,5.27452190006169,84000008,USA,1002.132944919834,18.2449105490438
1160,Colorado,US,2020-04-27 02:32:46,39.0598,-105.3111,13441,688,2150.0,12753.0,8.0,237.18799261595538,59791.0,2410.0,5.118666765865635,84000008,USA,1055.1080475039498,17.930213525779333
1219,Colorado,US,2020-04-28 02:32:46,39.0598,-105.3111,13879,706,2150.0,13173.0,8.0,244.9172047851235,63274.0,2438.0,5.086821817133798,84000008,USA,1116.5711661916496,17.566107068232586
1978,Colorado,US,2020-04-29 02:32:33,39.0598,-105.3111,14316,736,2275.0,13580.0,8.0,252.62877035116563,66341.0,2485.0,5.1411008661637325,84000008,USA,1170.6932979789522,17.358200614696838
2037,Colorado,US,2020-04-30 02:32:31,39.0598,-105.3111,14758,766,2275.0,13992.0,8.0,260.42856893283755,69449.0,2610.0,5.190405203957176,84000008,USA,1225.538940494419,17.685323214527713
1570,Colorado,US,2020-05-01 02:32:32,39.0598,-105.3111,15284,777,2415.0,12092.0,8.0,269.71068217708967,71059.0,2621.0,5.083747710023554,84000008,USA,1253.949971527206,17.14865218529181
122,Colorado,US,2020-05-02 02:32:31,39.0598,-105.3111,15793,821,2486.0,12486.0,8.0,278.69280316820056,72390.0,2697.0,5.198505667067689,84000008,USA,1277.4376002878516,17.077186095105425
2388,Colorado,US,2020-05-03 02:32:33,39.0598,-105.3111,16225,832,2553.0,12840.0,8.0,286.31613571861294,76949.0,2747.0,5.127889060092451,84000008,USA,1357.8884639390785,16.9306625577812
2330,Colorado,US,2020-05-04 02:32:32,39.0598,-105.3111,16635,842,2607.0,13186.0,8.0,293.55124300025426,79906.0,2793.0,5.061617072437632,84000008,USA,1410.069469382526,16.78990081154193
2794,Colorado,US,2020-05-05 02:32:38,39.0598,-105.3111,16918,851,2650.0,13417.0,8.0,298.54523168489936,83090.0,2799.0,5.030145407258541,84000008,USA,1466.2562537355652,16.54450880718761
2852,Colorado,US,2020-05-06 02:32:35,39.0598,-105.3111,17367,903,2743.0,13721.0,8.0,306.4685564884531,85004.0,2838.0,5.199516324062878,84000008,USA,1500.0318521186425,16.34133701848333
1686,Colorado,US,2020-05-07 02:32:32,39.0598,-105.3111,17832,919,2801.0,14112.0,8.0,314.67422694202185,85976.0,2919.0,5.1536563481381785,84000008,USA,1517.1843503570701,16.369448183041722
1628,Colorado,US,2020-05-08 02:32:36,39.0598,-105.3111,18370,944,2869.0,14557.0,8.0,324.16809942378546,91347.0,2986.0,5.138813282525859,84000008,USA,1611.9642557465722,16.254763200870983
