,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1278,Connecticut,US,2020-04-12 23:18:15,41.5978,-72.7554,12035,554,,11481.0,9.0,337.56048250000003,41220.0,1654.0,4.6032405480000005,84000009,USA,1156.148159,13.74324886
1338,Connecticut,US,2020-04-13 23:07:54,41.5978,-72.7554,13381,602,,12779.0,9.0,375.31340394195473,44309.0,1760.0,4.498916373963082,84000009,USA,1242.7891499337925,13.152978103280773
590,Connecticut,US,2020-04-14 23:33:31,41.5978,-72.7554,13989,671,,13318.0,9.0,392.3667295,45841.0,1779.0,4.79662592,84000009,USA,1285.759043,12.71713489
531,Connecticut,US,2020-04-15 22:56:51,41.5978,-72.7554,14755,868,,13887.0,9.0,413.85167589593766,50143.0,1908.0,5.882751609623856,84000009,USA,1406.4225404574722,12.931209759403592
1745,Connecticut,US,2020-04-16 23:30:51,41.5978,-72.7554,15884,971,,14913.0,9.0,445.5181307984463,53122.0,1926.0,6.113069755729035,84000009,USA,1489.9782261568287,12.12540921682196
1804,Connecticut,US,2020-04-17 23:30:52,41.5978,-72.7554,16809,1036,,15773.0,9.0,471.46274619687006,55462.0,1946.0,6.163364864060919,84000009,USA,1555.6110910566247,11.577131298709025
881,Connecticut,US,2020-04-18 22:32:47,41.5978,-72.7554,17550,1086,,16464.0,9.0,492.2464867484722,55462.0,1946.0,6.188034188034187,84000009,USA,1555.6110910566247,11.08831908831909
1021,Connecticut,US,2020-04-19 23:41:01,41.5978,-72.7554,17962,1127,,16835.0,9.0,503.8023586880944,58213.0,1938.0,6.274356975837881,84000009,USA,1632.77177966318,10.789444382585456
356,Connecticut,US,2020-04-20 23:36:47,41.5978,-72.7554,19815,1331,,18484.0,9.0,555.7757341835313,62806.0,1919.0,6.717133484733787,84000009,USA,1761.5973132036775,9.684582387080496
297,Connecticut,US,2020-04-21 23:40:34,41.5978,-72.7554,20360,1423,,18937.0,9.0,571.0620210939542,64192.0,1949.0,6.989194499017682,84000009,USA,1800.4721639520185,9.572691552062867
2213,Connecticut,US,2020-04-22 23:40:26,41.5978,-72.7554,22469,1544,,20925.0,9.0,630.2157442023603,69918.0,1972.0,6.871689883839957,84000009,USA,1961.0763453264767,8.776536561484713
2272,Connecticut,US,2020-04-24 03:33:00,41.5978,-72.7554,23100,1639,,21461.0,9.0,647.9141791390148,71497.0,1947.0,7.095238095238094,84000009,USA,2005.3645050174082,8.428571428571429
