,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1279,Delaware,US,2020-04-12 23:18:15,39.3185,-75.5071,1625,35,191.0,1590.0,10.0,166.8782169,11103.0,190.0,2.153846154,84000010,USA,1140.214672,11.69230769
1339,Delaware,US,2020-04-13 23:07:54,39.3185,-75.5071,1758,41,213.0,1717.0,10.0,180.53655711240089,11820.0,201.0,2.3321956769055747,84000010,USA,1213.8464761482248,11.433447098976107
591,Delaware,US,2020-04-14 23:33:31,39.3185,-75.5071,1926,43,277.0,1883.0,10.0,197.7891974,12304.0,204.0,2.232606438,84000010,USA,1263.550511,10.59190031
532,Delaware,US,2020-04-15 22:56:51,39.3185,-75.5071,2014,46,354.0,1968.0,10.0,206.82629466688027,13102.0,208.0,2.284011916583913,84000010,USA,1345.5005524952658,10.327706057596822
1746,Delaware,US,2020-04-16 23:30:51,39.3185,-75.5071,2070,55,378.0,2015.0,10.0,212.5771747569226,13350.0,209.0,2.6570048309178738,84000010,USA,1370.9687357511675,10.096618357487925
1805,Delaware,US,2020-04-17 23:30:52,39.3185,-75.5071,2317,61,378.0,2256.0,10.0,237.94266372550229,13350.0,209.0,2.6327147173068624,84000010,USA,1370.9687357511675,9.02028485110056
882,Delaware,US,2020-04-18 22:32:47,39.3185,-75.5071,2538,67,423.0,2471.0,10.0,260.6381012237051,14017.0,224.0,2.639873916469661,84000010,USA,1439.465825395065,8.825847123719463
1022,Delaware,US,2020-04-19 23:41:01,39.3185,-75.5071,2538,67,466.0,2471.0,10.0,260.6381012237051,14794.0,249.0,2.639873916469661,84000010,USA,1519.2592866444024,9.810874704491725
357,Delaware,US,2020-04-20 23:36:47,39.3185,-75.5071,2745,72,495.0,2673.0,10.0,281.8958186993974,16470.0,256.0,2.622950819672131,84000010,USA,1691.3749121963842,9.326047358834243
298,Delaware,US,2020-04-21 23:40:34,39.3185,-75.5071,2931,82,565.0,2849.0,10.0,300.99695614132384,16656.0,263.0,2.797679972705561,84000010,USA,1710.4760496383108,8.973046741726373
2214,Delaware,US,2020-04-22 23:40:26,39.3185,-75.5071,3200,89,599.0,3111.0,10.0,328.6217194309915,16553.0,269.0,2.78125,84000010,USA,1699.8985380441254,8.40625
2273,Delaware,US,2020-04-24 03:33:00,39.3185,-75.5071,3308,92,643.0,3216.0,10.0,339.71270246178744,16912.0,290.0,2.7811366384522365,84000010,USA,1736.76578719279,8.766626360338575
3551,Delaware,US,2020-04-25 06:32:46,39.3185,-75.5071,3442,100,703.0,3342.0,10.0,353.4737369629603,17379.0,277.0,2.905287623474724,84000010,USA,1784.7240193722503,8.047646717024985
3492,Delaware,US,2020-04-26 02:32:45,39.3185,-75.5071,3576,112,809.0,3464.0,10.0,367.234771464133,17698.0,300.0,3.131991051454139,84000010,USA,1817.4834970280276,8.389261744966444
1162,Delaware,US,2020-04-27 02:32:46,39.3185,-75.5071,4034,120,911.0,3914.0,10.0,414.2687550576936,19249.0,317.0,2.9747149231531984,84000010,USA,1976.762336664736,7.858205255329697
1221,Delaware,US,2020-04-28 02:32:46,39.3185,-75.5071,4162,125,996.0,4037.0,10.0,427.4136238349332,19616.0,325.0,3.00336376741951,84000010,USA,2014.4511401119776,7.808745795290727
1980,Delaware,US,2020-04-29 02:32:33,39.3185,-75.5071,4575,137,1096.0,4438.0,10.0,469.82636449899564,21180.0,,2.9945355191256837,84000010,USA,2175.0650054838748,
2039,Delaware,US,2020-04-30 02:32:31,39.3185,-75.5071,4655,144,1173.0,4511.0,10.0,478.0419074847704,21538.0,,3.0934479054779818,84000010,USA,2211.829560345217,
1572,Delaware,US,2020-05-01 02:32:32,39.3185,-75.5071,4734,152,1275.0,3307.0,10.0,486.154756183223,21820.0,,3.2108153781157585,84000010,USA,2240.789349370073,
