,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1281,District of Columbia,US,2020-04-12 23:18:15,38.8974,-77.0268,1875,50,493.0,1825.0,11.0,265.6751905,10640.0,,2.666666667,84000011,USA,1507.618148,
1341,District of Columbia,US,2020-04-13 23:07:54,38.8974,-77.0268,1955,52,507.0,1903.0,11.0,277.0106652648463,10934.0,295.0,2.659846547314578,84000011,USA,1549.2760173942859,15.089514066496164
593,District of Columbia,US,2020-04-14 23:33:31,38.8974,-77.0268,2058,67,518.0,1991.0,11.0,291.60508910000004,11518.0,295.0,3.2555879489999997,84000011,USA,1632.024983,14.33430515
534,District of Columbia,US,2020-04-15 22:56:51,38.8974,-77.0268,2197,72,530.0,2125.0,11.0,311.3004765150216,11525.0,313.0,3.2771961766044617,84000011,USA,1633.0168374308716,14.246700045516613
1748,District of Columbia,US,2020-04-16 23:30:51,38.8974,-77.0268,2350,81,552.0,2269.0,11.0,332.97957205748787,12150.0,313.0,3.4468085106382977,84000011,USA,1721.5752342546716,13.319148936170215
1807,District of Columbia,US,2020-04-17 23:30:52,38.8974,-77.0268,2476,86,573.0,2390.0,11.0,350.832944857166,12643.0,313.0,3.4733441033925687,84000011,USA,1791.4300976692844,12.64135702746365
884,District of Columbia,US,2020-04-18 22:32:47,38.8974,-77.0268,2666,91,608.0,2575.0,11.0,377.7546974916011,13268.0,313.0,3.413353338334584,84000011,USA,1879.9884944930843,11.740435108777197
1024,District of Columbia,US,2020-04-19 23:41:01,38.8974,-77.0268,2793,96,622.0,2697.0,11.0,395.7497637261973,13699.0,313.0,3.4371643394199785,84000011,USA,1941.0583649427767,11.206587898317222
359,District of Columbia,US,2020-04-20 23:36:47,38.8974,-77.0268,2927,105,630.0,2822.0,11.0,414.73668400522,14113.0,402.0,3.58729074137342,84000011,USA,1999.7194469988626,13.734198838401095
300,District of Columbia,US,2020-04-21 23:40:34,38.8974,-77.0268,3098,112,636.0,2986.0,11.0,438.9662613762117,14939.0,402.0,3.615235635894125,84000011,USA,2116.758224241197,12.976113621691413
2216,District of Columbia,US,2020-04-22 23:40:26,38.8974,-77.0268,3206,127,645.0,3079.0,11.0,454.26915234736435,15502.0,402.0,3.961322520274485,84000011,USA,2196.531628100075,12.538989394884592
