,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1283,Georgia,US,2020-04-12 23:18:15,33.0406,-83.6431,12452,433,,12019.0,13.0,122.80814050000001,54453.0,2505.0,3.4773530360000002,84000013,USA,537.0439828,20.11725024
1343,Georgia,US,2020-04-13 23:07:54,33.0406,-83.6431,13315,465,,12850.0,13.0,131.31949811985785,57021.0,2589.0,3.492301915133308,84000013,USA,562.3709427181686,19.44423582425836
595,Georgia,US,2020-04-14 23:33:31,33.0406,-83.6431,14578,525,,14053.0,13.0,143.77586509999998,61795.0,2769.0,3.6013170530000003,84000013,USA,609.4546291,18.99437509
536,Georgia,US,2020-04-15 22:56:51,33.0406,-83.6431,14987,552,,14435.0,13.0,147.8096371252204,64090.0,2922.0,3.683192099819844,84000013,USA,632.0891201278025,19.496897311002872
1750,Georgia,US,2020-04-16 23:30:51,33.0406,-83.6431,15669,587,,15082.0,13.0,154.53587803530252,67939.0,3108.0,3.7462505584274686,84000013,USA,670.0499724194535,19.835343672219032
1809,Georgia,US,2020-04-17 23:30:52,33.0406,-83.6431,17194,650,,16544.0,13.0,169.57622611136586,71684.0,3324.0,3.780388507618937,84000013,USA,706.9851222849336,19.332325229731303
886,Georgia,US,2020-04-18 22:32:47,33.0406,-83.6431,17669,673,,16996.0,13.0,174.26092469243477,74208.0,3420.0,3.808930895919407,84000013,USA,731.8781311662344,19.355934121908426
1026,Georgia,US,2020-04-19 23:41:01,33.0406,-83.6431,18301,687,,17614.0,13.0,180.4940394360885,79933.0,3464.0,3.7538932298781487,84000013,USA,788.3410772222755,18.927927435659253
361,Georgia,US,2020-04-20 23:36:47,33.0406,-83.6431,19407,775,,18632.0,13.0,191.40199023748264,84328.0,3550.0,3.993404441696295,84000013,USA,831.6868672513237,18.292368732931415
302,Georgia,US,2020-04-21 23:40:34,33.0406,-83.6431,19881,798,,19083.0,13.0,196.07682629522301,88140.0,3779.0,4.013882601478799,84000013,USA,869.2828061798176,19.00809818419597
