,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1284,Grand Princess,US,2020-04-12 23:18:15,,,103,0,0.0,103.0,999.0,,,,0.0,84099999,USA,,
1344,Grand Princess,US,2020-04-13 23:07:54,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
596,Grand Princess,US,2020-04-14 23:33:31,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
537,Grand Princess,US,2020-04-15 22:56:51,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
1751,Grand Princess,US,2020-04-16 23:30:51,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
1810,Grand Princess,US,2020-04-17 23:30:52,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
887,Grand Princess,US,2020-04-18 22:32:47,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
1027,Grand Princess,US,2020-04-19 23:41:01,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
362,Grand Princess,US,2020-04-20 23:36:47,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
303,Grand Princess,US,2020-04-21 23:40:34,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
2219,Grand Princess,US,2020-04-22 23:40:26,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
2278,Grand Princess,US,2020-04-24 03:33:00,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
3556,Grand Princess,US,2020-04-25 06:32:46,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
3497,Grand Princess,US,2020-04-26 02:32:45,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1167,Grand Princess,US,2020-04-27 02:32:46,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1226,Grand Princess,US,2020-04-28 02:32:46,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1985,Grand Princess,US,2020-04-29 02:32:33,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2044,Grand Princess,US,2020-04-30 02:32:31,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1577,Grand Princess,US,2020-05-01 02:32:32,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
129,Grand Princess,US,2020-05-02 02:32:31,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2395,Grand Princess,US,2020-05-03 02:32:33,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2337,Grand Princess,US,2020-05-04 02:32:32,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2801,Grand Princess,US,2020-05-05 02:32:38,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2859,Grand Princess,US,2020-05-06 02:32:35,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1693,Grand Princess,US,2020-05-07 02:32:32,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1635,Grand Princess,US,2020-05-08 02:32:36,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2627,Grand Princess,US,2020-05-09 02:32:39,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2569,Grand Princess,US,2020-05-10 02:32:34,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1403,Grand Princess,US,2020-05-11 02:32:34,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1461,Grand Princess,US,2020-05-12 03:32:31,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
3207,Grand Princess,US,2020-05-13 03:32:30,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
3149,Grand Princess,US,2020-05-14 03:32:32,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1869,Grand Princess,US,2020-05-15 02:33:07,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
1927,Grand Princess,US,2020-05-16 02:32:24,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
713,Grand Princess,US,2020-05-17 02:32:37,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
655,Grand Princess,US,2020-05-18 02:32:26,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
3439,Grand Princess,US,2020-05-19 02:32:23,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
3381,Grand Princess,US,2020-05-20 02:32:25,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2103,Grand Princess,US,2020-05-21 02:32:54,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
2161,Grand Princess,US,2020-05-22 02:36:57,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
245,Grand Princess,US,2020-05-23 02:32:47,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
187,Grand Princess,US,2020-05-24 02:32:48,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
