,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1285,Guam,US,2020-04-12 23:18:15,13.4443,144.7937,133,5,58.0,128.0,66.0,80.98447899,826.0,13.0,3.759398496,316,GUM,502.95623789999996,9.77443609
1345,Guam,US,2020-04-13 23:07:54,13.4443,144.7937,133,5,58.0,128.0,66.0,80.9844789897034,905.0,12.0,3.7593984962406015,316,GUM,551.0598006442224,9.022556390977444
597,Guam,US,2020-04-14 23:33:31,13.4443,144.7937,133,5,66.0,128.0,66.0,80.98447899,946.0,13.0,3.759398496,316,GUM,576.0249408,9.77443609
538,Guam,US,2020-04-15 22:56:51,13.4443,144.7937,135,5,73.0,130.0,66.0,82.20229070383428,978.0,9.0,3.703703703703704,316,GUM,595.5099282099994,6.666666666666668
1752,Guam,US,2020-04-16 23:30:51,13.4443,144.7937,135,5,86.0,130.0,66.0,82.20229070383428,1005.0,9.0,3.703703703703704,316,GUM,611.9503863507662,6.666666666666668
1811,Guam,US,2020-04-17 23:30:52,13.4443,144.7937,136,5,97.0,131.0,66.0,82.81119656089972,1076.0,6.0,3.6764705882352944,316,GUM,655.1827022024123,4.411764705882354
888,Guam,US,2020-04-18 22:32:47,13.4443,144.7937,136,5,110.0,131.0,66.0,82.81119656089972,1079.0,6.0,3.6764705882352944,316,GUM,657.0094197736088,4.411764705882354
1028,Guam,US,2020-04-19 23:41:01,13.4443,144.7937,136,5,112.0,131.0,66.0,82.81119656089972,1079.0,6.0,3.6764705882352944,316,GUM,657.0094197736088,4.411764705882354
363,Guam,US,2020-04-20 23:36:47,13.4443,144.7937,136,5,112.0,131.0,66.0,82.81119656089972,1124.0,3.0,3.6764705882352944,316,GUM,684.4101833415535,2.2058823529411766
304,Guam,US,2020-04-21 23:40:34,13.4443,144.7937,136,5,114.0,131.0,66.0,82.81119656089972,1166.0,3.0,3.6764705882352944,316,GUM,709.984229338302,2.2058823529411766
2220,Guam,US,2020-04-22 23:40:26,13.4443,144.7937,136,5,119.0,131.0,66.0,82.81119656089972,1220.0,3.0,3.6764705882352944,316,GUM,742.8651456198359,2.2058823529411766
2279,Guam,US,2020-04-24 03:33:00,13.4443,144.7937,139,5,126.0,134.0,66.0,84.63791413209604,1315.0,2.0,3.5971223021582728,316,GUM,800.7112020410524,1.4388489208633093
3557,Guam,US,2020-04-25 06:32:46,13.4443,144.7937,141,5,126.0,136.0,66.0,85.85572584622692,1374.0,2.0,3.5460992907801416,316,GUM,836.6366476079132,1.4184397163120568
3498,Guam,US,2020-04-26 02:32:45,13.4443,144.7937,141,5,128.0,136.0,66.0,85.85572584622692,1449.0,2.0,3.5460992907801416,316,GUM,882.3045868878212,1.4184397163120568
1168,Guam,US,2020-04-27 02:32:46,13.4443,144.7937,141,5,128.0,136.0,66.0,85.85572584622692,1528.0,2.0,3.5460992907801416,316,GUM,930.4081495959911,1.4184397163120568
1227,Guam,US,2020-04-28 02:32:46,13.4443,144.7937,141,5,128.0,136.0,66.0,85.85572584622692,1568.0,3.0,3.5460992907801416,316,GUM,954.7643838786086,2.127659574468085
1986,Guam,US,2020-04-29 02:32:33,13.4443,144.7937,141,5,129.0,136.0,66.0,85.85572584622692,1683.0,,3.5460992907801416,316,GUM,1024.7885574411341,
2045,Guam,US,2020-04-30 02:32:31,13.4443,144.7937,141,5,130.0,136.0,66.0,85.85572584622692,1847.0,,3.5460992907801416,316,GUM,1124.6491179998661,
1578,Guam,US,2020-05-01 02:32:32,13.4443,144.7937,145,5,131.0,9.0,66.0,88.29134927448868,2108.0,,3.4482758620689653,316,GUM,1283.5735466939454,
130,Guam,US,2020-05-02 02:32:31,13.4443,144.7937,145,5,131.0,9.0,66.0,88.29134927448868,3005.0,,3.4482758620689653,316,GUM,1829.7621004816447,
2396,Guam,US,2020-05-03 02:32:33,13.4443,144.7937,145,5,131.0,9.0,66.0,88.29134927448868,3188.0,,3.4482758620689653,316,GUM,1941.1918723246201,
2338,Guam,US,2020-05-04 02:32:32,13.4443,144.7937,145,5,126.0,14.0,66.0,88.29134927448868,3302.0,,3.4482758620689653,316,GUM,2010.60714003008,
2802,Guam,US,2020-05-05 02:32:38,13.4443,144.7937,145,5,125.0,15.0,66.0,88.29134927448868,3391.0,,3.4482758620689653,316,GUM,2064.799761308904,
2860,Guam,US,2020-05-06 02:32:35,13.4443,144.7937,145,5,124.0,16.0,66.0,88.29134927448868,3490.0,,3.4482758620689653,316,GUM,2125.0814411583824,
1694,Guam,US,2020-05-07 02:32:32,13.4443,144.7937,149,5,123.0,21.0,66.0,90.72697270275043,3627.0,,3.355704697986577,316,GUM,2208.501543576348,
