,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1286,Hawaii,US,2020-04-12 23:18:15,21.0943,-157.4983,499,9,300.0,490.0,15.0,35.24543964,17968.0,44.0,1.8036072140000001,84000015,USA,1269.118355,8.817635271
1346,Hawaii,US,2020-04-13 23:07:54,21.0943,-157.4983,504,9,310.0,495.0,15.0,35.59860035344325,18844.0,44.0,1.7857142857142858,84000015,USA,1330.9921132148504,8.730158730158731
598,Hawaii,US,2020-04-14 23:33:31,21.0943,-157.4983,511,9,315.0,502.0,15.0,36.09302536,19420.0,44.0,1.7612524459999999,84000015,USA,1371.676228,8.610567515
539,Hawaii,US,2020-04-15 22:56:51,21.0943,-157.4983,524,9,333.0,515.0,15.0,37.011243224611626,19803.0,45.0,1.717557251908397,84000015,USA,1398.7283388873745,8.587786259541986
1753,Hawaii,US,2020-04-16 23:30:51,21.0943,-157.4983,530,9,359.0,521.0,15.0,37.435036085962146,20700.0,45.0,1.69811320754717,84000015,USA,1462.0853716592762,8.49056603773585
1812,Hawaii,US,2020-04-17 23:30:52,21.0943,-157.4983,541,9,374.0,532.0,15.0,38.21198966510475,21857.0,45.0,1.6635859519408502,84000015,USA,1543.8067617563672,8.317929759704251
889,Hawaii,US,2020-04-18 22:32:47,21.0943,-157.4983,574,9,390.0,565.0,15.0,40.542850402532586,22343.0,48.0,1.56794425087108,84000015,USA,1578.1339835257586,8.362369337979095
1029,Hawaii,US,2020-04-19 23:41:01,21.0943,-157.4983,580,10,410.0,570.0,15.0,40.9666432638831,23470.0,51.0,1.7241379310344829,84000015,USA,1657.736409316097,8.793103448275861
364,Hawaii,US,2020-04-20 23:36:47,21.0943,-157.4983,584,10,414.0,574.0,15.0,41.24917183811678,24175.0,52.0,1.7123287671232876,84000015,USA,1707.5320705247827,8.904109589041097
305,Hawaii,US,2020-04-21 23:40:34,21.0943,-157.4983,586,10,423.0,576.0,15.0,41.390436125233606,24696.0,55.0,1.706484641638225,84000015,USA,1744.3314173187189,9.38566552901024
2221,Hawaii,US,2020-04-22 23:40:26,21.0943,-157.4983,592,12,437.0,580.0,15.0,41.81422898658413,25342.0,56.0,2.0270270270270268,84000015,USA,1789.959782057458,9.459459459459461
2280,Hawaii,US,2020-04-24 03:33:00,21.0943,-157.4983,596,12,444.0,584.0,15.0,42.096757560817814,26128.0,63.0,2.0134228187919465,84000015,USA,1845.4766468943756,10.57046979865772
3558,Hawaii,US,2020-04-25 06:32:46,21.0943,-157.4983,601,13,463.0,588.0,15.0,42.4499182786099,28040.0,67.0,2.1630615640599,84000015,USA,1980.5253053780727,11.148086522462563
3499,Hawaii,US,2020-04-26 02:32:45,21.0943,-157.4983,605,13,463.0,592.0,15.0,42.73244685284358,28040.0,67.0,2.1487603305785123,84000015,USA,1980.5253053780727,11.074380165289256
1169,Hawaii,US,2020-04-27 02:32:46,21.0943,-157.4983,606,14,482.0,592.0,15.0,42.803078996402,28483.0,68.0,2.31023102310231,84000015,USA,2011.8153449744525,11.221122112211221
1228,Hawaii,US,2020-04-28 02:32:46,21.0943,-157.4983,607,16,488.0,591.0,15.0,42.87371113996042,29010.0,68.0,2.6359143327841843,84000015,USA,2049.0384846297393,11.202635914332783
1987,Hawaii,US,2020-04-29 02:32:33,21.0943,-157.4983,609,16,493.0,593.0,15.0,43.014975427077246,29183.0,68.0,2.6272577996715927,84000015,USA,2061.2578454653462,11.16584564860427
2046,Hawaii,US,2020-04-30 02:32:31,21.0943,-157.4983,613,16,505.0,597.0,15.0,43.297504001310934,29618.0,69.0,2.6101141924959217,84000015,USA,2091.982827913258,11.256117455138662
1579,Hawaii,US,2020-05-01 02:32:32,21.0943,-157.4983,618,16,516.0,86.0,15.0,43.650664719103034,30640.0,69.0,2.588996763754045,84000015,USA,2164.1688786299624,11.16504854368932
