,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1287,Idaho,US,2020-04-12 23:18:15,44.2405,-114.4788,1407,27,,1380.0,16.0,87.36433536,14308.0,131.0,1.918976546,84000016,USA,888.4214004,9.310589907999999
1347,Idaho,US,2020-04-13 23:07:54,44.2405,-114.4788,1426,27,,1399.0,16.0,88.54409539415472,14881.0,132.0,1.893408134642356,84000016,USA,924.0004793551308,9.256661991584851
599,Idaho,US,2020-04-14 23:33:31,44.2405,-114.4788,1464,33,,1431.0,16.0,90.90361547,15114.0,135.0,2.254098361,84000016,USA,938.468063,9.221311475
540,Idaho,US,2020-04-15 22:56:51,44.2405,-114.4788,1473,39,,1434.0,16.0,91.46244916941791,15398.0,141.0,2.6476578411405294,84000016,USA,956.1023708830256,9.572301425661914
1754,Idaho,US,2020-04-16 23:30:51,44.2405,-114.4788,1587,41,,1546.0,16.0,98.54100939026895,15831.0,143.0,2.58349086326402,84000016,USA,982.9884811955563,9.010712035286703
1813,Idaho,US,2020-04-17 23:30:52,44.2405,-114.4788,1609,41,390.0,1568.0,16.0,99.90704732762622,16183.0,148.0,2.54816656308266,84000016,USA,1004.845088193272,9.198259788688627
890,Idaho,US,2020-04-18 22:32:47,44.2405,-114.4788,1655,43,453.0,1612.0,16.0,102.76330846937313,16609.0,151.0,2.598187311178248,84000016,USA,1031.2965500711894,9.123867069486405
1030,Idaho,US,2020-04-19 23:41:01,44.2405,-114.4788,1668,44,520.0,1624.0,16.0,103.57051270508421,16869.0,151.0,2.6378896882494005,84000016,USA,1047.440634785411,9.052757793764988
365,Idaho,US,2020-04-20 23:36:47,44.2405,-114.4788,1672,45,585.0,1627.0,16.0,103.81888323914914,17445.0,151.0,2.691387559808613,84000016,USA,1083.2059916907638,9.0311004784689
306,Idaho,US,2020-04-21 23:40:34,44.2405,-114.4788,1736,48,660.0,1688.0,16.0,107.79281178418836,17660.0,157.0,2.7649769585253456,84000016,USA,1096.5559078967551,9.04377880184332
2222,Idaho,US,2020-04-22 23:40:26,44.2405,-114.4788,1766,51,710.0,1715.0,16.0,109.65559078967549,17730.0,158.0,2.8878822197055487,84000016,USA,1100.9023922428914,8.946772366930917
2281,Idaho,US,2020-04-24 03:33:00,44.2405,-114.4788,1836,54,767.0,1782.0,16.0,114.00207513581209,18092.0,162.0,2.9411764705882355,84000016,USA,1123.3799255757694,8.823529411764708
