,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1288,Illinois,US,2020-04-12 23:18:15,40.3495,-88.9861,20852,720,,20132.0,17.0,177.68078180000003,100735.0,3680.0,3.4529061960000003,84000017,USA,858.3672336000001,17.64818722
1348,Illinois,US,2020-04-13 23:07:54,40.3495,-88.9861,22025,798,,21227.0,17.0,187.6759648568341,105768.0,3680.0,3.623155505107832,84000017,USA,901.2536413610727,16.708286038592508
600,Illinois,US,2020-04-14 23:33:31,40.3495,-88.9861,23248,868,,22380.0,17.0,198.0972,110616.0,4283.0,3.7336545080000003,84000017,USA,942.5636562000001,18.42309016
541,Illinois,US,2020-04-15 22:56:51,40.3495,-88.9861,24593,949,,23644.0,17.0,209.5580024392337,116929.0,4283.0,3.858821615906965,84000017,USA,996.3569986263228,17.415524742812995
1755,Illinois,US,2020-04-16 23:30:51,40.3495,-88.9861,25734,1072,,24662.0,17.0,219.28051212829826,122589.0,4423.0,4.165695189243801,84000017,USA,1044.5861001513933,17.187378565322142
1814,Illinois,US,2020-04-17 23:30:52,40.3495,-88.9861,27578,1132,,26446.0,17.0,234.99331481597144,130163.0,4454.0,4.104721154543476,84000017,USA,1109.1244773511964,16.15055479005004
891,Illinois,US,2020-04-18 22:32:47,40.3495,-88.9861,29160,1259,,27901.0,17.0,248.47360432350888,137404.0,4340.0,4.3175582990397805,84000017,USA,1170.825347341132,14.883401920438958
1031,Illinois,US,2020-04-19 23:41:01,40.3495,-88.9861,30357,1290,,29067.0,17.0,258.6732924022208,143318.0,4314.0,4.249431762031821,84000017,USA,1221.2187937049605,14.210890404190135
366,Illinois,US,2020-04-20 23:36:47,40.3495,-88.9861,31513,1349,,30164.0,17.0,268.52361773136954,148358.0,4599.0,4.280773014311554,84000017,USA,1264.1648487732214,14.593977088820488
307,Illinois,US,2020-04-21 23:40:34,40.3495,-88.9861,33059,1468,,31591.0,17.0,281.69714970270513,154997.0,4776.0,4.4405456910372365,84000017,USA,1320.736051074448,14.446897970295534
2223,Illinois,US,2020-04-22 23:40:26,40.3495,-88.9861,35107,1565,,33542.0,17.0,299.1482450955222,164346.0,4665.0,4.457800438658957,84000017,USA,1400.3992790175373,13.287948272424304
2282,Illinois,US,2020-04-24 03:33:00,40.3495,-88.9861,36937,1688,,35249.0,17.0,314.7417531857835,173316.0,4877.0,4.569943417169776,84000017,USA,1476.8330317878351,13.203562823185425
3560,Illinois,US,2020-04-25 06:32:46,40.3495,-88.9861,39658,1795,,37863.0,17.0,337.927510297041,189632.0,4828.0,4.526199001462504,84000017,USA,1615.8623640286567,12.174088456301375
3501,Illinois,US,2020-04-26 02:32:45,40.3495,-88.9861,41777,1875,,39902.0,17.0,355.98359971958945,201617.0,4699.0,4.488115470234819,84000017,USA,1717.9870604558605,11.247815783804484
1171,Illinois,US,2020-04-27 02:32:46,40.3495,-88.9861,43903,1933,,41970.0,17.0,374.09933644084396,214952.0,4595.0,4.402888185317632,84000017,USA,1831.6151644906336,10.466255153406374
1230,Illinois,US,2020-04-28 02:32:46,40.3495,-88.9861,45883,1983,,43900.0,17.0,390.97100093194643,227628.0,4672.0,4.32186212758538,84000017,USA,1939.6279014043787,10.18242050432622
1989,Illinois,US,2020-04-29 02:32:33,40.3495,-88.9861,48102,2125,,45977.0,17.0,409.87919462172243,242189.0,,4.4176957299072805,84000017,USA,2063.70280375536,
2048,Illinois,US,2020-04-30 02:32:31,40.3495,-88.9861,50358,2215,,48143.0,17.0,429.10266689037246,256667.0,,4.398506692084673,84000017,USA,2187.0704595645425,
1581,Illinois,US,2020-05-01 02:32:32,40.3495,-88.9861,52918,2355,0.0,50563.0,17.0,450.9165361313938,269867.0,,4.45028156770853,84000017,USA,2299.5482228385586,
