,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1289,Indiana,US,2020-04-12 23:18:15,39.8494,-86.2583,7928,343,,7585.0,18.0,121.14925530000001,42489.0,,4.326437941,84000018,USA,649.2823801,
1349,Indiana,US,2020-04-13 23:07:54,39.8494,-86.2583,8359,350,,8009.0,18.0,127.7354471902022,44539.0,,4.187103720540734,84000018,USA,680.6088147391332,
601,Indiana,US,2020-04-14 23:33:31,39.8494,-86.2583,8527,387,,8140.0,18.0,130.3026867,46017.0,,4.538524686000001,84000018,USA,703.19441,
542,Indiana,US,2020-04-15 22:56:51,39.8494,-86.2583,8960,436,,8524.0,18.0,136.9194409408077,48396.0,,4.866071428571429,84000018,USA,739.5483553316217,
1756,Indiana,US,2020-04-16 23:30:51,39.8494,-86.2583,9542,477,,9065.0,18.0,145.81309212691818,51115.0,,4.9989520016767965,84000018,USA,781.097904429619,
1815,Indiana,US,2020-04-17 23:30:52,39.8494,-86.2583,10154,522,,9632.0,18.0,155.16517894117874,54785.0,,5.14083119952728,84000018,USA,837.1798629399723,
892,Indiana,US,2020-04-18 22:32:47,39.8494,-86.2583,10641,545,,10096.0,18.0,162.60711730481415,56873.0,,5.121699088431538,84000018,USA,869.0869826592141,
1032,Indiana,US,2020-04-19 23:41:01,39.8494,-86.2583,11211,562,,10649.0,18.0,171.31739423966462,61142.0,,5.012933725805013,84000018,USA,934.3223725449626,
367,Indiana,US,2020-04-20 23:36:47,39.8494,-86.2583,11688,577,,11111.0,18.0,178.60652072725006,64639.0,,4.9366872005475715,84000018,USA,987.7606855996506,
308,Indiana,US,2020-04-21 23:40:34,39.8494,-86.2583,12097,635,,11462.0,18.0,184.8565264576954,67264.0,,5.249235347606843,84000018,USA,1027.8738030627776,
2224,Indiana,US,2020-04-22 23:40:26,39.8494,-86.2583,12438,666,,11772.0,18.0,190.06741143100066,69470.0,,5.354558610709117,84000018,USA,1061.5841029194098,
2283,Indiana,US,2020-04-24 03:33:00,39.8494,-86.2583,13039,706,,12333.0,18.0,199.25140518160626,72040.0,,5.414525653807807,84000018,USA,1100.856755064262,
3561,Indiana,US,2020-04-25 06:32:46,39.8494,-86.2583,13681,741,,12940.0,18.0,209.0619276240168,75553.0,,5.41627074044295,84000018,USA,1154.53956712063,
3502,Indiana,US,2020-04-26 02:32:45,39.8494,-86.2583,14399,786,,13613.0,18.0,220.03382032440743,79774.0,1515.0,5.458712410584068,84000018,USA,1219.041460001339,10.521563997499829
1172,Indiana,US,2020-04-27 02:32:46,39.8494,-86.2583,15012,813,,14199.0,18.0,229.4011883262729,81708.0,1446.0,5.415667466027179,84000018,USA,1248.5952768294105,9.632294164668263
1231,Indiana,US,2020-04-28 02:32:46,39.8494,-86.2583,15961,844,,15117.0,18.0,243.90303536341872,84476.0,1493.0,5.287889229998121,84000018,USA,1290.8936041200527,9.354050498089093
1990,Indiana,US,2020-04-29 02:32:33,39.8494,-86.2583,16588,901,,15687.0,18.0,253.48433999175427,87181.0,,5.431637328189052,84000018,USA,1332.22921659158,
2049,Indiana,US,2020-04-30 02:32:31,39.8494,-86.2583,17182,964,,16218.0,18.0,262.5613654291248,91550.0,,5.610522639972063,84000018,USA,1398.9927252378286,
1582,Indiana,US,2020-05-01 02:32:32,39.8494,-86.2583,17835,1114,0.0,16721.0,18.0,272.5399809351904,94998.0,,6.246145220072889,84000018,USA,1451.6822600998714,
134,Indiana,US,2020-05-02 02:32:31,39.8494,-86.2583,18630,1175,0.0,17455.0,18.0,284.688525081166,99639.0,,6.3070316693505095,84000018,USA,1522.6022517746808,
2400,Indiana,US,2020-05-03 02:32:33,39.8494,-86.2583,19295,1115,0.0,18180.0,18.0,294.8505148384916,104141.0,,5.77869914485618,84000018,USA,1591.3981583723944,
2342,Indiana,US,2020-05-04 02:32:32,39.8494,-86.2583,19933,1132,0.0,18801.0,18.0,304.59991253048213,108859.0,,5.679024732855065,84000018,USA,1663.4948014927884,
2806,Indiana,US,2020-05-05 02:32:38,39.8494,-86.2583,20507,1151,0.0,19356.0,18.0,313.37131421575265,113297.0,,5.612717608621447,84000018,USA,1731.3127120837823,
2864,Indiana,US,2020-05-06 02:32:35,39.8494,-86.2583,21033,1211,,19822.0,18.0,321.40921889598314,115834.0,,5.757618979698568,84000018,USA,1770.0810850376695,
1698,Indiana,US,2020-05-07 02:32:32,39.8494,-86.2583,21870,1377,,20493.0,18.0,334.1995729213688,120496.0,,6.296296296296298,84000018,USA,1841.3219816521841,
1640,Indiana,US,2020-05-08 02:32:36,39.8494,-86.2583,22503,1414,,21089.0,18.0,343.8725646753344,124782.0,,6.283606630227081,84000018,USA,1906.8171517272172,
2632,Indiana,US,2020-05-09 02:32:39,39.8494,-86.2583,23146,1447,,21699.0,18.0,353.6983683053499,130128.0,4389.0,6.251620150349952,84000018,USA,1988.510380663552,18.962239695843774
2574,Indiana,US,2020-05-10 02:32:34,39.8494,-86.2583,23732,1490,,22242.0,18.0,362.65314424188034,135686.0,4389.0,6.278442609135345,84000018,USA,2073.4432213721466,18.494016517781894
1408,Indiana,US,2020-05-11 02:32:34,39.8494,-86.2583,24126,1508,,22618.0,18.0,368.6739321582508,140029.0,4389.0,6.250518113238829,84000018,USA,2139.8094191406653,18.191992041780647
1466,Indiana,US,2020-05-12 03:32:31,39.8494,-86.2583,24627,1540,,23087.0,18.0,376.32980714835617,146688.0,4389.0,6.253299224428472,84000018,USA,2241.5668474023664,17.82190278962115
3212,Indiana,US,2020-05-13 03:32:30,39.8494,-86.2583,25127,1578,,23549.0,18.0,383.97040095085663,150510.0,,6.280097106697975,84000018,USA,2299.97154642868,
3154,Indiana,US,2020-05-14 03:32:32,39.8494,-86.2583,25473,1619,,23854.0,18.0,389.2576918621869,154083.0,4389.0,6.355749224669258,84000018,USA,2354.5712297413475,17.230008244023082
