,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1290,Iowa,US,2020-04-12 23:18:15,42.0115,-93.2105,1587,41,674.0,1546.0,19.0,60.55603952,17592.0,129.0,2.583490863,84000019,USA,671.2677046,8.128544423
1350,Iowa,US,2020-04-13 23:07:54,42.0115,-93.2105,1710,41,741.0,1669.0,19.0,65.249418765046,18696.0,142.0,2.3976608187134505,84000019,USA,713.3936451645029,8.304093567251464
602,Iowa,US,2020-04-14 23:33:31,42.0115,-93.2105,1899,49,741.0,1850.0,19.0,72.46119663,18885.0,163.0,2.580305424,84000019,USA,720.6054230000001,8.583464982
543,Iowa,US,2020-04-15 22:56:51,42.0115,-93.2105,1995,53,908.0,1942.0,19.0,76.12432189255367,19869.0,171.0,2.656641604010025,84000019,USA,758.1524569840344,8.571428571428571
1757,Iowa,US,2020-04-16 23:30:51,42.0115,-93.2105,2141,60,987.0,2081.0,19.0,81.69532489822427,20675.0,175.0,2.8024287716020555,84000019,USA,788.9074461797228,8.173750583839327
1816,Iowa,US,2020-04-17 23:30:52,42.0115,-93.2105,2332,64,1007.0,2268.0,19.0,88.98341787139607,21792.0,183.0,2.74442538593482,84000019,USA,831.5294349285863,7.847341337907376
893,Iowa,US,2020-04-18 22:32:47,42.0115,-93.2105,2513,74,1095.0,2439.0,19.0,95.88993529623428,22947.0,193.0,2.9446876243533624,84000019,USA,875.6014107611172,7.680063668921607
1033,Iowa,US,2020-04-19 23:41:01,42.0115,-93.2105,2902,75,1171.0,2827.0,19.0,110.7332241264114,24550.0,198.0,2.584424534803584,84000019,USA,936.7679711589936,6.8228807718814615
368,Iowa,US,2020-04-20 23:36:47,42.0115,-93.2105,3159,79,1235.0,3080.0,19.0,120.539715718585,25820.0,214.0,2.5007913896802787,84000019,USA,985.2280657973613,6.774295663184552
309,Iowa,US,2020-04-21 23:40:34,42.0115,-93.2105,3641,83,1293.0,3558.0,19.0,138.9316571482646,27615.0,214.0,2.279593518264213,84000019,USA,1053.7208767232428,5.877506179620982
2225,Iowa,US,2020-04-22 23:40:26,42.0115,-93.2105,3748,90,1428.0,3658.0,19.0,143.01451551543414,28244.0,272.0,2.4012806830309503,84000019,USA,1077.7219787134268,7.257203842049093
2284,Iowa,US,2020-04-24 03:33:00,42.0115,-93.2105,3924,96,1492.0,3828.0,19.0,149.73024516610556,29262.0,282.0,2.4464831804281344,84000019,USA,1116.5663695337869,7.186544342507645
3562,Iowa,US,2020-04-25 06:32:46,42.0115,-93.2105,4445,107,1604.0,4338.0,19.0,169.61033123428626,31973.0,278.0,2.4071991001124857,84000019,USA,1220.011500687027,6.25421822272216
3503,Iowa,US,2020-04-26 02:32:45,42.0115,-93.2105,5092,112,1723.0,4980.0,19.0,194.2982692114703,34350.0,293.0,2.199528672427337,84000019,USA,1310.7120085259241,5.7541241162608
1173,Iowa,US,2020-04-27 02:32:46,42.0115,-93.2105,5476,118,1900.0,5358.0,19.0,208.95077026748064,36090.0,286.0,2.1548575602629656,84000019,USA,1377.1061539359712,5.2227903579254935
1232,Iowa,US,2020-04-28 02:32:46,42.0115,-93.2105,5868,127,2021.0,5741.0,19.0,223.90853176215785,38150.0,300.0,2.16428084526244,84000019,USA,1455.710716892693,5.112474437627811
1991,Iowa,US,2020-04-29 02:32:33,42.0115,-93.2105,6376,136,2164.0,6240.0,19.0,243.29256961750485,39823.0,,2.132998745294856,84000019,USA,1519.5483061289044,
2050,Iowa,US,2020-04-30 02:32:31,42.0115,-93.2105,6843,148,2428.0,6695.0,19.0,261.1121477246841,41337.0,,2.1627940961566563,84000019,USA,1577.318844146612,
1583,Iowa,US,2020-05-01 02:32:32,42.0115,-93.2105,7145,162,2697.0,4286.0,19.0,272.6357292843589,42667.0,,2.2673198040587823,84000019,USA,1628.0683920749814,
135,Iowa,US,2020-05-02 02:32:31,42.0115,-93.2105,7884,170,2899.0,4815.0,19.0,300.83416230621214,45592.0,,2.156265854895992,84000019,USA,1739.67923996256,
2401,Iowa,US,2020-05-03 02:32:33,42.0115,-93.2105,8643,175,3156.0,5312.0,19.0,329.7957464247325,46349.0,,2.0247599213236143,84000019,USA,1768.5645089714135,
2343,Iowa,US,2020-05-04 02:32:32,42.0115,-93.2105,9175,184,3325.0,5666.0,19.0,350.0955655960802,53186.0,,2.0054495912806543,84000019,USA,2029.447711367097,
2807,Iowa,US,2020-05-05 02:32:38,42.0115,-93.2105,9703,188,3486.0,6029.0,19.0,370.2427545480944,57161.0,,1.9375450891476864,84000019,USA,2181.1239918297038,
2865,Iowa,US,2020-05-06 02:32:35,42.0115,-93.2105,10111,207,3572.0,6332.0,19.0,385.81103692010527,60569.0,,2.04727524478291,84000019,USA,2311.164938701796,
1699,Iowa,US,2020-05-07 02:32:32,42.0115,-93.2105,10404,219,3803.0,6382.0,19.0,396.9912004862799,63171.0,,2.104959630911188,84000019,USA,2410.4508963782,
1641,Iowa,US,2020-05-08 02:32:36,42.0115,-93.2105,11059,231,4266.0,6562.0,19.0,421.9843989021308,66427.0,,2.088796455375712,84000019,USA,2534.6918949156197,
2633,Iowa,US,2020-05-09 02:32:39,42.0115,-93.2105,11457,243,4685.0,6529.0,19.0,437.17110572580816,70261.0,,2.1209740769835035,84000019,USA,2680.9879601467237,
2575,Iowa,US,2020-05-10 02:32:34,42.0115,-93.2105,11671,252,5011.0,6408.0,19.0,445.33682246014735,71476.0,,2.1591980121669097,84000019,USA,2727.349389269257,
1409,Iowa,US,2020-05-11 02:32:34,42.0115,-93.2105,11959,265,5154.0,6540.0,19.0,456.32619825215517,74174.0,,2.2159043398277447,84000019,USA,2830.2984722096617,
1467,Iowa,US,2020-05-12 03:32:31,42.0115,-93.2105,12373,271,5249.0,6853.0,19.0,472.1234259531662,77792.0,,2.1902529701769984,84000019,USA,2968.35250559676,
3213,Iowa,US,2020-05-13 03:32:30,42.0115,-93.2105,12912,289,5618.0,7005.0,19.0,492.69034800834737,81288.0,,2.2382280049566297,84000019,USA,3101.751317294187,
