,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1291,Kansas,US,2020-04-12 23:18:15,38.5266,-96.7265,1344,56,,1288.0,20.0,55.11612114,13253.0,298.0,4.166666667,84000020,USA,543.4925249,22.17261905
1351,Kansas,US,2020-04-13 23:07:54,38.5266,-96.7265,1390,62,,1328.0,20.0,57.00253599771662,13864.0,309.0,4.460431654676259,84000020,USA,568.549035303844,22.230215827338128
603,Kansas,US,2020-04-14 23:33:31,38.5266,-96.7265,1441,69,,1372.0,20.0,59.09399595,14147.0,327.0,4.78834143,84000020,USA,580.1545876,22.6925746
544,Kansas,US,2020-04-15 22:56:51,38.5266,-96.7265,1504,71,,1433.0,20.0,61.67756412990345,14668.0,342.0,4.720744680851063,84000020,USA,601.5202863413722,22.739361702127663
1758,Kansas,US,2020-04-16 23:30:51,38.5266,-96.7265,1615,80,,1535.0,20.0,66.2295652059801,16122.0,359.0,4.953560371517028,84000020,USA,661.147399536106,22.229102167182663
1817,Kansas,US,2020-04-17 23:30:52,38.5266,-96.7265,1730,82,,1648.0,20.0,70.94560235687031,16901.0,375.0,4.739884393063584,84000020,USA,693.0934251060492,21.676300578034677
894,Kansas,US,2020-04-18 22:32:47,38.5266,-96.7265,1821,85,,1736.0,20.0,74.67742305887911,17676.0,383.0,4.667764964305327,84000020,USA,724.875414601179,21.032399780340477
1034,Kansas,US,2020-04-19 23:41:01,38.5266,-96.7265,1905,93,,1812.0,20.0,78.12218062996416,18130.0,390.0,4.881889763779528,84000020,USA,743.4935090925197,20.47244094488189
369,Kansas,US,2020-04-20 23:36:47,38.5266,-96.7265,2048,102,,1946.0,20.0,83.98647030454939,18761.0,405.0,4.98046875,84000020,USA,769.3701998943608,19.775390625
310,Kansas,US,2020-04-21 23:40:34,38.5266,-96.7265,2164,109,,2055.0,20.0,88.74351647414301,19101.0,419.0,5.036968576709796,84000020,USA,783.3132662535146,19.362292051756008
2226,Kansas,US,2020-04-22 23:40:26,38.5266,-96.7265,2331,112,,2219.0,20.0,95.5920225976097,20203.0,432.0,4.804804804804805,84000020,USA,828.5052048646538,18.53281853281853
