,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1292,Kentucky,US,2020-04-12 23:18:15,37.6681,-84.6701,1963,97,464.0,1866.0,21.0,57.34228025,24567.0,459.0,4.941416200000001,84000021,USA,717.6402439,23.38257769
1352,Kentucky,US,2020-04-13 23:07:54,37.6681,-84.6701,2018,113,607.0,1905.0,21.0,58.948915710937655,25866.0,667.0,5.599603567888999,84000021,USA,755.5860524177965,33.052527254707634
604,Kentucky,US,2020-04-14 23:33:31,37.6681,-84.6701,2048,106,629.0,1942.0,21.0,59.82526233,26683.0,673.0,5.17578125,84000021,USA,779.4518919,32.86132813
545,Kentucky,US,2020-04-15 22:56:51,37.6681,-84.6701,2210,115,653.0,2095.0,21.0,64.55753405409921,27697.0,687.0,5.203619909502263,84000021,USA,809.0724075549257,31.08597285067873
1759,Kentucky,US,2020-04-16 23:30:51,37.6681,-84.6701,2435,129,862.0,2306.0,21.0,71.13013367499167,28324.0,807.0,5.297741273100616,84000021,USA,827.3880518318127,33.14168377823409
1818,Kentucky,US,2020-04-17 23:30:52,37.6681,-84.6701,2522,137,956.0,2385.0,21.0,73.67153886173675,29747.0,971.0,5.4321966693100725,84000021,USA,868.9560929897236,38.501189532117365
895,Kentucky,US,2020-04-18 22:32:47,37.6681,-84.6701,2707,144,979.0,2563.0,21.0,79.07567632780388,30596.0,1008.0,5.319541928333949,84000021,USA,893.7567022258912,37.23679349833764
1035,Kentucky,US,2020-04-19 23:41:01,37.6681,-84.6701,2960,146,1174.0,2814.0,21.0,86.46619945707405,32225.0,1059.0,4.9324324324324325,84000021,USA,941.3423234811527,35.777027027027025
370,Kentucky,US,2020-04-20 23:36:47,37.6681,-84.6701,3050,154,1174.0,2896.0,21.0,89.09523930543104,32572.0,1059.0,5.049180327868854,84000021,USA,951.4787326742622,34.721311475409834
311,Kentucky,US,2020-04-21 23:40:34,37.6681,-84.6701,3204,171,1174.0,3033.0,21.0,93.59381860150854,32820.0,1059.0,5.337078651685394,84000021,USA,958.7231980341792,33.05243445692884
2227,Kentucky,US,2020-04-22 23:40:26,37.6681,-84.6701,3378,185,1266.0,3193.0,21.0,98.6766289749987,33328.0,1076.0,5.476613380698638,84000021,USA,973.5626674004608,31.85316755476613
2286,Kentucky,US,2020-04-24 03:33:00,37.6681,-84.6701,3479,191,1311.0,3288.0,21.0,101.62699591593264,36075.0,1105.0,5.4900833572865775,84000021,USA,1053.8068058830902,31.76200057487784
3564,Kentucky,US,2020-04-25 06:32:46,37.6681,-84.6701,3779,200,1341.0,3579.0,21.0,110.39046207712259,44962.0,1143.0,5.292405398253506,84000021,USA,1313.4098851314068,30.24609685101879
3505,Kentucky,US,2020-04-26 02:32:45,37.6681,-84.6701,3915,205,1341.0,3710.0,21.0,114.36323340352871,44962.0,1143.0,5.236270753512133,84000021,USA,1313.4098851314068,29.19540229885057
