,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1293,Louisiana,US,2020-04-12 23:18:15,31.1695,-91.8678,20595,840,,19755.0,22.0,447.9836494,104045.0,2084.0,4.078659869,84000022,USA,2263.19295,10.11896091
1353,Louisiana,US,2020-04-13 23:07:54,31.1695,-91.8678,21016,884,,20132.0,22.0,457.1412661351334,108091.0,2134.0,4.206318995051388,84000022,USA,2351.20177949242,10.154168252759805
605,Louisiana,US,2020-04-14 23:33:31,31.1695,-91.8678,21518,1013,,20505.0,22.0,468.06079960000005,118422.0,1977.0,4.7076865880000005,84000022,USA,2575.922298,9.187656845
546,Louisiana,US,2020-04-15 22:56:51,31.1695,-91.8678,21951,1103,,20848.0,22.0,477.4794410416974,121928.0,1943.0,5.024828026058039,84000022,USA,2652.1850160508443,8.851532959774044
1760,Louisiana,US,2020-04-16 23:30:51,31.1695,-91.8678,22532,1156,,21376.0,22.0,490.1173871601078,126586.0,1914.0,5.130481093555832,84000022,USA,2753.506105585363,8.494585478430677
1819,Louisiana,US,2020-04-17 23:30:52,31.1695,-91.8678,23118,1213,,21905.0,22.0,502.86409357213614,131987.0,1868.0,5.24699368457479,84000022,USA,2870.9889747515153,8.08028376157107
896,Louisiana,US,2020-04-18 22:32:47,31.1695,-91.8678,23580,1267,,22313.0,22.0,512.9135447024382,137999.0,1761.0,5.373197625106021,84000022,USA,3001.7623517977863,7.468193384223919
1036,Louisiana,US,2020-04-19 23:41:01,31.1695,-91.8678,23928,1296,,22632.0,22.0,520.4832611382503,141504.0,1748.0,5.4162487462387165,84000022,USA,3078.003317623997,7.305249080575058
371,Louisiana,US,2020-04-20 23:36:47,31.1695,-91.8678,24523,1328,,23195.0,22.0,533.4257360787911,142099.0,1794.0,5.4153243893487755,84000022,USA,3090.9457925645365,7.315581291032907
312,Louisiana,US,2020-04-21 23:40:34,31.1695,-91.8678,24854,1405,,23449.0,22.0,540.6256675163021,142430.0,1798.0,5.653013599420617,84000022,USA,3098.1457240020477,7.234248008368874
2228,Louisiana,US,2020-04-22 23:40:26,31.1695,-91.8678,25258,1473,,23785.0,22.0,549.4134992406356,142834.0,1747.0,5.8318156623644,84000022,USA,3106.933555726381,6.916620476680657
2287,Louisiana,US,2020-04-24 03:33:00,31.1695,-91.8678,25739,1599,,24140.0,22.0,559.8762394866861,143315.0,1727.0,6.2123625626481225,84000022,USA,3117.396295972432,6.709662380045844
3565,Louisiana,US,2020-04-25 06:32:46,31.1695,-91.8678,26140,1660,14927.0,24480.0,22.0,568.5988150348488,143716.0,1697.0,6.350420811017598,84000022,USA,3126.118871520595,6.491966335118593
3506,Louisiana,US,2020-04-26 02:32:45,31.1695,-91.8678,26512,1707,14927.0,24805.0,22.0,576.6905808800274,139002.0,1700.0,6.438593844296923,84000022,USA,3023.579666697555,6.412190706095352
1176,Louisiana,US,2020-04-27 02:32:46,31.1695,-91.8678,26773,1729,14927.0,25044.0,22.0,582.3678682068863,143036.0,1701.0,6.4579987300638715,84000022,USA,3111.327471588549,6.3534157546782195
1235,Louisiana,US,2020-04-28 02:32:46,31.1695,-91.8678,27068,1740,17303.0,25328.0,22.0,588.7847255303477,146989.0,1683.0,6.428254765775084,84000022,USA,3197.3133597229307,6.217674006206591
1994,Louisiana,US,2020-04-29 02:32:33,31.1695,-91.8678,27286,1801,17303.0,25485.0,22.0,593.5266743320923,151108.0,,6.600454445503187,84000022,USA,3286.91008960543,
2053,Louisiana,US,2020-04-30 02:32:31,31.1695,-91.8678,27660,1845,17303.0,25815.0,22.0,601.6619442947177,156568.0,,6.670281995661606,84000022,USA,3405.676330236275,
1586,Louisiana,US,2020-05-01 02:32:32,31.1695,-91.8678,28001,1905,17303.0,8793.0,22.0,609.0793963194646,161309.0,,6.803328452555267,84000022,USA,3508.802840644853,
138,Louisiana,US,2020-05-02 02:32:31,31.1695,-91.8678,28711,1970,17303.0,9438.0,22.0,624.5233580132192,168251.0,,6.861481662080736,84000022,USA,3659.805632304069,
2404,Louisiana,US,2020-05-03 02:32:33,31.1695,-91.8678,29140,1993,17303.0,9844.0,22.0,633.8549912056428,172858.0,,6.8393960192175705,84000022,USA,3760.0173668436855,
2346,Louisiana,US,2020-05-04 02:32:32,31.1695,-91.8678,29340,2012,17303.0,10025.0,22.0,638.2054029503622,176160.0,,6.857532379004772,84000022,USA,3831.842664749005,
