,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1294,Maine,US,2020-04-12 23:18:15,44.6939,-69.3819,633,19,266.0,614.0,23.0,53.91795272,6721.0,120.0,3.0015797789999996,84000023,USA,572.4842974,18.95734597
1354,Maine,US,2020-04-13 23:07:54,44.6939,-69.3819,698,19,273.0,679.0,23.0,59.45455133960132,12306.0,124.0,2.722063037249284,84000023,USA,1048.2058865116533,17.76504297994269
606,Maine,US,2020-04-14 23:33:31,44.6939,-69.3819,735,20,292.0,715.0,23.0,62.60615363,12342.0,124.0,2.721088435,84000023,USA,1051.27231,16.870748300000002
547,Maine,US,2020-04-15 22:56:51,44.6939,-69.3819,770,24,305.0,746.0,23.0,65.58739904225362,14846.0,126.0,3.116883116883117,84000023,USA,1264.5591249107754,16.363636363636363
1761,Maine,US,2020-04-16 23:30:51,44.6939,-69.3819,796,27,333.0,769.0,23.0,67.8020384904336,14872.0,130.0,3.391959798994975,84000023,USA,1266.7737643589555,16.331658291457288
1820,Maine,US,2020-04-17 23:30:52,44.6939,-69.3819,827,29,352.0,798.0,23.0,70.44257014018667,14903.0,133.0,3.5066505441354288,84000023,USA,1269.4142960087086,16.08222490931076
897,Maine,US,2020-04-18 22:32:47,44.6939,-69.3819,847,32,382.0,815.0,23.0,72.14613894647898,14923.0,136.0,3.7780401416765055,84000023,USA,1271.117864815001,16.056670602125152
1037,Maine,US,2020-04-19 23:41:01,44.6939,-69.3819,867,34,393.0,833.0,23.0,73.84970775277128,14943.0,136.0,3.92156862745098,84000023,USA,1272.8214336212932,15.68627450980392
372,Maine,US,2020-04-20 23:36:47,44.6939,-69.3819,875,35,414.0,840.0,23.0,74.53113527528821,14951.0,138.0,4.0,84000023,USA,1273.5028611438104,15.771428571428574
313,Maine,US,2020-04-21 23:40:34,44.6939,-69.3819,888,36,443.0,852.0,23.0,75.6384549993782,14964.0,139.0,4.0540540540540535,84000023,USA,1274.6101808679002,15.653153153153156
2229,Maine,US,2020-04-22 23:40:26,44.6939,-69.3819,907,39,455.0,868.0,23.0,77.25684536535589,17691.0,144.0,4.299889746416759,84000023,USA,1506.8917876058554,15.87651598676957
2288,Maine,US,2020-04-24 03:33:00,44.6939,-69.3819,937,44,485.0,893.0,23.0,79.81219857479434,17721.0,150.0,4.6958377801494136,84000023,USA,1509.4471408152938,16.008537886873
3566,Maine,US,2020-04-25 06:32:46,44.6939,-69.3819,965,47,499.0,918.0,23.0,82.19719490360356,17749.0,152.0,4.870466321243524,84000023,USA,1511.8321371441034,15.751295336787564
3507,Maine,US,2020-04-26 02:32:45,44.6939,-69.3819,965,47,519.0,918.0,23.0,82.19719490360356,17774.0,156.0,4.870466321243524,84000023,USA,1513.9615981519685,16.165803108808287
1177,Maine,US,2020-04-27 02:32:46,44.6939,-69.3819,1015,50,532.0,965.0,23.0,86.45611691933432,17799.0,159.0,4.9261083743842375,84000023,USA,1516.091059159834,15.665024630541874
1236,Maine,US,2020-04-28 02:32:46,44.6939,-69.3819,1023,51,549.0,972.0,23.0,87.13754444185123,17807.0,161.0,4.98533724340176,84000023,USA,1516.7724866823507,15.73802541544477
1995,Maine,US,2020-04-29 02:32:33,44.6939,-69.3819,1040,51,585.0,989.0,23.0,88.58557792719971,17824.0,163.0,4.903846153846153,84000023,USA,1518.2205201676993,15.673076923076925
2054,Maine,US,2020-04-30 02:32:31,44.6939,-69.3819,1056,52,615.0,1004.0,23.0,89.94843297223352,20602.0,166.0,4.924242424242424,84000023,USA,1754.8462273617001,15.719696969696967
1587,Maine,US,2020-05-01 02:32:32,44.6939,-69.3819,1095,53,631.0,411.0,23.0,93.27039214450352,20641.0,170.0,4.840182648401827,84000023,USA,1758.1681865339701,15.525114155251144
139,Maine,US,2020-05-02 02:32:31,44.6939,-69.3819,1123,55,657.0,411.0,23.0,95.65538847331274,20669.0,177.0,4.8975957257346385,84000023,USA,1760.5531828627793,15.761353517364205
