,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1295,Maryland,US,2020-04-12 23:18:15,39.0639,-76.8021,8225,236,456.0,7989.0,24.0,138.3903145,49764.0,1860.0,2.869300912,84000024,USA,837.3076732000001,22.61398176
1355,Maryland,US,2020-04-13 23:07:54,39.0639,-76.8021,8936,262,603.0,8674.0,24.0,150.3532949093396,51751.0,1975.0,2.9319606087735006,84000024,USA,870.7400811160737,22.10161145926589
607,Maryland,US,2020-04-14 23:33:31,39.0639,-76.8021,9472,302,607.0,9170.0,24.0,159.371801,53733.0,2122.0,3.18834459,84000024,USA,904.0883612,22.4028716
548,Maryland,US,2020-04-15 22:56:51,39.0639,-76.8021,10032,311,607.0,9721.0,24.0,168.79411979974208,55763.0,2231.0,3.100079744816587,84000024,USA,938.244268579846,22.238835725677827
1762,Maryland,US,2020-04-16 23:30:51,39.0639,-76.8021,10784,319,736.0,10465.0,24.0,181.44694855666046,58843.0,2451.0,2.958086053412463,84000024,USA,990.0670246587144,22.72811572700297
1821,Maryland,US,2020-04-17 23:30:52,39.0639,-76.8021,11572,334,736.0,11238.0,24.0,194.70549783917613,62009.0,2612.0,2.886277220877981,84000024,USA,1043.3367797709536,22.571724853093677
898,Maryland,US,2020-04-18 22:32:47,39.0639,-76.8021,12326,421,771.0,11905.0,24.0,207.3919777364056,65370.0,2757.0,3.4155443777381147,84000024,USA,1099.8875210635106,22.367353561577158
1038,Maryland,US,2020-04-19 23:41:01,39.0639,-76.8021,12847,461,914.0,12386.0,24.0,216.1580997874089,67891.0,2886.0,3.5883863937105938,84000024,USA,1142.3047834254671,22.464388573207756
373,Maryland,US,2020-04-20 23:44:33,39.0639,-76.8021,13684,582,917.0,13102.0,24.0,230.2411020075429,71397.0,3014.0,4.253142356036247,84000024,USA,1201.2952323905686,22.02572347266881
314,Maryland,US,2020-04-21 23:40:34,39.0639,-76.8021,14193,652,930.0,13541.0,24.0,238.80531721668046,73635.0,3158.0,4.593813851898823,84000024,USA,1238.9508583985255,22.25040512928909
2230,Maryland,US,2020-04-22 23:40:26,39.0639,-76.8021,14775,698,981.0,14077.0,24.0,248.597799047168,76529.0,3325.0,4.7241962774957695,84000024,USA,1287.6440584284746,22.50423011844332
2289,Maryland,US,2020-04-24 03:33:00,39.0639,-76.8021,15737,748,1040.0,14989.0,24.0,264.78399753673654,80100.0,3477.0,4.753129567261867,84000024,USA,1347.7281694536819,22.094427146215924
3567,Maryland,US,2020-04-25 06:32:46,39.0639,-76.8021,16616,798,1108.0,15818.0,24.0,279.5736737034005,84716.0,3618.0,4.80259990370727,84000024,USA,1425.3950012913626,21.774193548387093
3508,Maryland,US,2020-04-26 02:32:45,39.0639,-76.8021,17766,875,1165.0,16891.0,24.0,298.9230793821987,89123.0,3760.0,4.925137903861309,84000024,USA,1499.5452889665482,21.164021164021165
1178,Maryland,US,2020-04-27 02:32:46,39.0639,-76.8021,18581,910,1177.0,17671.0,24.0,312.63591905891224,96665.0,3962.0,4.897475916258544,84000024,USA,1626.4437390791534,21.322856681556424
1237,Maryland,US,2020-04-28 02:32:46,39.0639,-76.8021,19487,945,1263.0,18542.0,24.0,327.87988561977414,104976.0,4101.0,4.849386770667625,84000024,USA,1766.2810526413198,21.04479909683379
1996,Maryland,US,2020-04-29 02:32:33,39.0639,-76.8021,20113,1016,1295.0,19097.0,24.0,338.4126925371025,107785.0,4268.0,5.0514592552080755,84000024,USA,1813.544079208054,21.220106398846518
2055,Maryland,US,2020-04-30 02:32:31,39.0639,-76.8021,20849,1078,1361.0,19771.0,24.0,350.79631217153326,110929.0,4402.0,5.170511775145091,84000024,USA,1866.4436717768729,21.11372248069452
1588,Maryland,US,2020-05-01 02:32:32,39.0639,-76.8021,21742,1140,1432.0,19170.0,24.0,365.821546320374,114359.0,4559.0,5.243307883359396,84000024,USA,1924.1553774101574,20.96863214055745
140,Maryland,US,2020-05-02 02:32:31,39.0639,-76.8021,23472,1080,1517.0,20875.0,24.0,394.92978268934877,120983.0,4718.0,4.601226993865031,84000024,USA,2035.6079541200354,20.10054533060668
2406,Maryland,US,2020-05-03 02:32:33,39.0639,-76.8021,24473,1251,1590.0,21632.0,24.0,411.77217841498083,125522.0,4910.0,5.1117558125280915,84000024,USA,2111.979217055744,20.06292649041801
2348,Maryland,US,2020-05-04 02:32:32,39.0639,-76.8021,25462,1281,1666.0,22515.0,24.0,428.4126672987472,132794.0,5051.0,5.03102662791611,84000024,USA,2234.3347632263703,19.837404760034566
2812,Maryland,US,2020-05-05 02:32:38,39.0639,-76.8021,26408,1317,1695.0,23396.0,24.0,444.32965666582817,136995.0,5199.0,4.987125113601938,84000024,USA,2305.0189834495277,19.687215995152982
2870,Maryland,US,2020-05-06 02:32:35,39.0639,-76.8021,27117,1390,1810.0,23917.0,24.0,456.2589859060612,140103.0,5337.0,5.125935759855442,84000024,USA,2357.312855492749,19.68138068370395
1704,Maryland,US,2020-05-07 02:32:32,39.0639,-76.8021,28163,1437,1903.0,24823.0,24.0,473.8585322886898,144012.0,5497.0,5.102439370805668,84000024,USA,2423.084009230508,19.51851720342293
1646,Maryland,US,2020-05-08 02:32:36,39.0639,-76.8021,29374,1503,2029.0,25842.0,24.0,494.23429774697195,148600.0,5663.0,5.11676993259345,84000024,USA,2500.2797251038346,19.27895417716348
2638,Maryland,US,2020-05-09 02:32:39,39.0639,-76.8021,30485,1560,2041.0,26884.0,24.0,512.9275061897066,152187.0,5811.0,5.11727078891258,84000024,USA,2560.633045251529,19.06183368869936
2580,Maryland,US,2020-05-10 02:32:34,39.0639,-76.8021,31534,1614,2159.0,27761.0,24.0,530.5775292828016,156028.0,5932.0,5.1182850256865615,84000024,USA,2625.2600602187163,18.81144161857043
1414,Maryland,US,2020-05-11 02:32:34,39.0639,-76.8021,32587,1644,2293.0,28650.0,24.0,548.2948546565186,159931.0,5955.0,5.044956577776414,84000024,USA,2690.930260535541,18.27415840672661
1472,Maryland,US,2020-05-12 03:32:31,39.0639,-76.8021,33373,1683,2298.0,29392.0,24.0,561.5197527987233,164780.0,6183.0,5.042998831390644,84000024,USA,2772.517450219448,18.52695292601804
3218,Maryland,US,2020-05-13 03:32:30,39.0639,-76.8021,34061,1756,2394.0,29911.0,24.0,573.0957450656912,169503.0,6287.0,5.155456387070256,84000024,USA,2851.984618063764,18.45806053844573
3160,Maryland,US,2020-05-14 03:32:32,39.0639,-76.8021,34812,1809,2456.0,30547.0,24.0,585.7317482524542,173574.0,6404.0,5.196483971044468,84000024,USA,2920.481514166709,18.395955417672067
1880,Maryland,US,2020-05-15 02:33:07,39.0639,-76.8021,35903,1866,2569.0,31468.0,24.0,593.8620634899631,178454.0,6553.0,5.197337269866028,84000024,USA,2951.760595995819,18.25195666100326
1938,Maryland,US,2020-05-16 02:32:24,39.0639,-76.8021,36986,1911,2685.0,32390.0,24.0,611.7756811475301,182826.0,6679.0,5.166819877791597,84000024,USA,3024.0766960871233,18.058184177797003
724,Maryland,US,2020-05-17 02:32:37,39.0639,-76.8021,37968,1957,2806.0,33205.0,24.0,628.0186844159798,190175.0,6755.0,5.154340497260852,84000024,USA,3145.6345688160804,17.79129793510325
666,Maryland,US,2020-05-18 02:32:26,39.0639,-76.8021,38804,1992,2816.0,33996.0,24.0,641.8467401516455,194926.0,6993.0,5.133491392639934,84000024,USA,3224.2196080507074,18.021338006391094
3450,Maryland,US,2020-05-19 02:32:23,39.0639,-76.8021,39762,2023,2817.0,34922.0,24.0,657.6927657434729,201506.0,7086.0,5.0877722448568985,84000024,USA,3333.057654391235,17.821035159197226
3392,Maryland,US,2020-05-20 02:32:25,39.0639,-76.8021,41546,2081,2868.0,36597.0,24.0,687.2014397057072,208658.0,7199.0,5.008905791171231,84000024,USA,3451.357002024586,17.32778125451307
2114,Maryland,US,2020-05-21 02:32:54,39.0639,-76.8021,42323,2123,2993.0,37207.0,24.0,700.0535919863438,215330.0,7393.0,5.016185053044443,84000024,USA,3561.7167961254972,17.468043380667723
2172,Maryland,US,2020-05-22 02:36:57,39.0639,-76.8021,43531,2159,3099.0,38273.0,24.0,720.0348017096505,220233.0,7485.0,4.9596839034251445,84000024,USA,3642.8160273120643,17.194642898164528
256,Maryland,US,2020-05-23 02:32:47,39.0639,-76.8021,44424,2207,3243.0,38974.0,24.0,734.8056794272935,227902.0,7634.0,4.968035296236268,84000024,USA,3769.666935729314,17.18440482622006
198,Maryland,US,2020-05-24 02:32:48,39.0639,-76.8021,45495,2243,3283.0,39969.0,24.0,752.5208082465497,232327.0,7825.0,4.930212111221013,84000024,USA,3842.8596948564928,17.19969227387625
782,Maryland,US,2020-05-25 02:32:50,39.0639,-76.8021,46313,2277,3319.0,40717.0,24.0,766.0511307247489,240362.0,7939.0,4.916546110163453,84000024,USA,3975.7645128422278,17.142055146503147
840,Maryland,US,2020-05-26 02:32:41,39.0639,-76.8021,47152,2302,3329.0,41521.0,24.0,779.9288086699926,249577.0,8092.0,4.882083474720054,84000024,USA,4128.1873999285435,17.161520190023754
3334,Maryland,US,2020-05-27 02:32:37,39.0639,-76.8021,47687,2333,3334.0,42020.0,24.0,788.7781027113575,254487.0,8179.0,4.892318661270367,84000024,USA,4209.402416270792,17.151424916643947
3276,Maryland,US,2020-05-28 02:32:37,39.0639,-76.8021,48423,2392,3401.0,42630.0,24.0,800.9520847944318,262055.0,8281.0,4.9398013340767815,84000024,USA,4334.582710298924,17.101377444602768
490,Maryland,US,2020-05-29 02:32:58,39.0639,-76.8021,49709,2428,3468.0,43813.0,24.0,822.2234719667598,274858.0,8392.0,4.884427367277556,84000024,USA,4546.353760040227,16.882254722484866
432,Maryland,US,2020-05-30 02:32:55,39.0639,-76.8021,50988,2466,3571.0,44951.0,24.0,843.3790739834062,284518.0,8479.0,4.836432101670981,84000024,USA,4706.137274880576,16.629402996783558
3044,Maryland,US,2020-05-31 02:32:52,39.0639,-76.8021,52015,2509,3649.0,45857.0,24.0,860.366410395522,293946.0,8619.0,4.823608574449677,84000024,USA,4862.083338846912,16.570220128808998
3102,Maryland,US,2020-06-01 02:32:54,39.0639,-76.8021,52778,2532,3764.0,46482.0,24.0,872.986992364796,301881.0,8738.0,4.797453484406382,84000024,USA,4993.334083180056,16.556140816249194
1530,Maryland,US,2020-06-02 02:33:16,39.0639,-76.8021,53327,2552,3782.0,46993.0,24.0,882.0678567175238,308730.0,8886.0,4.78556828623399,84000024,USA,5106.621587646056,16.663228758415062
2986,Maryland,US,2020-06-03 02:33:21,39.0639,-76.8021,54175,2597,3855.0,47723.0,24.0,896.0944012915007,315815.0,8957.0,4.793724042455007,84000024,USA,5223.8127059321705,16.53345639132441
2928,Maryland,US,2020-06-04 02:33:23,39.0639,-76.8021,54982,2641,3970.0,48371.0,24.0,909.4427756679147,327625.0,9111.0,4.803390200429232,84000024,USA,5419.158804303238,16.57087774180641
2464,Maryland,US,2020-06-05 02:33:15,39.0639,-76.8021,55858,2668,3985.0,49205.0,24.0,923.9324608646173,337018.0,9217.0,4.776397293136167,84000024,USA,5574.525942491167,16.50076980915894
