,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1296,Massachusetts,US,2020-04-12 23:18:15,42.2302,-71.5301,25475,756,,24719.0,25.0,371.1516059,116730.0,2235.0,2.9676153089999997,84000025,USA,1700.668379,8.773307164
1356,Massachusetts,US,2020-04-13 23:07:54,42.2302,-71.5301,26867,844,,26023.0,25.0,391.4319997808785,122049.0,2340.0,3.141400230766368,84000025,USA,1778.1622116818567,8.709569360181638
608,Massachusetts,US,2020-04-14 23:33:31,42.2302,-71.5301,28164,844,,27320.0,25.0,410.3283151,126551.0,2340.0,2.996733419,84000025,USA,1843.752968,8.308478909
549,Massachusetts,US,2020-04-15 22:56:51,42.2302,-71.5301,29918,1108,,28810.0,25.0,435.88277699200967,132023.0,3454.0,3.7034561133765616,84000025,USA,1923.475896343876,11.54488936426232
1763,Massachusetts,US,2020-04-16 23:30:51,42.2302,-71.5301,32181,1108,,31073.0,25.0,468.8529863754216,140773.0,3454.0,3.4430253876510983,84000025,USA,2050.9568208267992,10.733041235511637
1822,Massachusetts,US,2020-04-17 23:30:52,42.2302,-71.5301,34402,1245,,33157.0,25.0,501.21128732131547,148744.0,3729.0,3.618975640951108,84000025,USA,2167.0883007186135,10.839486076390907
899,Massachusetts,US,2020-04-18 22:32:47,42.2302,-71.5301,36372,1404,,34968.0,25.0,529.9127068906134,156806.0,3729.0,3.8601121741999336,84000025,USA,2284.5455822250506,10.252391949851534
1039,Massachusetts,US,2020-04-19 23:41:01,42.2302,-71.5301,38077,1706,,36371.0,25.0,554.753275604143,162241.0,3729.0,4.480394989101032,84000025,USA,2363.729447889586,9.793313548861518
374,Massachusetts,US,2020-04-20 23:36:47,42.2302,-71.5301,38077,1706,,36371.0,25.0,554.753275604143,162241.0,3729.0,4.480394989101032,84000025,USA,2363.729447889586,9.793313548861518
315,Massachusetts,US,2020-04-21 23:40:34,42.2302,-71.5301,41199,1961,,39238.0,25.0,600.2384694596499,175372.0,3872.0,4.759824267579309,84000025,USA,2555.0382501050444,9.398286366173936
2231,Massachusetts,US,2020-04-22 23:40:26,42.2302,-71.5301,42944,2182,,40762.0,25.0,625.6618081136727,180462.0,3977.0,5.081035767511176,84000025,USA,2629.195725032825,9.260897913561847
2290,Massachusetts,US,2020-04-24 03:33:00,42.2302,-71.5301,46023,2360,,43663.0,25.0,670.5205242831493,195076.0,4493.0,5.127870847185103,84000025,USA,2842.1107227920747,9.762510049323165
3568,Massachusetts,US,2020-04-25 06:32:46,42.2302,-71.5301,50969,2556,,48413.0,25.0,742.5800274251534,215213.0,4752.0,5.014812925503739,84000025,USA,3135.491680084945,9.323314171359062
3509,Massachusetts,US,2020-04-26 02:32:45,42.2302,-71.5301,53348,2730,,50618.0,25.0,777.2402696359959,226845.0,4965.0,5.117342730749044,84000025,USA,3304.9611787804142,9.306815625702932
1179,Massachusetts,US,2020-04-27 02:32:46,42.2302,-71.5301,54938,2899,,52039.0,25.0,800.4053747706073,236100.0,5104.0,5.276857548509228,84000025,USA,3439.799573762065,9.29047289671994
1238,Massachusetts,US,2020-04-28 02:32:46,42.2302,-71.5301,56462,3003,,53459.0,25.0,822.6089095034042,244887.0,5237.0,5.318621373667245,84000025,USA,3567.8195604399452,9.275264779851936
1997,Massachusetts,US,2020-04-29 02:32:33,42.2302,-71.5301,58302,3153,,55149.0,25.0,849.4163267660989,254500.0,5515.0,5.40804775136359,84000025,USA,3707.873746389012,9.45936674556619
2056,Massachusetts,US,2020-04-30 02:32:31,42.2302,-71.5301,60265,3405,,56860.0,25.0,878.0157615958105,265618.0,5758.0,5.6500456317929135,84000025,USA,3869.854651349141,9.554467767360824
1589,Massachusetts,US,2020-05-01 02:32:32,42.2302,-71.5301,62205,3562,0.0,58643.0,25.0,906.2801037097386,275647.0,5942.0,5.726227795193312,84000025,USA,4015.96964467934,9.552286793666104
141,Massachusetts,US,2020-05-02 02:32:31,42.2302,-71.5301,64311,3716,0.0,60595.0,25.0,936.9629410767141,289636.0,6169.0,5.778171696910326,84000025,USA,4219.77886211838,9.592449192206619
2407,Massachusetts,US,2020-05-03 02:32:33,42.2302,-71.5301,66263,3846,0.0,62417.0,25.0,965.4021141727901,298994.0,6378.0,5.804144092479966,84000025,USA,4356.117889696802,9.625281076920755
2349,Massachusetts,US,2020-05-04 02:32:32,42.2302,-71.5301,68087,4004,0.0,64083.0,25.0,991.9764234592874,314646.0,6507.0,5.880711442712999,84000025,USA,4584.155767411855,9.556890448984387
2813,Massachusetts,US,2020-05-05 02:32:38,42.2302,-71.5301,69087,4090,0.0,64997.0,25.0,1006.5456719716216,324268.0,6622.0,5.920071793535688,84000025,USA,4724.341076597531,9.585015994325994
2871,Massachusetts,US,2020-05-06 02:32:35,42.2302,-71.5301,70271,4212,,66059.0,25.0,1023.7956622102248,333349.0,6831.0,5.993937755261773,84000025,USA,4856.644422338038,9.720937513341207
