,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1297,Michigan,US,2020-04-12 23:18:15,43.3266,-84.5361,24244,1479,433.0,22765.0,26.0,304.2953668,79437.0,3636.0,6.100478469,84000026,USA,997.0430232000001,14.99752516
1357,Michigan,US,2020-04-13 23:07:54,43.3266,-84.5361,25635,1602,447.0,24033.0,26.0,321.7543197729608,82644.0,3986.0,6.249268578115858,84000026,USA,1037.2952605155676,15.549054027696506
609,Michigan,US,2020-04-14 23:33:31,43.3266,-84.5361,27001,1768,452.0,25233.0,26.0,338.89948849999996,86226.0,3910.0,6.547905632999999,84000026,USA,1082.254261,14.48094515
550,Michigan,US,2020-04-15 22:56:51,43.3266,-84.5361,28059,1921,452.0,26138.0,26.0,352.17883590830917,89697.0,3918.0,6.846288178481058,84000026,USA,1125.8200593202755,13.963434192237784
1764,Michigan,US,2020-04-16 23:30:51,43.3266,-84.5361,28809,1996,617.0,26813.0,26.0,361.5923619402858,94286.0,3809.0,6.928390433545072,84000026,USA,1183.4182872679296,13.221562706098787
1823,Michigan,US,2020-04-17 23:30:52,43.3266,-84.5361,30023,2227,629.0,27796.0,26.0,376.8297227440453,98959.0,3674.0,7.4176464710388705,84000026,USA,1242.0708301311654,12.23728474835959
900,Michigan,US,2020-04-18 22:32:47,43.3266,-84.5361,30791,2308,3237.0,28483.0,26.0,386.46917340078943,99727.0,3634.0,7.49569679451788,84000026,USA,1251.7102807879096,11.802149978889934
1040,Michigan,US,2020-04-19 23:41:01,43.3266,-84.5361,31424,2391,3237.0,29033.0,26.0,394.41418937177775,109661.0,3403.0,7.608834012219959,84000026,USA,1376.3955709234506,10.829302443991851
375,Michigan,US,2020-04-20 23:36:47,43.3266,-84.5361,32000,2468,3237.0,29532.0,26.0,401.64377736433573,113798.0,3374.0,7.7125,84000026,USA,1428.3205805158334,10.54375
316,Michigan,US,2020-04-21 23:40:34,43.3266,-84.5361,32667,2575,3237.0,30092.0,26.0,410.01553984877364,117226.0,3357.0,7.882572626809932,84000026,USA,1471.346670165988,10.276425750757646
2232,Michigan,US,2020-04-22 23:40:26,43.3266,-84.5361,33966,2813,3237.0,31153.0,26.0,426.31976693615707,118225.0,3305.0,8.281811222987692,84000026,USA,1483.8854868405808,9.730318553847962
