,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1298,Minnesota,US,2020-04-12 23:18:15,45.6945,-93.9002,1621,70,842.0,1551.0,27.0,32.77100367,37421.0,361.0,4.318322023,84000027,USA,756.5229662,22.27020358
1358,Minnesota,US,2020-04-13 23:07:54,45.6945,-93.9002,1621,70,842.0,1551.0,27.0,32.771003666066505,38427.0,361.0,4.318322023442319,84000027,USA,776.8608006637493,22.27020357803825
610,Minnesota,US,2020-04-14 23:33:31,45.6945,-93.9002,1695,79,909.0,1616.0,27.0,34.26702728,39241.0,405.0,4.660766962,84000027,USA,793.3170604,23.89380531
551,Minnesota,US,2020-04-15 22:56:51,45.6945,-93.9002,1809,87,940.0,1722.0,27.0,36.571712296060646,40242.0,445.0,4.8092868988391375,84000027,USA,813.5538121714055,24.59922609176341
1765,Minnesota,US,2020-04-16 23:30:51,45.6945,-93.9002,1809,87,1020.0,1722.0,27.0,36.571712296060646,41675.0,475.0,4.8092868988391375,84000027,USA,842.5241072074779,26.25760088446655
1824,Minnesota,US,2020-04-17 23:30:52,45.6945,-93.9002,2070,111,1066.0,1959.0,27.0,41.84822800046741,43053.0,518.0,5.36231884057971,84000027,USA,870.3824928039243,25.02415458937198
901,Minnesota,US,2020-04-18 22:32:47,45.6945,-93.9002,2209,121,1118.0,2088.0,27.0,44.65832640243116,44268.0,561.0,5.4775916704391125,84000027,USA,894.9455831520247,25.39610683567225
1041,Minnesota,US,2020-04-19 23:41:01,45.6945,-93.9002,2356,134,1160.0,2222.0,27.0,47.630157086522324,45716.0,574.0,5.687606112054329,84000027,USA,924.219126217086,24.363327674023772
376,Minnesota,US,2020-04-20 23:36:47,45.6945,-93.9002,2470,143,1202.0,2327.0,27.0,49.93484210683792,46850.0,602.0,5.789473684210527,84000027,USA,947.1446772086464,24.37246963562753
317,Minnesota,US,2020-04-21 23:40:34,45.6945,-93.9002,2567,160,1254.0,2407.0,27.0,51.89584602763277,47697.0,629.0,6.2329567588624855,84000027,USA,964.2680825788859,24.503311258278146
2233,Minnesota,US,2020-04-22 23:40:26,45.6945,-93.9002,2722,179,1317.0,2543.0,27.0,55.02940899385135,49344.0,660.0,6.576047024246877,84000027,USA,997.5647161618663,24.246877296105804
2292,Minnesota,US,2020-04-24 03:33:00,45.6945,-93.9002,2942,200,1536.0,2742.0,27.0,59.477046752355115,51548.0,712.0,6.798096532970767,84000027,USA,1042.1219598879684,24.20122365737593
3570,Minnesota,US,2020-04-25 06:32:46,45.6945,-93.9002,3185,221,1594.0,2964.0,27.0,64.38966482197522,53787.0,756.0,6.938775510204081,84000027,USA,1087.386782348377,23.736263736263734
3511,Minnesota,US,2020-04-26 02:32:45,45.6945,-93.9002,3446,244,1654.0,3202.0,27.0,69.66618052638198,59699.0,797.0,7.0806732443412645,84000027,USA,1206.9069388405333,23.128264654672083
1181,Minnesota,US,2020-04-27 02:32:46,45.6945,-93.9002,3602,272,1774.0,3330.0,27.0,72.81996002786647,58987.0,829.0,7.551360355358135,84000027,USA,1192.5127657311934,23.014991671293725
1240,Minnesota,US,2020-04-28 02:32:46,45.6945,-93.9002,3811,286,1842.0,3525.0,27.0,77.04521589844506,61268.0,861.0,7.504591970611387,84000027,USA,1238.6266826727715,22.59249540802939
1999,Minnesota,US,2020-04-29 02:32:33,45.6945,-93.9002,4181,301,1912.0,3880.0,27.0,84.52533394683779,63829.0,912.0,7.199234632862952,84000027,USA,1290.4012294888087,21.81296340588376
2058,Minnesota,US,2020-04-30 02:32:31,45.6945,-93.9002,4644,319,2043.0,4325.0,27.0,93.88558977496166,66744.0,950.0,6.869078380706288,84000027,USA,1349.3324297889835,20.45650301464255
1591,Minnesota,US,2020-05-01 02:32:32,45.6945,-93.9002,5136,343,2172.0,2621.0,27.0,103.8321251257974,70276.0,1044.0,6.678348909657321,84000027,USA,1420.7372323482355,20.32710280373832
143,Minnesota,US,2020-05-02 02:32:31,45.6945,-93.9002,5730,370,2282.0,3078.0,27.0,115.8407470737576,74829.0,1096.0,6.457242582897033,84000027,USA,1512.7831174139978,19.12739965095986
2409,Minnesota,US,2020-05-03 02:32:33,45.6945,-93.9002,6232,394,2397.0,3441.0,27.0,125.9894477772526,79007.0,1159.0,6.322207958921695,84000027,USA,1597.2478017550382,18.597560975609763
2351,Minnesota,US,2020-05-04 02:32:32,45.6945,-93.9002,6663,418,3015.0,3230.0,27.0,134.70277447686684,82632.0,1199.0,6.2734503977187455,84000027,USA,1670.5327420940207,17.9948971934564
2815,Minnesota,US,2020-05-05 02:32:38,45.6945,-93.9002,7234,427,4212.0,2595.0,27.0,146.24641611371072,85941.0,1271.0,5.902681780481062,84000027,USA,1737.4292572889706,17.569809234171966
2873,Minnesota,US,2020-05-06 02:32:35,45.6945,-93.9002,7851,455,4614.0,2782.0,27.0,158.72001837278725,88009.0,1350.0,5.7954400713284935,84000027,USA,1779.2370522189062,17.19526175009553
1707,Minnesota,US,2020-05-07 02:32:32,45.6945,-93.9002,8579,485,5005.0,3089.0,27.0,173.43765604638162,93232.0,1405.0,5.653339550064111,84000027,USA,1884.8280159128394,16.377200139876443
