,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1299,Mississippi,US,2020-04-12 23:18:15,32.7416,-89.6787,2781,96,,2685.0,28.0,96.05534114,21413.0,548.0,3.451995685,84000028,USA,739.6019489,19.70514204
1359,Mississippi,US,2020-04-13 23:07:54,32.7416,-89.6787,2942,98,,2844.0,28.0,101.61625804865007,30984.0,549.0,3.3310673011556764,84000028,USA,1070.1829161724588,18.66077498300476
611,Mississippi,US,2020-04-14 23:33:31,32.7416,-89.6787,3087,111,,2976.0,28.0,106.62453729999999,37878.0,596.0,3.5957240039999996,84000028,USA,1308.300687,19.30677033
552,Mississippi,US,2020-04-15 22:56:51,32.7416,-89.6787,3360,122,,3238.0,28.0,116.0539180977105,38151.0,645.0,3.6309523809523814,84000028,USA,1317.7300682576645,19.196428571428573
1766,Mississippi,US,2020-04-16 23:30:51,32.7416,-89.6787,3624,129,,3495.0,28.0,125.17244023395918,38415.0,682.0,3.5596026490066226,84000028,USA,1326.8485903939136,18.818984547461373
1825,Mississippi,US,2020-04-17 23:30:52,32.7416,-89.6787,3793,140,,3653.0,28.0,131.00967599542142,38584.0,736.0,3.691009754811495,84000028,USA,1332.6858261553755,19.404165568151857
902,Mississippi,US,2020-04-18 22:32:47,32.7416,-89.6787,3974,152,,3822.0,28.0,137.26139003580406,38765.0,782.0,3.824861600402617,84000028,USA,1338.9375401957582,19.677906391545047
1042,Mississippi,US,2020-04-19 23:41:01,32.7416,-89.6787,4274,159,,4115.0,28.0,147.62334700881388,39065.0,808.0,3.720168460458587,84000028,USA,1349.299497168768,18.905007019185774
377,Mississippi,US,2020-04-20 23:36:47,32.7416,-89.6787,4512,169,,4343.0,28.0,155.84383287406837,51434.0,819.0,3.745567375886525,84000028,USA,1776.5229831659647,18.15159574468085
318,Mississippi,US,2020-04-21 23:40:34,32.7416,-89.6787,4716,183,,4533.0,28.0,162.8899636157151,52364.0,858.0,3.8804071246819336,84000028,USA,1808.6450497822952,18.193384223918574
2234,Mississippi,US,2020-04-22 23:40:26,32.7416,-89.6787,4894,193,,4701.0,28.0,169.03805808636758,53835.0,910.0,3.9436044135676336,84000028,USA,1859.4531788066204,18.59419697588884
2293,Mississippi,US,2020-04-24 03:33:00,32.7416,-89.6787,5153,201,,4952.0,28.0,177.9838809397328,55389.0,946.0,3.9006404036483597,84000028,USA,1913.1281159268115,18.35823791965845
3571,Mississippi,US,2020-04-25 06:32:46,32.7416,-89.6787,5434,209,,5225.0,28.0,187.6895806377853,55670.0,970.0,3.8461538461538463,84000028,USA,1922.833815624864,17.85057048214943
3512,Mississippi,US,2020-04-26 02:32:45,32.7416,-89.6787,5718,221,,5497.0,28.0,197.49889990556804,58957.0,996.0,3.864987757957328,84000028,USA,2036.3663241924755,17.418677859391394
1182,Mississippi,US,2020-04-27 02:32:46,32.7416,-89.6787,5911,227,,5684.0,28.0,204.16509222487102,60788.0,1001.0,3.8402977499577062,84000028,USA,2099.6088015844125,16.934528844527154
1241,Mississippi,US,2020-04-28 02:32:46,32.7416,-89.6787,6094,229,,5865.0,28.0,210.48588597840703,63462.0,1060.0,3.757794552018378,84000028,USA,2191.968378070507,17.394158188382015
2000,Mississippi,US,2020-04-29 02:32:33,32.7416,-89.6787,6342,239,,6103.0,28.0,219.0517704094285,64412.0,1088.0,3.7685272784610535,84000028,USA,2224.781241818372,17.155471460107222
2059,Mississippi,US,2020-04-30 02:32:31,32.7416,-89.6787,6569,250,3413.0,6319.0,28.0,226.89231785233932,66094.0,1126.0,3.80575430050236,84000028,USA,2282.87728058038,17.141117369462627
1592,Mississippi,US,2020-05-01 02:32:32,32.7416,-89.6787,6815,261,3413.0,3141.0,28.0,235.38912257020743,66340.0,1175.0,3.8297872340425534,84000028,USA,2291.374085298248,17.24137931034483
144,Mississippi,US,2020-05-02 02:32:31,32.7416,-89.6787,7212,281,3413.0,3518.0,28.0,249.1014456311572,71548.0,1226.0,3.8962839711591792,84000028,USA,2471.2576583496993,16.99944536882973
2410,Mississippi,US,2020-05-03 02:32:33,32.7416,-89.6787,7441,291,3413.0,3737.0,28.0,257.0110727872213,74475.0,1265.0,3.9107646821663753,84000028,USA,2572.355818549699,17.000403171616718
2352,Mississippi,US,2020-05-04 02:32:32,32.7416,-89.6787,7550,303,3413.0,3834.0,28.0,260.77591715408164,77593.0,1298.0,4.013245033112582,84000028,USA,2680.0510913558483,17.192052980132452
