,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1300,Missouri,US,2020-04-12 23:18:15,38.4561,-92.2884,4269,118,,4151.0,29.0,72.85659283,45200.0,988.0,2.764113375,84000029,USA,771.4026695,23.14359335
1360,Missouri,US,2020-04-13 23:07:54,38.4561,-92.2884,4515,123,,4392.0,29.0,77.05493479258142,45428.0,988.0,2.724252491694352,84000029,USA,775.2938156716256,21.882613510520486
612,Missouri,US,2020-04-14 23:33:31,38.4561,-92.2884,4746,149,,4597.0,29.0,80.99728029,47978.0,1041.0,3.1394858830000003,84000029,USA,818.8132141,21.93426043
553,Missouri,US,2020-04-15 22:56:51,38.4561,-92.2884,4791,153,,4638.0,29.0,81.76526967691198,49012.0,1024.0,3.1934877896055105,84000029,USA,836.4599034449616,21.3734084742225
1767,Missouri,US,2020-04-16 23:30:51,38.4561,-92.2884,5174,169,,5005.0,29.0,88.30171265045765,50648.0,1043.0,3.266331658291457,84000029,USA,864.3805841361383,20.158484731349045
1826,Missouri,US,2020-04-17 23:30:52,38.4561,-92.2884,5371,184,,5187.0,29.0,91.6637995063023,51717.0,1043.0,3.4258052504189163,84000029,USA,882.6245985975489,19.41910258797245
903,Missouri,US,2020-04-18 22:32:47,38.4561,-92.2884,5579,197,,5382.0,29.0,95.2136171002905,53759.0,875.0,3.5310987632192146,84000029,USA,917.474250169299,15.683814303638645
1043,Missouri,US,2020-04-19 23:41:01,38.4561,-92.2884,5743,199,,5544.0,29.0,98.01251174170434,53909.0,875.0,3.465087933135992,84000029,USA,920.0342147803482,15.235939404492425
378,Missouri,US,2020-04-20 23:36:47,38.4561,-92.2884,5890,200,,5690.0,29.0,100.52127706053257,56013.0,873.0,3.3955857385398978,84000029,USA,955.9419850579984,14.821731748726654
319,Missouri,US,2020-04-21 23:40:34,38.4561,-92.2884,6066,224,,5842.0,29.0,103.52496887083035,57120.0,1001.0,3.692713484998352,84000029,USA,974.8345238875418,16.501813386086386
2235,Missouri,US,2020-04-22 23:40:26,38.4561,-92.2884,6277,238,,6039.0,29.0,107.12598575703957,58156.0,1001.0,3.7916202007328335,84000029,USA,992.5153461345217,15.947108491317508
2294,Missouri,US,2020-04-24 03:33:00,38.4561,-92.2884,6506,252,,6254.0,29.0,111.03419839657471,59450.0,884.0,3.873347679065478,84000029,USA,1014.5993075125062,13.58745773132493
3572,Missouri,US,2020-04-25 06:32:46,38.4561,-92.2884,6788,272,,6516.0,29.0,115.84693186534723,67017.0,877.0,4.007071302298173,84000029,USA,1143.7409889245691,12.919858573954036
3513,Missouri,US,2020-04-26 02:32:45,38.4561,-92.2884,6935,281,,6654.0,29.0,118.35569718417544,67218.0,850.0,4.051910598413843,84000029,USA,1147.1713415033748,12.256669069935114
1183,Missouri,US,2020-04-27 02:32:46,38.4561,-92.2884,7120,283,,6837.0,29.0,121.51298687113615,69748.0,679.0,3.974719101123596,84000029,USA,1190.3494112764051,9.536516853932584
1242,Missouri,US,2020-04-28 02:32:46,38.4561,-92.2884,7305,343,,6962.0,29.0,124.67027655809687,71106.0,679.0,4.695414099931553,84000029,USA,1213.5256242217708,9.295003422313483
2001,Missouri,US,2020-04-29 02:32:33,38.4561,-92.2884,7450,330,,7120.0,29.0,127.14490901544443,73503.0,,4.429530201342282,84000029,USA,1254.4338587063373,
2060,Missouri,US,2020-04-30 02:32:31,38.4561,-92.2884,7660,338,,7322.0,29.0,130.7288594709133,77159.0,,4.412532637075718,84000029,USA,1316.828729492977,
1593,Missouri,US,2020-05-01 02:32:32,38.4561,-92.2884,7818,350,0.0,7468.0,29.0,133.42535552788522,80687.0,,4.476848298797647,84000029,USA,1377.0390971448544,
145,Missouri,US,2020-05-02 02:32:31,38.4561,-92.2884,8067,360,0.0,7707.0,29.0,137.67489678222688,82425.0,,4.462625511342506,84000029,USA,1406.7005537715447,
2411,Missouri,US,2020-05-03 02:32:33,38.4561,-92.2884,8356,376,0.0,7980.0,29.0,142.60709526618172,82744.0,,4.4997606510292005,84000029,USA,1412.1447451777094,
2353,Missouri,US,2020-05-04 02:32:32,38.4561,-92.2884,8618,381,0.0,8237.0,29.0,147.07850012014768,82976.0,,4.420979345555813,84000029,USA,1416.1041571094656,
2817,Missouri,US,2020-05-05 02:32:38,38.4561,-92.2884,8946,386,0.0,8560.0,29.0,152.6762894029753,91451.0,,4.3147775542141735,84000029,USA,1560.7421576337467,
2875,Missouri,US,2020-05-06 02:32:35,38.4561,-92.2884,9121,409,,8712.0,29.0,155.66291478253268,95066.0,,4.484157438877316,84000029,USA,1622.4373047600322,
1709,Missouri,US,2020-05-07 02:32:32,38.4561,-92.2884,9323,428,,8895.0,29.0,159.110333792079,100747.0,,4.590796953770246,84000029,USA,1719.3916977958365,
1651,Missouri,US,2020-05-08 02:32:36,38.4561,-92.2884,9581,449,,9132.0,29.0,163.51347292308364,103622.0,,4.686358417701701,84000029,USA,1768.4576861742794,
2643,Missouri,US,2020-05-09 02:32:39,38.4561,-92.2884,9733,483,,9250.0,29.0,166.10757039561355,108721.0,,4.962498715709441,84000029,USA,1855.4794165192127,
2585,Missouri,US,2020-05-10 02:32:34,38.4561,-92.2884,9911,494,,9417.0,29.0,169.14539506739192,108898.0,,4.984360811219856,84000029,USA,1858.500174760251,
1419,Missouri,US,2020-05-11 02:32:34,38.4561,-92.2884,10068,503,,9565.0,29.0,171.82482469362344,115546.0,,4.996027016289234,84000029,USA,1971.957806321952,
1477,Missouri,US,2020-05-12 03:32:31,38.4561,-92.2884,10157,514,,9643.0,29.0,173.34373702951262,115620.0,,5.060549374815398,84000029,USA,1973.2207221967365,
3223,Missouri,US,2020-05-13 03:32:30,38.4561,-92.2884,10269,529,,9740.0,29.0,175.2551772724294,121296.0,,5.151426623819262,84000029,USA,2070.0897830788385,
3165,Missouri,US,2020-05-14 03:32:32,38.4561,-92.2884,10404,551,,9853.0,29.0,177.5591454223737,124142.0,,5.2960399846213,84000029,USA,2118.6608449658124,
1885,Missouri,US,2020-05-15 02:33:07,38.4561,-92.2884,10594,566,,10028.0,29.0,172.61302291448467,127110.0,,5.342646781196904,84000029,USA,2071.062992510869,
1943,Missouri,US,2020-05-16 02:32:24,38.4561,-92.2884,10766,581,,10185.0,29.0,175.4154997826451,134458.0,,5.396618985695707,84000029,USA,2190.787411273908,
729,Missouri,US,2020-05-17 02:32:37,38.4561,-92.2884,10959,594,,10365.0,29.0,178.5601395242437,139340.0,,5.420202573227483,84000029,USA,2270.332132613205,
671,Missouri,US,2020-05-18 02:32:26,38.4561,-92.2884,11108,600,,10508.0,29.0,180.9878665786385,157044.0,,5.401512423478575,84000029,USA,2558.791728391763,
3455,Missouri,US,2020-05-19 02:32:23,38.4561,-92.2884,11242,611,,10631.0,29.0,183.17119158057739,151338.0,,5.4349759829211886,84000029,USA,2465.821187637557,
3397,Missouri,US,2020-05-20 02:32:25,38.4561,-92.2884,11393,631,,10762.0,29.0,185.6315055752996,154110.0,,5.538488545598175,84000029,USA,2510.9866869313987,
2119,Missouri,US,2020-05-21 02:32:54,38.4561,-92.2884,11528,640,,10888.0,29.0,187.83112404740226,161984.0,,5.551700208188758,84000029,USA,2639.281471000556,
2177,Missouri,US,2020-05-22 02:36:57,38.4561,-92.2884,11689,668,,11021.0,29.0,190.45437274376167,162092.0,,5.714774574386174,84000029,USA,2641.041165778238,
261,Missouri,US,2020-05-23 02:32:47,38.4561,-92.2884,11836,677,,11159.0,29.0,192.849512857829,172946.0,,5.7198377830348095,84000029,USA,2817.890490935291,
203,Missouri,US,2020-05-24 02:32:48,38.4561,-92.2884,11966,682,,11284.0,29.0,194.96766397911307,148304.0,,5.699481865284973,84000029,USA,2416.386799160821,
787,Missouri,US,2020-05-25 02:32:50,38.4561,-92.2884,12149,686,,11463.0,29.0,197.94936901907445,151619.0,,5.646555272038852,84000029,USA,2470.399652753564,
845,Missouri,US,2020-05-26 02:32:41,38.4561,-92.2884,12476,689,,11787.0,29.0,203.277333762612,157385.0,,5.522603398525169,84000029,USA,2564.347801717593,
3339,Missouri,US,2020-05-27 02:32:37,38.4561,-92.2884,12579,693,,11886.0,29.0,204.95556118947547,160298.0,,5.509181969949917,84000029,USA,2611.8106803045184,
3281,Missouri,US,2020-05-28 02:32:37,38.4561,-92.2884,12816,689,,12127.0,29.0,208.8171136182779,165521.0,,5.376092384519351,84000029,USA,2696.911474969645,
495,Missouri,US,2020-05-29 02:32:58,38.4561,-92.2884,12981,708,,12273.0,29.0,211.50553619529225,171067.0,,5.4541252599953784,84000029,USA,2787.2750604976545,
437,Missouri,US,2020-05-30 02:32:55,38.4561,-92.2884,13084,730,,12354.0,29.0,213.18376362215574,177850.0,,5.5793335371446044,84000029,USA,2897.7936686181897,
