,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1301,Montana,US,2020-04-12 23:18:15,46.9219,-110.4544,387,6,169.0,381.0,30.0,44.68889256,8913.0,47.0,1.5503875969999998,84000030,USA,1029.230231,12.14470284
1361,Montana,US,2020-04-13 23:07:54,46.9219,-110.4544,394,7,171.0,387.0,30.0,45.497218780420496,9098.0,47.0,1.7766497461928934,84000030,USA,1050.5931382341766,11.928934010152284
613,Montana,US,2020-04-14 23:33:31,46.9219,-110.4544,399,7,197.0,392.0,30.0,46.07459465,9234.0,50.0,1.754385965,84000030,USA,1066.297762,12.53132832
554,Montana,US,2020-04-15 22:56:51,46.9219,-110.4544,404,7,209.0,397.0,30.0,46.651970526116436,9583.0,51.0,1.7326732673267329,84000030,USA,1106.5985979004304,12.623762376237625
1768,Montana,US,2020-04-16 23:30:51,46.9219,-110.4544,415,7,218.0,408.0,30.0,47.922197446381986,9936.0,52.0,1.686746987951807,84000030,USA,1147.3613345234974,12.530120481927712
1827,Montana,US,2020-04-17 23:30:52,46.9219,-110.4544,422,8,233.0,414.0,30.0,48.73052366836916,10244.0,54.0,1.895734597156398,84000030,USA,1182.9276882909328,12.796208530805687
904,Montana,US,2020-04-18 22:32:47,46.9219,-110.4544,426,10,234.0,416.0,30.0,49.192424366647536,10569.0,55.0,2.347417840375587,84000030,USA,1220.4571200260511,12.910798122065728
1044,Montana,US,2020-04-19 23:41:01,46.9219,-110.4544,433,10,243.0,423.0,30.0,50.0007505886347,10898.0,55.0,2.3094688221709005,84000030,USA,1258.448452459448,12.702078521939955
379,Montana,US,2020-04-20 23:36:47,46.9219,-110.4544,433,10,243.0,423.0,30.0,50.0007505886347,11051.0,57.0,2.3094688221709005,84000030,USA,1276.116154168596,13.163972286374134
320,Montana,US,2020-04-21 23:40:34,46.9219,-110.4544,437,12,273.0,425.0,30.0,50.462651286913086,11241.0,59.0,2.7459954233409607,84000030,USA,1298.056437336819,13.501144164759724
2236,Montana,US,2020-04-22 23:40:26,46.9219,-110.4544,439,14,296.0,425.0,30.0,50.69360163605227,11583.0,59.0,3.1890660592255125,84000030,USA,1337.5489470396208,13.439635535307515
2295,Montana,US,2020-04-24 03:33:00,46.9219,-110.4544,442,14,306.0,428.0,30.0,51.04002715976107,11875.0,59.0,3.1674208144796383,84000030,USA,1371.2676980139427,13.348416289592759
3573,Montana,US,2020-04-25 06:32:46,46.9219,-110.4544,444,14,325.0,430.0,30.0,51.27097750890025,12127.0,59.0,3.1531531531531534,84000030,USA,1400.3674420054806,13.288288288288289
3514,Montana,US,2020-04-26 02:32:45,46.9219,-110.4544,445,14,339.0,431.0,30.0,51.38645268346984,12497.0,61.0,3.1460674157303368,84000030,USA,1443.0932565962307,13.707865168539325
1184,Montana,US,2020-04-27 02:32:46,46.9219,-110.4544,448,14,339.0,434.0,30.0,51.73287820717863,12862.0,61.0,3.125,84000030,USA,1485.2416953141326,13.616071428571427
1243,Montana,US,2020-04-28 02:32:46,46.9219,-110.4544,449,14,352.0,435.0,30.0,51.848353381748225,13033.0,61.0,3.11804008908686,84000030,USA,1504.9879501655334,13.585746102449887
