,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1302,Nebraska,US,2020-04-12 23:18:15,41.1254,-98.2681,791,17,,774.0,31.0,51.85960275,10691.0,,2.149178255,84000031,USA,700.924163,
1362,Nebraska,US,2020-04-13 23:07:54,41.1254,-98.2681,814,17,,797.0,31.0,53.36753051259054,10972.0,,2.0884520884520885,84000031,USA,719.3471066144267,
614,Nebraska,US,2020-04-14 23:33:31,41.1254,-98.2681,897,20,,877.0,31.0,58.80918289,11357.0,,2.229654404,84000031,USA,744.5885062000001,
555,Nebraska,US,2020-04-15 22:56:51,41.1254,-98.2681,901,20,,881.0,31.0,59.071431193911636,11729.0,,2.2197558268590454,84000031,USA,768.9775987496,
1769,Nebraska,US,2020-04-16 23:30:51,41.1254,-98.2681,952,21,,931.0,31.0,62.41509711054815,12294.0,,2.2058823529411766,84000031,USA,806.0201721397888,
1828,Nebraska,US,2020-04-17 23:30:52,41.1254,-98.2681,1066,24,,1042.0,31.0,69.8891738653827,13104.0,,2.25140712945591,84000031,USA,859.1254543451922,
905,Nebraska,US,2020-04-18 22:32:47,41.1254,-98.2681,1249,24,,1225.0,31.0,81.88703391919606,13677.0,,1.9215372297838271,84000031,USA,896.6925243497552,
1045,Nebraska,US,2020-04-19 23:41:01,41.1254,-98.2681,1474,28,,1446.0,31.0,96.63850119847477,14575.0,,1.899592944369064,84000031,USA,955.5672693132767,
380,Nebraska,US,2020-04-20 23:36:47,41.1254,-98.2681,1648,33,,1615.0,31.0,108.04630256111696,15680.0,,2.0024271844660197,84000031,USA,1028.0133641737345,
321,Nebraska,US,2020-04-21 23:40:34,41.1254,-98.2681,1685,33,,1652.0,31.0,110.47209940259836,16372.0,,1.9584569732937684,84000031,USA,1073.3823213171158,
2237,Nebraska,US,2020-04-22 23:40:26,41.1254,-98.2681,1813,38,,1775.0,31.0,118.86404523258804,16679.0,,2.095973524544953,84000031,USA,1093.5098788937316,
2296,Nebraska,US,2020-04-24 03:33:00,41.1254,-98.2681,2202,47,,2155.0,31.0,144.367693106541,17360.0,,2.1344232515894643,84000031,USA,1138.1576531923486,
3574,Nebraska,US,2020-04-25 06:32:46,41.1254,-98.2681,2424,50,,2374.0,31.0,158.9224741554293,19973.0,,2.0627062706270634,84000031,USA,1309.471359862372,
3515,Nebraska,US,2020-04-26 02:32:45,41.1254,-98.2681,2719,50,,2669.0,31.0,178.26328681048363,19973.0,,1.8389113644722324,84000031,USA,1309.471359862372,
1185,Nebraska,US,2020-04-27 02:32:46,41.1254,-98.2681,3028,56,,2972.0,31.0,198.52196854069308,21228.0,,1.8494055482166447,84000031,USA,1391.7517662423486,
1244,Nebraska,US,2020-04-28 02:32:46,41.1254,-98.2681,3358,56,,3302.0,31.0,220.15745388363518,22363.0,,1.6676593210244193,84000031,USA,1466.1647234067104,
2003,Nebraska,US,2020-04-29 02:32:33,41.1254,-98.2681,3517,56,,3461.0,31.0,230.5818240943255,23605.0,,1.592266135911288,84000031,USA,1547.592822788329,
2062,Nebraska,US,2020-04-30 02:32:31,41.1254,-98.2681,3851,56,,3795.0,31.0,252.47955774445475,23631.0,,1.4541677486367175,84000031,USA,1549.2974367850454,
1595,Nebraska,US,2020-05-01 02:32:32,41.1254,-98.2681,4281,70,0.0,4211.0,31.0,280.6712507670763,25321.0,,1.635131978509694,84000031,USA,1660.0973465716281,
147,Nebraska,US,2020-05-02 02:32:31,41.1254,-98.2681,5008,73,0.0,4935.0,31.0,328.33488059834576,27385.0,,1.4576677316293931,84000031,USA,1795.4174730802113,
2413,Nebraska,US,2020-05-03 02:32:33,41.1254,-98.2681,5317,73,0.0,5244.0,31.0,348.5935623285552,29348.0,,1.37295467368817,84000031,USA,1924.1158298323185,
2355,Nebraska,US,2020-05-04 02:32:32,41.1254,-98.2681,5661,78,0.0,5583.0,31.0,371.1469167466524,31262.0,,1.3778484366719657,84000031,USA,2049.6016448213827,
2819,Nebraska,US,2020-05-05 02:32:38,41.1254,-98.2681,6037,78,0.0,5959.0,31.0,395.7982576222471,33754.0,,1.2920324664568494,84000031,USA,2212.9823401989943,
2877,Nebraska,US,2020-05-06 02:32:35,41.1254,-98.2681,6373,78,,6295.0,31.0,417.82711542596985,34609.0,,1.2239133845912442,84000031,USA,2269.037915860253,
1711,Nebraska,US,2020-05-07 02:32:32,41.1254,-98.2681,6689,78,,6611.0,31.0,438.54473169375694,36128.0,,1.1660935864852744,84000031,USA,2368.6267105145835,
1653,Nebraska,US,2020-05-08 02:32:36,41.1254,-98.2681,7334,91,,7243.0,31.0,480.8322712276892,37758.0,,1.2407962912462502,84000031,USA,2475.4928956933577,
2645,Nebraska,US,2020-05-09 02:32:39,41.1254,-98.2681,7818,90,,7728.0,31.0,512.5643163973376,40412.0,,1.1511895625479662,84000031,USA,2649.4946475120505,
2587,Nebraska,US,2020-05-10 02:32:34,41.1254,-98.2681,8093,90,,8003.0,31.0,530.5938875164561,42976.0,,1.1120721611268998,84000031,USA,2817.5958124190306,
1421,Nebraska,US,2020-05-11 02:32:34,41.1254,-98.2681,8171,90,,8081.0,31.0,535.707729506606,45569.0,,1.1014563700893405,84000031,USA,2987.5982775531184,
1479,Nebraska,US,2020-05-12 03:32:31,41.1254,-98.2681,8407,98,,8309.0,31.0,551.1803796306493,46239.0,,1.1656952539550374,84000031,USA,3031.5248690069707,
3225,Nebraska,US,2020-05-13 03:32:30,41.1254,-98.2681,8532,100,,8432.0,31.0,559.3756392302488,47943.0,,1.1720581340834506,84000031,USA,3143.242647868708,
3167,Nebraska,US,2020-05-14 03:32:32,41.1254,-98.2681,8912,103,,8809.0,31.0,584.2892284130306,49725.0,,1.1557450628366248,84000031,USA,3260.0742687205952,
1887,Nebraska,US,2020-05-15 02:33:07,41.1254,-98.2681,9260,103,,9157.0,31.0,478.6994263878148,53341.0,,1.1123110151187905,84000031,USA,2757.484460362033,
1945,Nebraska,US,2020-05-16 02:32:24,41.1254,-98.2681,9610,113,,9497.0,31.0,496.7928172340065,57215.0,,1.1758584807492196,84000031,USA,2957.752449328167,
731,Nebraska,US,2020-05-17 02:32:37,41.1254,-98.2681,10220,123,,10097.0,31.0,528.3270127087977,59978.0,,1.203522504892368,84000031,USA,3100.586846208246,
673,Nebraska,US,2020-05-18 02:32:26,41.1254,-98.2681,10177,123,,10054.0,31.0,526.104110404837,65640.0,,1.2086076446890046,84000031,USA,3393.2862146972093,
3457,Nebraska,US,2020-05-19 02:32:23,41.1254,-98.2681,10625,123,,10502.0,31.0,549.2636506879625,67501.0,,1.1576470588235297,84000031,USA,3489.491358596532,
3399,Nebraska,US,2020-05-20 02:32:25,41.1254,-98.2681,10854,123,,10731.0,31.0,561.1018978416134,69984.0,,1.1332227750138195,84000031,USA,3617.8510427996575,
2121,Nebraska,US,2020-05-21 02:32:54,41.1254,-98.2681,11122,138,,10984.0,31.0,574.9562656895546,72135.0,,1.2407840316489842,84000031,USA,3729.04785340011,
2179,Nebraska,US,2020-05-22 02:36:57,41.1254,-98.2681,11427,138,,11289.0,31.0,590.7233634269502,75640.0,,1.2076660540824364,84000031,USA,3910.240238874116,
263,Nebraska,US,2020-05-23 02:32:47,41.1254,-98.2681,11662,147,,11515.0,31.0,602.8717829951075,78419.0,,1.2605042016806722,84000031,USA,4053.9017621928774,
205,Nebraska,US,2020-05-24 02:32:48,41.1254,-98.2681,11963,147,,11816.0,31.0,618.4320991228324,79982.0,,1.2287887653598597,84000031,USA,4134.701676171728,
789,Nebraska,US,2020-05-25 02:32:50,41.1254,-98.2681,12134,147,,11987.0,31.0,627.2720129362575,83205.0,,1.2114718971485083,84000031,USA,4301.315958163945,
847,Nebraska,US,2020-05-26 02:32:41,41.1254,-98.2681,12362,147,,12215.0,31.0,639.058564687491,85732.0,,1.1891279728199322,84000031,USA,4431.950240073449,
3341,Nebraska,US,2020-05-27 02:32:37,41.1254,-98.2681,12619,147,,12472.0,31.0,652.3442831088373,88042.0,,1.1649100562643633,84000031,USA,4551.366619658314,
3283,Nebraska,US,2020-05-28 02:32:37,41.1254,-98.2681,12984,153,,12831.0,31.0,671.2131049912945,90421.0,,1.1783733826247689,84000031,USA,4674.34998201,
497,Nebraska,US,2020-05-29 02:32:58,41.1254,-98.2681,13249,163,,13086.0,31.0,684.9123866319825,92980.0,,1.2302815306815609,84000031,USA,4806.63851679687,
439,Nebraska,US,2020-05-30 02:32:55,41.1254,-98.2681,13648,164,,13484.0,31.0,705.5388521966411,94803.0,,1.201641266119578,84000031,USA,4900.87923540432,
3051,Nebraska,US,2020-05-31 02:32:52,41.1254,-98.2681,13905,170,,13735.0,31.0,718.8245706179875,99008.0,,1.2225818051060773,84000031,USA,5118.258402570709,
3109,Nebraska,US,2020-06-01 02:32:54,41.1254,-98.2681,14101,170,,13931.0,31.0,728.9568694918547,101142.0,,1.205588256152046,84000031,USA,5228.576391330061,
1537,Nebraska,US,2020-06-02 02:33:16,41.1254,-98.2681,14345,170,,14175.0,31.0,741.5705476817714,103665.0,,1.1850819100731962,84000031,USA,5359.003891629894,
2993,Nebraska,US,2020-06-03 02:33:21,41.1254,-98.2681,14616,170,,14446.0,31.0,755.5800017369655,106418.0,,1.1631089217296111,84000031,USA,5501.321334485796,
2935,Nebraska,US,2020-06-04 02:33:23,41.1254,-98.2681,14885,170,6743.0,7972.0,31.0,769.4860649873242,109966.0,851.0,1.1420893516963386,84000031,USA,5684.736622263762,5.71716493113873
2471,Nebraska,US,2020-06-05 02:33:15,41.1254,-98.2681,15139,187,7005.0,7947.0,31.0,782.6166972014177,112255.0,902.0,1.23522029196116,84000031,USA,5803.067398397857,5.958121408283242
2529,Nebraska,US,2020-06-06 02:33:09,41.1254,-98.2681,15406,187,7598.0,7621.0,31.0,796.419369646941,114822.0,905.0,1.213812800207711,84000031,USA,5935.769496404068,5.874334674802026
89,Nebraska,US,2020-06-07 03:53:50,41.1254,-98.2681,15572,187,7957.0,7428.0,31.0,805.0008064482778,117547.0,919.0,1.2008733624454149,84000031,USA,6076.639467992275,5.901618289237093
31,Nebraska,US,2020-06-08 03:33:42,41.1254,-98.2681,15664,187,8255.0,7222.0,31.0,809.7567834707053,119769.0,928.0,1.1938202247191012,84000031,USA,6191.506652164384,5.9244126659857
2761,Nebraska,US,2020-06-09 03:33:19,41.1254,-98.2681,15786,188,8455.0,7143.0,31.0,816.0636225656634,121407.0,935.0,1.190928670974281,84000031,USA,6276.183721324561,5.922969720005067
2703,Nebraska,US,2020-06-10 04:07:14,41.1254,-98.2681,15918,189,8637.0,7092.0,31.0,822.8874156847986,122692.0,967.0,1.1873350923482848,84000031,USA,6342.612313431293,6.074883779369268
