,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1303,Nevada,US,2020-04-12 23:18:15,38.3135,-117.0554,2836,112,,2724.0,32.0,94.01010443,24611.0,282.0,3.94922426,84000032,USA,815.8260508,9.943582511
1363,Nevada,US,2020-04-13 23:07:54,38.3135,-117.0554,2990,114,,2876.0,32.0,99.1150254732245,25464.0,,3.812709030100335,84000032,USA,844.1020095820031,
615,Nevada,US,2020-04-14 23:33:31,38.3135,-117.0554,3134,126,,3008.0,32.0,103.8884581,26661.0,,4.020421187,84000032,USA,883.7811686000001,
556,Nevada,US,2020-04-15 22:56:51,38.3135,-117.0554,3211,131,,3080.0,32.0,106.4409186603759,27655.0,,4.07972594207412,84000032,USA,916.7311135324496,
1770,Nevada,US,2020-04-16 23:30:51,38.3135,-117.0554,3214,137,,3077.0,32.0,106.54036517422865,28451.0,,4.262601120099564,84000032,USA,943.1175885413749,
1829,Nevada,US,2020-04-17 23:30:52,38.3135,-117.0554,3524,142,,3382.0,32.0,116.81650493901111,29762.0,,4.029511918274688,84000032,USA,986.5757150950196,
906,Nevada,US,2020-04-18 22:32:47,38.3135,-117.0554,3626,151,,3475.0,32.0,120.19768641000404,30751.0,,4.164368450082737,84000032,USA,1019.3599158284708,
1046,Nevada,US,2020-04-19 23:41:01,38.3135,-117.0554,3728,158,,3570.0,32.0,123.57886788099701,31598.0,,4.238197424892704,84000032,USA,1047.4369815728924,
381,Nevada,US,2020-04-20 23:36:47,38.3135,-117.0554,3830,159,,3671.0,32.0,126.96004935198994,32347.0,,4.151436031331594,84000032,USA,1072.265461198125,
322,Nevada,US,2020-04-21 23:40:34,38.3135,-117.0554,3937,163,,3774.0,32.0,130.50697501273746,33055.0,,4.1402082804165605,84000032,USA,1095.73483846737,
2238,Nevada,US,2020-04-22 23:40:26,38.3135,-117.0554,4081,172,,3909.0,32.0,135.28040767766865,33888.0,,4.214653271257045,84000032,USA,1123.3478204804792,
2297,Nevada,US,2020-04-24 03:33:00,38.3135,-117.0554,4208,195,,4013.0,32.0,139.49031009743442,34749.0,,4.63403041825095,84000032,USA,1151.8889699562135,
3575,Nevada,US,2020-04-25 06:32:46,38.3135,-117.0554,4398,197,,4201.0,32.0,145.7885893081075,36192.0,,4.479308776716691,84000032,USA,1199.7227431193785,
