,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1304,New Hampshire,US,2020-04-12 23:18:15,43.4525,-71.5639,929,23,236.0,906.0,33.0,69.94702398,10925.0,146.0,2.475780409,84000033,USA,822.5739902,15.71582347
1364,New Hampshire,US,2020-04-13 23:07:54,43.4525,-71.5639,985,23,239.0,962.0,33.0,74.16342154639392,11207.0,152.0,2.3350253807106602,84000033,USA,843.8065637263318,15.431472081218276
616,New Hampshire,US,2020-04-14 23:33:31,43.4525,-71.5639,922,25,249.0,897.0,33.0,69.41997428,11610.0,152.0,2.7114967460000003,84000033,USA,874.1495677000001,16.48590022
557,New Hampshire,US,2020-04-15 22:56:51,43.4525,-71.5639,1139,32,365.0,1107.0,33.0,85.7585148643073,12166.0,178.0,2.809482001755926,84000033,USA,916.0123721151558,15.62774363476734
1771,New Hampshire,US,2020-04-16 23:30:51,43.4525,-71.5639,1139,32,365.0,1107.0,33.0,85.7585148643073,12166.0,178.0,2.809482001755926,84000033,USA,916.0123721151558,15.62774363476734
1830,New Hampshire,US,2020-04-17 23:30:52,43.4525,-71.5639,1287,37,455.0,1250.0,33.0,96.90185129970457,12708.0,190.0,2.8749028749028747,84000033,USA,956.8210771691107,14.763014763014764
907,New Hampshire,US,2020-04-18 22:32:47,43.4525,-71.5639,1342,38,468.0,1304.0,33.0,101.04295605610218,12852.0,190.0,2.8315946348733236,84000033,USA,967.6632423494972,14.157973174366616
1047,New Hampshire,US,2020-04-19 23:41:01,43.4525,-71.5639,1390,38,513.0,1352.0,33.0,104.65701111623102,13424.0,192.0,2.733812949640288,84000033,USA,1010.7307318160324,13.81294964028777
382,New Hampshire,US,2020-04-20 23:36:47,43.4525,-71.5639,1447,42,521.0,1405.0,33.0,108.948701500134,14118.0,198.0,2.902557014512785,84000033,USA,1062.9839445603957,13.683483068417413
323,New Hampshire,US,2020-04-21 23:40:34,43.4525,-71.5639,1490,42,521.0,1448.0,33.0,112.18629249149944,14339.0,206.0,2.8187919463087248,84000033,USA,1079.6236563997386,13.825503355704695
2239,New Hampshire,US,2020-04-22 23:40:26,43.4525,-71.5639,1588,48,546.0,1540.0,33.0,119.56498823926249,15041.0,206.0,3.022670025188917,84000033,USA,1132.479211654123,12.972292191435768
2298,New Hampshire,US,2020-04-24 03:33:00,43.4525,-71.5639,1670,51,550.0,1619.0,33.0,125.73899896698259,16012.0,213.0,3.053892215568862,84000033,USA,1205.5885338079793,12.754491017964073
3576,New Hampshire,US,2020-04-25 06:32:46,43.4525,-71.5639,1720,53,578.0,1667.0,33.0,129.5036396546168,17727.0,224.0,3.081395348837209,84000033,USA,1334.7157093938326,13.023255813953488
3517,New Hampshire,US,2020-04-26 02:32:45,43.4525,-71.5639,1797,53,578.0,1744.0,33.0,135.30118631357348,17727.0,224.0,2.9493600445186416,84000033,USA,1334.7157093938326,12.465219810795775
1187,New Hampshire,US,2020-04-27 02:32:46,43.4525,-71.5639,1864,60,777.0,1804.0,33.0,140.34580483500332,18751.0,238.0,3.218884120171674,84000033,USA,1411.815550676581,12.76824034334764
1246,New Hampshire,US,2020-04-28 02:32:46,43.4525,-71.5639,1938,60,779.0,1878.0,33.0,145.91747305270198,19724.0,242.0,3.095975232198142,84000033,USA,1485.0754584579431,12.487100103199177
2005,New Hampshire,US,2020-04-29 02:32:33,43.4525,-71.5639,2010,60,798.0,1950.0,33.0,151.33855564289522,20145.0,246.0,2.985074626865672,84000033,USA,1516.7737330478228,12.238805970149254
2064,New Hampshire,US,2020-04-30 02:32:31,43.4525,-71.5639,2058,60,936.0,1998.0,33.0,154.95261070302402,20746.0,249.0,2.915451895043732,84000033,USA,1562.0247141131867,12.099125364431488
1597,New Hampshire,US,2020-05-01 02:32:32,43.4525,-71.5639,2146,72,980.0,1094.0,33.0,161.57837831326026,21921.0,259.0,3.3550792171481825,84000033,USA,1650.4937702725904,12.06896551724138
149,New Hampshire,US,2020-05-02 02:32:31,43.4525,-71.5639,2310,81,980.0,1249.0,33.0,173.9263997687005,22049.0,262.0,3.5064935064935066,84000033,USA,1660.1312504329333,11.34199134199134
2415,New Hampshire,US,2020-05-03 02:32:33,43.4525,-71.5639,2429,84,980.0,1365.0,33.0,182.8862446052699,24349.0,270.0,3.4582132564841497,84000033,USA,1833.3047220641074,11.115685467270481
2357,New Hampshire,US,2020-05-04 02:32:32,43.4525,-71.5639,2518,86,1107.0,1325.0,33.0,189.5873050292588,28393.0,277.0,3.4154090548054015,84000033,USA,2137.7888608799617,11.000794281175537
2821,New Hampshire,US,2020-05-05 02:32:38,43.4525,-71.5639,2588,86,1017.0,1485.0,33.0,194.85780199194667,26870.0,286.0,3.323029366306028,84000033,USA,2023.117905534624,11.051004636785162
2879,New Hampshire,US,2020-05-06 02:32:35,43.4525,-71.5639,2636,92,1019.0,1525.0,33.0,198.47185705207556,26870.0,286.0,3.4901365705614573,84000033,USA,2023.117905534624,10.849772382397573
1713,New Hampshire,US,2020-05-07 02:32:32,43.4525,-71.5639,2741,92,1105.0,1544.0,33.0,206.37760249610736,27733.0,295.0,3.356439255746078,84000033,USA,2088.0956038031904,10.762495439620576
