,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1305,New Jersey,US,2020-04-12 23:18:15,40.2989,-74.521,61850,2350,,59500.0,34.0,696.3372772000001,126735.0,7604.0,3.7995149560000003,84000034,USA,1426.844055,12.29426031
1365,New Jersey,US,2020-04-13 23:07:54,40.2989,-74.521,64584,2443,,62141.0,34.0,727.1179742833693,129469.0,7781.0,3.7826706304967175,84000034,USA,1457.624752454068,12.047875634832153
617,New Jersey,US,2020-04-14 23:33:31,40.2989,-74.521,68824,2805,,66019.0,34.0,774.8539493,139774.0,8185.0,4.075613158,84000034,USA,1573.643437,11.89265373
558,New Jersey,US,2020-04-15 22:56:51,40.2989,-74.521,71030,3156,,67874.0,34.0,799.6901665017299,144021.0,8270.0,4.443193017035056,84000034,USA,1621.458221452142,11.642967760101365
1772,New Jersey,US,2020-04-16 23:30:51,40.2989,-74.521,75317,3518,,71799.0,34.0,847.9552903056566,151830.0,8224.0,4.670924226934158,84000034,USA,1709.3757282832275,10.919181592469164
1831,New Jersey,US,2020-04-17 23:30:52,40.2989,-74.521,78467,3840,,74627.0,34.0,883.4195170335244,157449.0,8011.0,4.893777001796933,84000034,USA,1772.6371536749384,10.20938738578001
908,New Jersey,US,2020-04-18 22:32:47,40.2989,-74.521,81420,4070,,77350.0,34.0,916.665822280316,162536.0,7718.0,4.998771800540409,84000034,USA,1829.909065219276,9.479243429132893
1048,New Jersey,US,2020-04-19 23:41:01,40.2989,-74.521,85301,4362,,80939.0,34.0,960.3600013059844,170688.0,7494.0,5.113656346349983,84000034,USA,1921.6882322940626,8.785360077841995
383,New Jersey,US,2020-04-20 23:36:47,40.2989,-74.521,88722,4496,,84226.0,34.0,998.875277380916,178057.0,6986.0,5.067514258019432,84000034,USA,2004.6520058679223,7.874033497892293
324,New Jersey,US,2020-04-21 23:40:34,40.2989,-74.521,92387,4753,,87634.0,34.0,1040.1376237166735,184826.0,7594.0,5.144663210191911,84000034,USA,2080.8606886364732,8.219771179927912
2240,New Jersey,US,2020-04-22 23:40:26,40.2989,-74.521,95914,5150,,90764.0,34.0,1079.84629916721,191659.0,7210.0,5.369393414934212,84000034,USA,2157.7899144242583,7.517150780907898
2299,New Jersey,US,2020-04-24 03:33:00,40.2989,-74.521,100025,5426,,94599.0,34.0,1126.1299296682464,200148.0,7240.0,5.42464383904024,84000034,USA,2253.363190834693,7.2381904523869025
3577,New Jersey,US,2020-04-25 06:32:46,40.2989,-74.521,102196,5683,,96513.0,34.0,1150.5720998987865,205962.0,6847.0,5.56088300911973,84000034,USA,2318.820020738129,6.6998708364319555
3518,New Jersey,US,2020-04-26 02:32:45,40.2989,-74.521,105498,5914,,99584.0,34.0,1187.747616297332,213686.0,6722.0,5.605793474757816,84000034,USA,2405.780556371796,6.3716847712752855
1188,New Jersey,US,2020-04-27 02:32:46,40.2989,-74.521,109038,5938,,103100.0,34.0,1227.6026520486505,223144.0,6573.0,5.44580788349016,84000034,USA,2512.263304432803,6.02817366422715
1247,New Jersey,US,2020-04-28 02:32:46,40.2989,-74.521,111188,6044,,105144.0,34.0,1251.8083941010045,227775.0,6407.0,5.435838399827318,84000034,USA,2564.401346965107,5.762312479764002
2006,New Jersey,US,2020-04-29 02:32:33,40.2989,-74.521,113856,6442,15642.0,107414.0,34.0,1281.8460312152747,234359.0,,5.658024170882517,84000034,USA,2638.527210068688,
2065,New Jersey,US,2020-04-30 02:32:31,40.2989,-74.521,116365,6771,15642.0,109594.0,34.0,1310.0935692661385,241318.0,,5.818759936406996,84000034,USA,2716.875004925587,
1598,New Jersey,US,2020-05-01 02:32:32,40.2989,-74.521,118652,7228,15642.0,95782.0,34.0,1335.8417237190379,247918.0,,6.091764150625358,84000034,USA,2791.181003783977,
150,New Jersey,US,2020-05-02 02:32:31,40.2989,-74.521,121190,7538,15642.0,98010.0,34.0,1364.4157578254913,256545.0,,6.21998514728938,84000034,USA,2888.3079510796324,
2416,New Jersey,US,2020-05-03 02:32:33,40.2989,-74.521,123717,7742,15642.0,100333.0,34.0,1392.865948600514,262312.0,,6.257830370927197,84000034,USA,2953.2356322033197,
2358,New Jersey,US,2020-05-04 02:32:32,40.2989,-74.521,126744,7871,15642.0,103231.0,34.0,1426.9453817132935,275066.0,,6.210155904816007,84000034,USA,3096.82634575482,
2822,New Jersey,US,2020-05-05 02:32:38,40.2989,-74.521,128269,7910,15642.0,104717.0,34.0,1444.1145708434522,277220.0,,6.166727736241803,84000034,USA,3121.077121745876,
2880,New Jersey,US,2020-05-06 02:32:35,40.2989,-74.521,130593,8244,15642.0,106707.0,34.0,1470.2792892293453,287623.0,,6.312742643173831,84000034,USA,3238.199137825244,
1714,New Jersey,US,2020-05-07 02:32:32,40.2989,-74.521,131890,8549,15642.0,107699.0,34.0,1484.8815438534866,288920.0,,6.481916748805822,84000034,USA,3252.801392449385,
1656,New Jersey,US,2020-05-08 02:32:36,40.2989,-74.521,133991,8807,15642.0,109542.0,34.0,1508.5356201567404,292658.0,,6.5728295184004875,84000034,USA,3294.8856081664544,
