,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1309,North Dakota,US,2020-04-12 23:18:15,47.5289,-99.78399999999999,308,7,121.0,301.0,38.0,50.79004911,10350.0,39.0,2.272727273,84000038,USA,1706.7435329999998,12.66233766
1369,North Dakota,US,2020-04-13 23:07:54,47.5289,-99.784,331,8,127.0,323.0,38.0,54.58281251545964,10781.0,40.0,2.416918429003021,84000038,USA,1777.8166215382792,12.084592145015106
621,North Dakota,US,2020-04-14 23:33:31,47.5289,-99.78399999999999,341,8,138.0,333.0,38.0,56.23184008,10916.0,42.0,2.346041056,84000038,USA,1800.078494,12.31671554
562,North Dakota,US,2020-04-15 22:56:51,47.5289,-99.784,365,9,142.0,356.0,38.0,60.189506248165465,11317.0,44.0,2.4657534246575343,84000038,USA,1866.2044992068177,12.054794520547945
1776,North Dakota,US,2020-04-16 23:30:51,47.5289,-99.784,393,9,163.0,384.0,38.0,64.80678343980554,11704.0,45.0,2.2900763358778624,84000038,USA,1930.0218661055576,11.450381679389313
1835,North Dakota,US,2020-04-17 23:30:52,47.5289,-99.784,393,9,172.0,384.0,38.0,64.80678343980554,12342.0,47.0,2.2900763358778624,84000038,USA,2035.2298249722141,11.959287531806615
912,North Dakota,US,2020-04-18 22:32:47,47.5289,-99.784,528,9,183.0,519.0,38.0,87.06865561378456,12963.0,47.0,1.7045454545454546,84000038,USA,2137.6344369725175,8.901515151515152
1052,North Dakota,US,2020-04-19 23:41:01,47.5289,-99.784,585,9,189.0,576.0,38.0,96.46811275390905,13630.0,51.0,1.5384615384615383,84000038,USA,2247.624575787658,8.717948717948719
387,North Dakota,US,2020-04-20 23:36:47,47.5289,-99.784,627,9,189.0,618.0,38.0,103.39402854136915,14747.0,53.0,1.4354066985645932,84000038,USA,2431.8209551827285,8.452950558213718
328,North Dakota,US,2020-04-21 23:40:34,47.5289,-99.784,644,13,214.0,631.0,38.0,106.19737540772205,14987.0,54.0,2.018633540372671,84000038,USA,2471.397616825358,8.385093167701863
2244,North Dakota,US,2020-04-22 23:40:26,47.5289,-99.784,679,14,229.0,665.0,38.0,111.96897189727218,15589.0,62.0,2.061855670103093,84000038,USA,2570.66907644562,9.131075110456553
2303,North Dakota,US,2020-04-24 03:33:00,47.5289,-99.784,709,15,269.0,694.0,38.0,116.91605460260084,16330.0,65.0,2.1156558533145278,84000038,USA,2692.862019267238,9.167842031029618
3581,North Dakota,US,2020-04-25 06:32:46,47.5289,-99.784,748,15,285.0,733.0,38.0,123.34726211952812,17449.0,67.0,2.005347593582888,84000038,USA,2877.3882041759966,8.957219251336898
3522,North Dakota,US,2020-04-26 02:32:45,47.5289,-99.784,803,16,310.0,787.0,38.0,132.416913745964,19350.0,70.0,1.99252801992528,84000038,USA,3190.8683449369905,8.7173100871731
1192,North Dakota,US,2020-04-27 02:32:46,47.5289,-99.784,867,17,326.0,850.0,38.0,142.9706901839985,20717.0,71.0,1.96078431372549,84000038,USA,3416.2904135431336,8.189158016147635
1251,North Dakota,US,2020-04-28 02:32:46,47.5289,-99.784,942,19,350.0,923.0,38.0,155.3383969473202,22434.0,77.0,2.0169851380042463,84000038,USA,3699.428447044778,8.174097664543524
2010,North Dakota,US,2020-04-29 02:32:33,47.5289,-99.784,991,19,409.0,972.0,38.0,163.4186320326903,23723.0,79.0,1.917255297679112,84000038,USA,3911.9881006170654,7.9717457114026224
2069,North Dakota,US,2020-04-30 02:32:31,47.5289,-99.784,1033,19,437.0,1014.0,38.0,170.34454782015047,25536.0,82.0,1.8393030009680544,84000038,USA,4210.956798775762,7.938044530493706
1602,North Dakota,US,2020-05-01 02:32:32,47.5289,-99.784,1067,19,458.0,590.0,38.0,175.95124155285632,27460.0,85.0,1.7806935332708531,84000038,USA,4528.229702944173,7.96626054358013
154,North Dakota,US,2020-05-02 02:32:31,47.5289,-99.784,1107,23,482.0,602.0,38.0,182.54735182662785,29525.0,86.0,2.0776874435411017,84000038,USA,4868.753895827629,7.768744354110208
2420,North Dakota,US,2020-05-03 02:32:33,47.5289,-99.784,1153,24,510.0,619.0,38.0,190.13287864146514,31547.0,90.0,2.081526452732004,84000038,USA,5202.187270166783,7.805724197745013
2362,North Dakota,US,2020-05-04 02:32:32,47.5289,-99.784,1191,25,517.0,649.0,38.0,196.39918340154807,33353.0,90.0,2.0990764063811924,84000038,USA,5500.001649027568,7.556675062972292
2826,North Dakota,US,2020-05-05 02:32:38,47.5289,-99.784,1225,25,540.0,660.0,38.0,202.00587713425392,34754.0,94.0,2.0408163265306123,84000038,USA,5731.030411366417,7.6734693877551035
2884,North Dakota,US,2020-05-06 02:32:35,47.5289,-99.784,1266,25,559.0,682.0,38.0,208.76689016486978,36421.0,95.0,1.9747235387045812,84000038,USA,6005.923307025847,7.503949447077409
1718,North Dakota,US,2020-05-07 02:32:32,47.5289,-99.784,1323,31,582.0,710.0,38.0,218.16634730499425,38632.0,97.0,2.3431594860166287,84000038,USA,6370.523302408571,7.331821617535902
