,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1328,Northern Mariana Islands,US,2020-04-12 23:18:15,15.0979,145.6739,11,2,,9.0,69.0,19.947773100000003,38.0,,18.18181818,580,MNP,68.9104889,
1370,Northern Mariana Islands,US,2020-04-13 23:07:54,15.0979,145.6739,11,2,,9.0,69.0,19.947773103148123,38.0,,18.181818181818183,580,MNP,68.91048890178442,
622,Northern Mariana Islands,US,2020-04-14 23:33:31,15.0979,145.6739,11,2,,9.0,69.0,19.947773100000003,40.0,,18.18181818,580,MNP,72.53735674,
563,Northern Mariana Islands,US,2020-04-15 22:56:51,15.0979,145.6739,13,2,,11.0,69.0,23.574640940084144,40.0,,15.384615384615385,580,MNP,72.53735673872046,
1777,Northern Mariana Islands,US,2020-04-16 23:30:51,15.0979,145.6739,13,2,,11.0,69.0,23.574640940084144,40.0,,15.384615384615385,580,MNP,72.53735673872046,
1836,Northern Mariana Islands,US,2020-04-17 23:30:52,15.0979,145.6739,13,2,,11.0,69.0,23.574640940084144,55.0,,15.384615384615385,580,MNP,99.73886551574059,
913,Northern Mariana Islands,US,2020-04-18 22:32:47,15.0979,145.6739,14,2,9.0,12.0,69.0,25.388074858552155,56.0,,14.285714285714285,580,MNP,101.55229943420862,
1053,Northern Mariana Islands,US,2020-04-19 23:41:01,15.0979,145.6739,14,2,9.0,12.0,69.0,25.388074858552155,56.0,,14.285714285714285,580,MNP,101.55229943420862,
388,Northern Mariana Islands,US,2020-04-20 23:36:47,15.0979,145.6739,14,2,11.0,12.0,69.0,25.388074858552155,65.0,,14.285714285714285,580,MNP,117.87320470042073,
329,Northern Mariana Islands,US,2020-04-21 23:40:34,15.0979,145.6739,14,2,11.0,12.0,69.0,25.388074858552155,65.0,,14.285714285714285,580,MNP,117.87320470042073,
2245,Northern Mariana Islands,US,2020-04-22 23:40:26,15.0979,145.6739,14,2,11.0,12.0,69.0,25.388074858552155,65.0,,14.285714285714285,580,MNP,117.87320470042073,
2304,Northern Mariana Islands,US,2020-04-24 03:33:00,15.0979,145.6739,14,2,11.0,12.0,69.0,25.388074858552155,65.0,,14.285714285714285,580,MNP,117.87320470042073,
