,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1312,Oregon,US,2020-04-12 23:18:15,44.571999999999996,-122.0709,1527,52,,1475.0,41.0,38.107606700000005,29758.0,359.0,3.4053700069999997,84000041,USA,742.6366471,23.51015062
1373,Oregon,US,2020-04-13 23:07:54,44.572,-122.0709,1584,53,,1531.0,41.0,39.530091034006354,31121.0,369.0,3.345959595959596,84000041,USA,776.6514918366867,23.29545454545455
625,Oregon,US,2020-04-14 23:33:31,44.571999999999996,-122.0709,1633,55,,1578.0,41.0,40.75292845,32363.0,381.0,3.368034293,84000041,USA,807.6466769,23.3312921
566,Oregon,US,2020-04-15 22:56:51,44.572,-122.0709,1663,58,,1605.0,41.0,41.50160441259632,33351.0,401.0,3.4876728803367407,84000041,USA,832.3030720171378,24.113048707155738
1780,Oregon,US,2020-04-16 23:30:51,44.572,-122.0709,1736,64,,1672.0,41.0,43.32338259787565,34938.0,414.0,3.6866359447004617,84000041,USA,871.9080306477994,23.847926267281107
1839,Oregon,US,2020-04-17 23:30:52,44.572,-122.0709,1785,70,,1715.0,41.0,44.546220009912474,36321.0,427.0,3.92156862745098,84000041,USA,906.4219927058997,23.92156862745098
916,Oregon,US,2020-04-18 22:32:47,44.572,-122.0709,1844,72,,1772.0,41.0,46.018616077467,37583.0,449.0,3.9045553145336234,84000041,USA,937.9162950322354,24.349240780911064
1056,Oregon,US,2020-04-19 23:41:01,44.572,-122.0709,1910,74,,1836.0,41.0,47.665703203883936,39038.0,456.0,3.87434554973822,84000041,USA,974.2270794100633,23.874345549738216
391,Oregon,US,2020-04-20 23:36:47,44.572,-122.0709,1957,75,,1882.0,41.0,48.8386288848172,40045.0,465.0,3.832396525293817,84000041,USA,999.3576360206973,23.760858456821666
332,Oregon,US,2020-04-21 23:40:34,44.572,-122.0709,2004,78,,1926.0,41.0,50.011554565750465,41128.0,471.0,3.8922155688622753,84000041,USA,1026.3848384132664,23.50299401197605
2248,Oregon,US,2020-04-22 23:40:26,44.572,-122.0709,2059,78,,1981.0,41.0,51.384127171097916,41185.0,488.0,3.788246721709568,84000041,USA,1027.807322749717,23.700825643516268
2307,Oregon,US,2020-04-24 03:33:00,44.572,-122.0709,2127,83,,2044.0,41.0,53.08112602861839,43976.0,512.0,3.902209685002351,84000041,USA,1097.4591435047118,24.071462153267518
3585,Oregon,US,2020-04-25 06:32:46,44.572,-122.0709,2177,86,,2091.0,41.0,54.32891930620697,45492.0,520.0,3.9503904455672942,84000041,USA,1135.2922356811978,23.88608176389527
3526,Oregon,US,2020-04-26 02:32:45,44.572,-122.0709,2253,87,,2166.0,41.0,56.225565088141614,47377.0,536.0,3.8615179760319576,84000041,USA,1182.3340422462875,23.790501553484244
1196,Oregon,US,2020-04-27 02:32:46,44.572,-122.0709,2311,92,,2219.0,41.0,57.67300529014439,48964.0,546.0,3.9809606231068795,84000041,USA,1221.9390008769494,23.626135871916922
1255,Oregon,US,2020-04-28 02:32:46,44.572,-122.0709,2354,92,,2262.0,41.0,58.74610750887057,51198.0,554.0,3.908241291418861,84000041,USA,1277.690404519607,23.534409515717925
2014,Oregon,US,2020-04-29 02:32:33,44.572,-122.0709,2385,99,,2286.0,41.0,59.51973934097549,51198.0,554.0,4.150943396226415,84000041,USA,1277.690404519607,23.228511530398322
2073,Oregon,US,2020-04-30 02:32:31,44.572,-122.0709,2446,101,,2345.0,41.0,61.04204713963356,54472.0,569.0,4.129190515126737,84000041,USA,1359.3959083361076,23.262469337694203
1606,Oregon,US,2020-05-01 02:32:32,44.572,-122.0709,2510,103,0.0,2407.0,41.0,62.63922253494696,56032.0,578.0,4.103585657370518,84000041,USA,1398.3270585968717,23.027888446215137
158,Oregon,US,2020-05-02 02:32:31,44.572,-122.0709,2579,104,0.0,2475.0,41.0,64.3611772580192,58176.0,591.0,4.032570763861962,84000041,USA,1451.83243433987,22.915858860023263
2424,Oregon,US,2020-05-03 02:32:33,44.572,-122.0709,2635,109,0.0,2526.0,41.0,65.75870572891841,60136.0,595.0,4.136622390891841,84000041,USA,1500.7459308213424,22.580645161290327
2366,Oregon,US,2020-05-04 02:32:32,44.572,-122.0709,2680,109,860.0,1711.0,41.0,66.88171967874814,62054.0,598.0,4.067164179104478,84000041,USA,1548.6112809496406,22.31343283582089
2830,Oregon,US,2020-05-05 02:32:38,44.572,-122.0709,2759,109,860.0,1790.0,41.0,68.8532330573381,63457.0,608.0,3.95070677781805,84000041,USA,1583.6243603187766,22.036969916636465
2888,Oregon,US,2020-05-06 02:32:35,44.572,-122.0709,2839,113,860.0,1866.0,41.0,70.84970230147985,65424.0,622.0,3.98027474462839,84000041,USA,1632.712547859111,21.90912293060937
1722,Oregon,US,2020-05-07 02:32:32,44.572,-122.0709,2916,115,1125.0,1676.0,41.0,72.77130394896625,67976.0,641.0,3.9437585733882035,84000041,USA,1696.3999167472323,21.98216735253772
1664,Oregon,US,2020-05-08 02:32:36,44.572,-122.0709,2989,121,1125.0,1743.0,41.0,74.59308213424559,70458.0,645.0,4.048176647708264,84000041,USA,1758.3403750467298,21.579123452659754
2656,Oregon,US,2020-05-09 02:32:39,44.572,-122.0709,3068,124,1125.0,1819.0,41.0,76.56459551283555,72693.0,659.0,4.041720990873533,84000041,USA,1814.1167345549395,21.479791395045638
2598,Oregon,US,2020-05-10 02:32:34,44.572,-122.0709,3160,127,1125.0,1908.0,41.0,78.86053514359855,74620.0,662.0,4.018987341772152,84000041,USA,1862.206687473204,20.94936708860759
1432,Oregon,US,2020-05-11 02:32:34,44.572,-122.0709,3228,127,1125.0,1976.0,41.0,80.55753400111901,75507.0,670.0,3.934324659231722,84000041,USA,1884.342540217625,20.755885997521684
1490,Oregon,US,2020-05-12 03:32:31,44.572,-122.0709,3286,130,1125.0,2031.0,41.0,82.00497420312178,77606.0,673.0,3.956177723676202,84000041,USA,1936.7249020107934,20.48082775410834
3236,Oregon,US,2020-05-13 03:32:30,44.572,-122.0709,3358,130,1125.0,2103.0,41.0,83.80179652284934,77606.0,673.0,3.8713519952352593,84000041,USA,1936.7249020107934,20.04169148302561
3178,Oregon,US,2020-05-14 03:32:32,44.572,-122.0709,3416,134,1406.0,1876.0,41.0,85.2492367248521,83987.0,678.0,3.922716627634661,84000041,USA,2095.968280096649,19.847775175644028
