,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1313,Pennsylvania,US,2020-04-12 23:18:15,40.5908,-77.2098,22938,557,,22381.0,42.0,182.2284446,124890.0,2097.0,2.428284942,84000042,USA,992.175013,9.142035051
1374,Pennsylvania,US,2020-04-13 23:07:54,40.5908,-77.2098,24292,589,,23703.0,42.0,192.985150264584,129792.0,2243.0,2.4246665568911574,84000042,USA,1031.1184185386498,9.233492507821506
626,Pennsylvania,US,2020-04-14 23:33:31,40.5908,-77.2098,25465,691,,24774.0,42.0,202.3039211,133631.0,2317.0,2.713528372,84000042,USA,1061.616936,9.098763007999999
567,Pennsylvania,US,2020-04-15 22:56:51,40.5908,-77.2098,26753,779,,25974.0,42.0,212.53629693019985,137584.0,2395.0,2.9118229731245093,84000042,USA,1093.0211145234036,8.952267035472659
1781,Pennsylvania,US,2020-04-16 23:30:51,40.5908,-77.2098,28258,841,,27417.0,42.0,224.49260563875407,141470.0,2512.0,2.976148347370656,84000042,USA,1123.8930186040957,8.889518012598204
1840,Pennsylvania,US,2020-04-17 23:30:52,40.5908,-77.2098,29888,921,,28967.0,42.0,237.44196324336758,147373.0,2603.0,3.081504282655246,84000042,USA,1170.7887596716012,8.709180942184155
917,Pennsylvania,US,2020-04-18 22:32:47,40.5908,-77.2098,31652,1042,,30610.0,42.0,251.45586926455672,153965.0,2613.0,3.292051055225578,84000042,USA,1223.1581862541855,8.255402502211549
1057,Pennsylvania,US,2020-04-19 23:41:01,40.5908,-77.2098,32902,1276,,31626.0,42.0,261.38635822514993,158854.0,2634.0,3.8781836970396935,84000042,USA,1261.9983146768575,8.005592365205763
392,Pennsylvania,US,2020-04-20 23:36:47,40.5908,-77.2098,33914,1348,,32566.0,42.0,269.4260820876462,162952.0,2701.0,3.974759686265259,84000042,USA,1294.5544296852665,7.964262546440997
333,Pennsylvania,US,2020-04-21 23:40:34,40.5908,-77.2098,35249,1614,,33635.0,42.0,280.0318442975597,166851.0,2743.0,4.5788533008028605,84000042,USA,1325.5296108511486,7.781781043433857
