,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1314,Puerto Rico,US,2020-04-12 23:18:15,18.2208,-66.5901,897,44,,853.0,72.0,30.57876709,6716.0,,4.905239688,630,PRI,228.94871769999997,
1375,Puerto Rico,US,2020-04-13 23:07:54,18.2208,-66.5901,903,45,,858.0,72.0,30.783307333995136,6863.0,,4.983388704318936,630,PRI,233.9599537466319,
627,Puerto Rico,US,2020-04-14 23:33:31,18.2208,-66.5901,923,45,,878.0,72.0,31.46510816,7207.0,,4.875406283999999,630,PRI,245.68692799999997,
568,Puerto Rico,US,2020-04-15 22:56:51,18.2208,-66.5901,974,51,,923.0,72.0,33.20370026944769,7799.0,,5.236139630390143,630,PRI,265.8682324449923,
1782,Puerto Rico,US,2020-04-16 23:30:51,18.2208,-66.5901,1043,56,,987.0,72.0,35.555913122211436,8358.0,,5.369127516778524,630,PRI,284.9245655565132,
1841,Puerto Rico,US,2020-04-17 23:30:52,18.2208,-66.5901,1068,58,,1010.0,72.0,36.40816415582149,8932.0,,5.430711610486891,630,PRI,304.4922492882,
918,Puerto Rico,US,2020-04-18 22:32:47,18.2208,-66.5901,1118,60,,1058.0,72.0,38.11266622304159,9173.0,,5.366726296958856,630,PRI,312.7079492522009,
1058,Puerto Rico,US,2020-04-19 23:41:01,18.2208,-66.5901,1213,62,,1151.0,72.0,41.351220150759794,9493.0,,5.111294311624072,630,PRI,323.6167624824095,
393,Puerto Rico,US,2020-04-20 23:36:47,18.2208,-66.5901,1252,63,,1189.0,72.0,42.680731763191474,9738.0,,5.031948881789138,630,PRI,331.96882261178814,
334,Puerto Rico,US,2020-04-21 23:40:34,18.2208,-66.5901,1298,64,,1234.0,72.0,44.248873665033976,10087.0,,4.9306625577812015,630,PRI,343.86624704098443,
2250,Puerto Rico,US,2020-04-22 23:40:26,18.2208,-66.5901,1252,63,,1189.0,72.0,42.680731763191474,9757.0,,5.031948881789138,630,PRI,332.6165333973317,
2309,Puerto Rico,US,2020-04-24 03:33:00,18.2208,-66.5901,1416,69,,1347.0,72.0,48.27149854367343,10228.0,,4.872881355932203,630,PRI,348.6729428705451,
3587,Puerto Rico,US,2020-04-25 06:32:46,18.2208,-66.5901,1276,77,,1199.0,72.0,43.498892755457135,10589.0,,6.0344827586206895,630,PRI,360.9794477958743,
3528,Puerto Rico,US,2020-04-26 02:32:45,18.2208,-66.5901,1307,83,,1224.0,72.0,44.555684037133595,10620.0,,6.350420811017598,630,PRI,362.0362390775508,
1198,Puerto Rico,US,2020-04-27 02:32:46,18.2208,-66.5901,1371,84,,1287.0,72.0,46.73744668317534,10684.0,,6.12691466083151,630,PRI,364.2180017235925,
1257,Puerto Rico,US,2020-04-28 02:32:46,18.2208,-66.5901,1389,84,,1305.0,72.0,47.35106742737457,10702.0,,6.047516198704103,630,PRI,364.83162246779165,
2016,Puerto Rico,US,2020-04-29 02:32:33,18.2208,-66.5901,1400,86,,1314.0,72.0,47.726057882163,10713.0,,6.142857142857142,630,PRI,365.2066129225802,
2075,Puerto Rico,US,2020-04-30 02:32:31,18.2208,-66.5901,1433,86,,1347.0,72.0,48.85102924652827,10746.0,,6.0013956734124205,630,PRI,366.33158428694543,
1608,Puerto Rico,US,2020-05-01 02:32:32,18.2208,-66.5901,1539,92,0.0,1447.0,72.0,52.4645736290349,10852.0,,5.977907732293698,630,PRI,369.94512866945206,
160,Puerto Rico,US,2020-05-02 02:32:31,18.2208,-66.5901,1575,94,0.0,1481.0,72.0,53.691815117433364,10888.0,,5.9682539682539675,630,PRI,371.1723701578506,
2426,Puerto Rico,US,2020-05-03 02:32:33,18.2208,-66.5901,1757,95,0.0,1662.0,72.0,59.896202642114574,11070.0,,5.406943653955606,630,PRI,377.37675768253166,
2368,Puerto Rico,US,2020-05-04 02:32:32,18.2208,-66.5901,1808,97,0.0,1711.0,72.0,61.63479475067907,11121.0,,5.365044247787612,630,PRI,379.1153497910962,
2832,Puerto Rico,US,2020-05-05 02:32:38,18.2208,-66.5901,1843,97,0.0,1746.0,72.0,62.82794619773315,11156.0,,5.2631578947368425,630,PRI,380.3085012381503,
2890,Puerto Rico,US,2020-05-06 02:32:35,18.2208,-66.5901,1924,99,,1825.0,72.0,65.58923954662973,11237.0,,5.145530145530144,630,PRI,383.0697945870469,
1724,Puerto Rico,US,2020-05-07 02:32:32,18.2208,-66.5901,1968,99,,1869.0,72.0,67.08920136578341,1968.0,,5.030487804878049,630,PRI,67.08920136578341,
1666,Puerto Rico,US,2020-05-08 02:32:36,18.2208,-66.5901,2031,102,,1929.0,72.0,69.23687397048076,2031.0,,5.022156573116691,630,PRI,69.23687397048076,
2658,Puerto Rico,US,2020-05-09 02:32:39,18.2208,-66.5901,2156,107,,2049.0,72.0,73.49812913853101,2156.0,,4.962894248608534,630,PRI,73.49812913853101,
2600,Puerto Rico,US,2020-05-10 02:32:34,18.2208,-66.5901,2173,108,,2065.0,72.0,74.07765984138584,2173.0,,4.970087436723424,630,PRI,74.07765984138584,
1434,Puerto Rico,US,2020-05-11 02:32:34,18.2208,-66.5901,2198,111,,2087.0,72.0,74.92991087499591,2198.0,,5.050045495905368,630,PRI,74.92991087499591,
1492,Puerto Rico,US,2020-05-12 03:32:31,18.2208,-66.5901,2256,113,,2143.0,72.0,76.90713327297124,2256.0,,5.00886524822695,630,PRI,76.90713327297124,
3238,Puerto Rico,US,2020-05-13 03:32:30,18.2208,-66.5901,2299,114,,2185.0,72.0,78.37300505078052,2299.0,,4.958677685950414,630,PRI,78.37300505078052,
3180,Puerto Rico,US,2020-05-14 03:32:32,18.2208,-66.5901,2329,115,,2214.0,72.0,79.39570629111259,2329.0,,4.937741519965652,630,PRI,79.39570629111259,
1900,Puerto Rico,US,2020-05-15 02:33:07,18.2208,-66.5901,2427,117,,2310.0,72.0,82.736530342864,2427.0,,4.8207663782447465,630,PRI,82.736530342864,
1958,Puerto Rico,US,2020-05-16 02:32:24,18.2208,-66.5901,2542,122,,2420.0,72.0,86.65688509747025,2542.0,,4.799370574350905,630,PRI,86.65688509747025,
744,Puerto Rico,US,2020-05-17 02:32:37,18.2208,-66.5901,2589,122,,2467.0,72.0,88.25911704065716,2589.0,,4.712244109694864,630,PRI,88.25911704065716,
686,Puerto Rico,US,2020-05-18 02:32:26,18.2208,-66.5901,2646,123,,2523.0,72.0,90.20224939728807,2646.0,,4.648526077097506,630,PRI,90.20224939728807,
3470,Puerto Rico,US,2020-05-19 02:32:23,18.2208,-66.5901,2710,124,,2586.0,72.0,92.38401204332979,2710.0,,4.575645756457566,630,PRI,92.38401204332979,
3412,Puerto Rico,US,2020-05-20 02:32:25,18.2208,-66.5901,2805,124,,2681.0,72.0,95.62256597104799,2805.0,,4.4206773618538335,630,PRI,95.62256597104799,
2134,Puerto Rico,US,2020-05-21 02:32:54,18.2208,-66.5901,2866,125,,2741.0,72.0,97.70205849305654,2866.0,,4.361479413817166,630,PRI,97.70205849305654,
2192,Puerto Rico,US,2020-05-22 02:36:57,18.2208,-66.5901,2913,126,,2787.0,72.0,99.30429043624343,2913.0,,4.3254376930998975,630,PRI,99.30429043624343,
276,Puerto Rico,US,2020-05-23 02:32:47,18.2208,-66.5901,3030,126,,2904.0,72.0,103.2928252735385,3030.0,,4.158415841584159,630,PRI,103.2928252735385,
218,Puerto Rico,US,2020-05-24 02:32:48,18.2208,-66.5901,3100,127,,2973.0,72.0,105.67912816764664,3100.0,,4.096774193548387,630,PRI,105.67912816764664,
802,Puerto Rico,US,2020-05-25 02:32:50,18.2208,-66.5901,3189,127,,3062.0,72.0,108.71314184729843,3189.0,,3.982439636249608,630,PRI,108.71314184729843,
860,Puerto Rico,US,2020-05-26 02:32:41,18.2208,-66.5901,3260,129,,3131.0,72.0,111.13353478275098,3260.0,,3.957055214723926,630,PRI,111.13353478275098,
3354,Puerto Rico,US,2020-05-27 02:32:37,18.2208,-66.5901,3324,129,,3195.0,72.0,113.31529742879272,3324.0,,3.88086642599278,630,PRI,113.31529742879272,
3296,Puerto Rico,US,2020-05-28 02:32:37,18.2208,-66.5901,3397,129,,3268.0,72.0,115.80387044693407,3397.0,,3.79746835443038,630,PRI,115.80387044693407,
510,Puerto Rico,US,2020-05-29 02:32:58,18.2208,-66.5901,3486,131,,3355.0,72.0,118.83788412658586,3486.0,,3.7578886976477337,630,PRI,118.83788412658586,
452,Puerto Rico,US,2020-05-30 02:32:55,18.2208,-66.5901,3647,132,,3515.0,72.0,124.3263807830346,3647.0,,3.619413216342199,630,PRI,124.3263807830346,
3064,Puerto Rico,US,2020-05-31 02:32:52,18.2208,-66.5901,3718,133,,3585.0,72.0,126.74677371848715,3718.0,,3.5771920387305003,630,PRI,126.74677371848715,
3122,Puerto Rico,US,2020-06-01 02:32:54,18.2208,-66.5901,3776,136,,3640.0,72.0,128.7239961164625,3776.0,,3.601694915254237,630,PRI,128.7239961164625,
1550,Puerto Rico,US,2020-06-02 02:33:16,18.2208,-66.5901,3873,136,,3737.0,72.0,132.03073012686949,3873.0,,3.5114898011877096,630,PRI,132.03073012686949,
3006,Puerto Rico,US,2020-06-03 02:33:21,18.2208,-66.5901,3935,138,,3797.0,72.0,134.14431269022242,3935.0,,3.5069885641677256,630,PRI,134.14431269022242,
2948,Puerto Rico,US,2020-06-04 02:33:23,18.2208,-66.5901,4023,140,,3883.0,72.0,137.1442363285298,4023.0,,3.4799900571712654,630,PRI,137.1442363285298,
2484,Puerto Rico,US,2020-06-05 02:33:15,18.2208,-66.5901,4508,140,,4368.0,72.0,153.67790638056485,4508.0,,3.1055900621118013,630,PRI,153.67790638056485,
2542,Puerto Rico,US,2020-06-06 02:33:09,18.2208,-66.5901,4620,141,,4479.0,72.0,157.4959910111379,4620.0,,3.051948051948052,630,PRI,157.4959910111379,
102,Puerto Rico,US,2020-06-07 03:53:50,18.2208,-66.5901,4915,142,,4773.0,72.0,167.55255320773654,4915.0,,2.8891149542217702,630,PRI,167.55255320773654,
44,Puerto Rico,US,2020-06-08 03:33:42,18.2208,-66.5901,4985,142,,4843.0,72.0,169.9388561018447,4985.0,,2.8485456369107323,630,PRI,169.9388561018447,
2774,Puerto Rico,US,2020-06-09 03:33:19,18.2208,-66.5901,5046,142,,4904.0,72.0,172.0183486238532,5046.0,,2.8141101862861677,630,PRI,172.0183486238532,
2716,Puerto Rico,US,2020-06-10 04:07:14,18.2208,-66.5901,5185,142,,5043.0,72.0,176.7568643707251,5185.0,,2.7386692381870783,630,PRI,176.7568643707251,
