,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
348,Recovered,US,2020-04-21 23:40:34,,,0,0,75204.0,-75204.0,,,,,,84070001,USA,,
2264,Recovered,US,2020-04-22 23:40:26,,,0,0,77366.0,-77366.0,,,,,,84070001,USA,,
2323,Recovered,US,2020-04-24 03:33:00,,,0,0,80203.0,-80203.0,,,,,,84070001,USA,,
3601,Recovered,US,2020-04-25 06:32:46,,,0,0,99079.0,-99079.0,,,,,,84070001,USA,,
3542,Recovered,US,2020-04-26 02:32:45,,,0,0,100372.0,-100372.0,,,,,,84070001,USA,,
1212,Recovered,US,2020-04-27 02:32:46,,,0,0,106988.0,-106988.0,,,,,,84070001,USA,,
1271,Recovered,US,2020-04-28 02:32:46,,,0,0,111424.0,-111424.0,,,,,,84070001,USA,,
2030,Recovered,US,2020-04-29 02:32:33,,,0,0,115936.0,-115936.0,,,,,,84070001,USA,,
2089,Recovered,US,2020-04-30 02:32:31,,,0,0,120720.0,-120720.0,,,,,,84070001,USA,,
407,Recovered,US,,,,0,0,72329.0,-72329.0,,,,,,84070001,USA,,
582,Recovered,US,,,,0,0,52096.0,-52096.0,,,,,,84070001,USA,,
641,Recovered,US,,,,0,0,47763.0,-47763.0,,,,,,84070001,USA,,
989,Recovered,Canada,,,,0,0,10964.0,-10964.0,,,,,,12415,CAN,,
990,Recovered,US,,,,0,0,64840.0,-64840.0,,,,,,84070001,USA,,
1129,Recovered,Canada,,,,0,0,11847.0,-11847.0,,,,,,12415,CAN,,
1130,Recovered,US,,,,0,0,70337.0,-70337.0,,,,,,84070001,USA,,
1329,Recovered,US,,,,0,0,32988.0,-32988.0,,,,,,84070001,USA,,
1389,Recovered,US,,,,0,0,43482.0,-43482.0,,,,,,84070001,USA,,
1796,Recovered,US,,,,0,0,54703.0,-54703.0,,,,,,84070001,USA,,
1855,Recovered,US,,,,0,0,58545.0,-58545.0,,,,,,84070001,USA,,
