,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1315,Rhode Island,US,2020-04-12 23:18:15,41.6809,-71.5118,2665,63,35.0,2602.0,44.0,251.56674640000003,20350.0,201.0,2.363977486,84000044,USA,1920.969339,7.542213884
1376,Rhode Island,US,2020-04-13 23:07:54,41.6809,-71.5118,2665,63,135.0,2602.0,44.0,251.56674636880157,20661.0,331.0,2.363977485928705,84000044,USA,1950.3266591841686,12.420262664165106
628,Rhode Island,US,2020-04-14 23:33:31,41.6809,-71.5118,3251,80,135.0,3171.0,44.0,306.88311160000006,22900.0,331.0,2.460781298,84000044,USA,2161.6804850000003,10.18148262
569,Rhode Island,US,2020-04-15 22:56:51,41.6809,-71.5118,3251,80,168.0,3171.0,44.0,306.8831116116225,25897.0,331.0,2.460781298062135,84000044,USA,2444.586878316268,10.181482620732082
1783,Rhode Island,US,2020-04-16 23:30:51,41.6809,-71.5118,3529,87,182.0,3442.0,44.0,333.12534631726106,28064.0,331.0,2.4652876168886366,84000044,USA,2649.1441538814443,9.379427599886654
1842,Rhode Island,US,2020-04-17 23:30:52,41.6809,-71.5118,4177,118,196.0,4059.0,44.0,394.29429627860566,30761.0,331.0,2.8249940148431887,84000044,USA,2903.7315891372245,7.924347617907588
919,Rhode Island,US,2020-04-18 22:32:47,41.6809,-71.5118,4491,137,217.0,4354.0,44.0,423.9348059820968,32826.0,331.0,3.050545535515476,84000044,USA,3098.660418875152,7.370296147851257
1059,Rhode Island,US,2020-04-19 23:41:01,41.6809,-71.5118,4706,150,244.0,4556.0,44.0,444.23005944149355,34699.0,331.0,3.1874203144921376,84000044,USA,3275.4651152911993,7.033574160645983
394,Rhode Island,US,2020-04-20 23:36:47,41.6809,-71.5118,5090,155,267.0,4935.0,44.0,480.4783260852533,37080.0,331.0,3.0451866404715133,84000044,USA,3500.223247788053,6.50294695481336
335,Rhode Island,US,2020-04-21 23:40:34,41.6809,-71.5118,5500,171,315.0,5329.0,44.0,519.1809024496843,39333.0,576.0,3.109090909090909,84000044,USA,3712.898624736988,10.472727272727274
2251,Rhode Island,US,2020-04-22 23:40:26,41.6809,-71.5118,5841,181,315.0,5660.0,44.0,551.3701184015647,41722.0,576.0,3.0987844547166583,84000044,USA,3938.4119294555867,9.861325115562405
2310,Rhode Island,US,2020-04-24 03:33:00,41.6809,-71.5118,6256,189,342.0,6067.0,44.0,590.5446774045863,44419.0,576.0,3.0210997442455243,84000044,USA,4192.999364711369,9.207161125319693
3588,Rhode Island,US,2020-04-25 06:32:46,41.6809,-71.5118,6699,202,377.0,6497.0,44.0,632.3623391837153,47257.0,576.0,3.0153754291685324,84000044,USA,4460.896710375406,8.598298253470666
3529,Rhode Island,US,2020-04-26 02:32:45,41.6809,-71.5118,7129,215,410.0,6914.0,44.0,672.9528461025088,50891.0,576.0,3.0158507504558845,84000044,USA,4803.93369210307,8.079674568663206
1199,Rhode Island,US,2020-04-27 02:32:46,41.6809,-71.5118,7439,226,433.0,7213.0,44.0,702.2157696951276,53403.0,691.0,3.0380427476811405,84000044,USA,5041.057769730998,9.28888291437021
1258,Rhode Island,US,2020-04-28 02:32:46,41.6809,-71.5118,7708,233,452.0,7475.0,44.0,727.6084356513029,55885.0,718.0,3.0228334198235602,84000044,USA,5275.3499515273825,9.314997405293203
2017,Rhode Island,US,2020-04-29 02:32:33,41.6809,-71.5118,7927,239,466.0,7688.0,44.0,748.2812752215723,57693.0,732.0,3.01501198435726,84000044,USA,5446.018873641751,9.234262646650688
2076,Rhode Island,US,2020-04-30 02:32:31,41.6809,-71.5118,8247,251,391.0,7996.0,44.0,778.488164091372,60165.0,750.0,3.043530980962774,84000044,USA,5679.367090160956,9.094216078574027
1609,Rhode Island,US,2020-05-01 02:32:32,41.6809,-71.5118,8621,266,461.0,7894.0,44.0,813.7924654579506,63710.0,896.0,3.0854889223987936,84000044,USA,6014.002780921706,10.393225843869619
161,Rhode Island,US,2020-05-02 02:32:31,41.6809,-71.5118,8962,279,485.0,8198.0,44.0,845.9816814098309,66648.0,937.0,3.113144387413524,84000044,USA,6291.339779357556,10.455255523320687
2427,Rhode Island,US,2020-05-03 02:32:33,41.6809,-71.5118,9289,296,531.0,8462.0,44.0,876.8493459736577,69928.0,977.0,3.1865647540101194,84000044,USA,6600.960390273004,10.517816772526645
2369,Rhode Island,US,2020-05-04 02:32:32,41.6809,-71.5118,9477,320,565.0,8592.0,44.0,894.5958931846651,71927.0,1013.0,3.376595969188562,84000044,USA,6789.659049181534,10.68903661496254
2833,Rhode Island,US,2020-05-05 02:32:38,41.6809,-71.5118,9652,341,601.0,8710.0,44.0,911.1152855353367,74136.0,1061.0,3.53294653957729,84000044,USA,6998.180978910872,10.992540406133445
2891,Rhode Island,US,2020-05-06 02:32:35,41.6809,-71.5118,9933,355,639.0,8939.0,44.0,937.64070982413,76435.0,1092.0,3.5739454344105512,84000044,USA,7215.19859613484,10.993657505285412
1725,Rhode Island,US,2020-05-07 02:32:32,41.6809,-71.5118,10205,370,665.0,9170.0,44.0,963.3165653634596,79373.0,1123.0,3.6256736893679573,84000044,USA,7492.535594570691,11.004409603135716
1667,Rhode Island,US,2020-05-08 02:32:36,41.6809,-71.5118,10530,388,696.0,9446.0,44.0,993.99543687185,82318.0,1153.0,3.684710351377018,84000044,USA,7770.533368700567,10.949667616334283
2659,Rhode Island,US,2020-05-09 02:32:39,41.6809,-71.5118,10779,399,730.0,9650.0,44.0,1017.5001722736632,85266.0,1187.0,3.701642081825773,84000044,USA,8048.814332413596,11.012153260970406
2601,Rhode Island,US,2020-05-10 02:32:34,41.6809,-71.5118,10989,418,772.0,9799.0,44.0,1037.3234430944692,87815.0,1218.0,3.803803803803804,84000044,USA,8289.431081567096,11.083811083811083
1435,Rhode Island,US,2020-05-11 02:32:34,41.6809,-71.5118,11274,422,809.0,10043.0,44.0,1064.2264534941346,91213.0,1251.0,3.74312577612205,84000044,USA,8610.190482753282,11.096327833954229
1493,Rhode Island,US,2020-05-12 03:32:31,41.6809,-71.5118,11450,430,841.0,10179.0,44.0,1080.8402423725245,93332.0,1280.0,3.7554585152838422,84000044,USA,8810.216724987988,11.179039301310043
3239,Rhode Island,US,2020-05-13 03:32:30,41.6809,-71.5118,11614,444,863.0,10307.0,44.0,1096.321272918297,95239.0,1307.0,3.822972274840709,84000044,USA,8990.230903346452,11.253659376614433
3181,Rhode Island,US,2020-05-14 03:32:32,41.6809,-71.5118,11835,462,886.0,10487.0,44.0,1117.1829055440028,97922.0,1328.0,3.9036755386565267,84000044,USA,9243.49678721418,11.22095479509928
1901,Rhode Island,US,2020-05-15 02:33:07,41.6809,-71.5118,12016,468,903.0,10645.0,44.0,1134.268677060983,101601.0,1351.0,3.894806924101198,84000044,USA,9590.78161268916,11.243342210386153
1959,Rhode Island,US,2020-05-16 02:32:24,41.6809,-71.5118,12219,479,919.0,10821.0,44.0,1153.4311721877625,104978.0,1372.0,3.9201243964317865,84000044,USA,9909.558686793263,11.2284147638923
745,Rhode Island,US,2020-05-17 02:32:37,41.6809,-71.5118,12434,489,947.0,10998.0,44.0,1173.726425647159,108480.0,1403.0,3.9327649991957534,84000044,USA,10240.135326862137,11.28357728808107
687,Rhode Island,US,2020-05-18 02:32:26,41.6809,-71.5118,12674,499,972.0,11203.0,44.0,1196.3815922995088,112550.0,1418.0,3.9371942559570776,84000044,USA,10624.329194674903,11.188259428751776
3471,Rhode Island,US,2020-05-19 02:32:23,41.6809,-71.5118,12795,506,1012.0,11277.0,44.0,1207.803572153402,115384.0,1438.0,3.954669792887847,84000044,USA,10891.848954228068,11.238765142633842
3413,Rhode Island,US,2020-05-20 02:32:25,41.6809,-71.5118,12951,532,1023.0,11396.0,44.0,1222.5294304774293,117246.0,1464.0,4.107790904177284,84000044,USA,11067.615288839217,11.304146397961548
2135,Rhode Island,US,2020-05-21 02:32:54,41.6809,-71.5118,13356,538,1030.0,11788.0,44.0,1260.7600242032695,120528.0,1486.0,4.028152141359689,84000044,USA,11377.4246928101,11.126085654387538
2193,Rhode Island,US,2020-05-22 02:36:57,41.6809,-71.5118,13571,556,1047.0,11968.0,44.0,1281.0552776626664,123367.0,1506.0,4.096971483309998,84000044,USA,11645.416435001856,11.097192542922409
277,Rhode Island,US,2020-05-23 02:32:47,41.6809,-71.5118,13736,579,1084.0,12073.0,44.0,1296.630704736157,127139.0,1537.0,4.2152009318578925,84000044,USA,12001.48013755462,11.189574839836926
219,Rhode Island,US,2020-05-24 02:32:48,41.6809,-71.5118,13952,597,1106.0,12249.0,44.0,1317.0203547232718,130132.0,1557.0,4.278956422018348,84000044,USA,12284.008945014966,11.159690366972477
803,Rhode Island,US,2020-05-25 02:32:50,41.6809,-71.5118,14065,608,1119.0,12338.0,44.0,1327.68716235542,132701.0,1580.0,4.322787060078208,84000044,USA,12526.513624722827,11.233558478492712
