,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1316,South Carolina,US,2020-04-12 23:18:15,33.8569,-80.945,3320,82,,3238.0,45.0,65.87334263,31425.0,496.0,2.469879518,84000045,USA,623.5149976,14.93975904
1377,South Carolina,US,2020-04-13 23:07:54,33.8569,-80.945,3391,82,,3309.0,45.0,67.2820797722211,31425.0,496.0,2.4181657328221764,84000045,USA,623.514997594234,14.626953700973164
629,South Carolina,US,2020-04-14 23:33:31,33.8569,-80.945,3553,97,,3456.0,45.0,70.49638143,33872.0,675.0,2.73008725,84000045,USA,672.0668257,18.99802983
570,South Carolina,US,2020-04-15 22:56:51,33.8569,-80.945,3656,106,,3550.0,45.0,72.54004236132123,34733.0,675.0,2.899343544857768,84000045,USA,689.1502438008125,18.462800875273523
1784,South Carolina,US,2020-04-16 23:30:51,33.8569,-80.945,3931,111,,3820.0,45.0,77.99641863302894,34733.0,675.0,2.8237089799033326,84000045,USA,689.1502438008125,17.171203256168912
1843,South Carolina,US,2020-04-17 23:30:52,33.8569,-80.945,4099,116,,3983.0,45.0,81.32976850083581,36284.0,675.0,2.829958526469871,84000045,USA,719.9242059732438,16.467431080751403
920,South Carolina,US,2020-04-18 22:32:47,33.8569,-80.945,4248,119,2633.0,4129.0,45.0,84.28613237168835,38833.0,776.0,2.8013182674199624,84000045,USA,770.499853669909,18.267419962335214
1060,South Carolina,US,2020-04-19 23:41:01,33.8569,-80.945,4377,120,2633.0,4257.0,45.0,86.84566887732578,40480.0,776.0,2.7416038382453736,84000045,USA,803.1785871953729,17.72903815398675
395,South Carolina,US,2020-04-20 23:36:47,33.8569,-80.945,4446,123,2063.0,4323.0,45.0,88.21472328731791,40480.0,776.0,2.7665317139001346,84000045,USA,803.1785871953729,17.453891138101664
336,South Carolina,US,2020-04-21 23:40:34,33.8569,-80.945,4439,124,2063.0,4315.0,45.0,88.07583370949261,41277.0,776.0,2.7934219418788016,84000045,USA,818.992157699195,17.481414733047984
