,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1317,South Dakota,US,2020-04-12 23:18:15,44.2998,-99.4388,730,6,197.0,724.0,46.0,99.19933903,8553.0,43.0,0.8219178079999999,84000046,USA,1162.262941,5.890410959
1378,South Dakota,US,2020-04-13 23:07:54,44.2998,-99.4388,868,6,207.0,862.0,46.0,117.95209079593201,9002.0,44.0,0.6912442396313364,84000046,USA,1223.2773287384562,5.0691244239631335
630,South Dakota,US,2020-04-14 23:33:31,44.2998,-99.4388,988,6,261.0,982.0,46.0,134.25883149999999,9296.0,45.0,0.607287449,84000046,USA,1263.2288429999999,4.55465587
571,South Dakota,US,2020-04-15 22:56:51,44.2998,-99.4388,1168,6,329.0,1162.0,46.0,158.7189424535122,9859.0,51.0,0.5136986301369864,84000046,USA,1339.7346349736106,4.366438356164384
1785,South Dakota,US,2020-04-16 23:30:51,44.2998,-99.4388,1311,7,373.0,1304.0,46.0,178.15114174362546,10550.0,55.0,0.5339435545385202,84000046,USA,1433.6342832915698,4.195270785659802
1844,South Dakota,US,2020-04-17 23:30:52,44.2998,-99.4388,1411,7,457.0,1404.0,46.0,191.7400922961521,11062.0,63.0,0.4961020552799433,84000046,USA,1503.209710120507,4.4649184975194895
921,South Dakota,US,2020-04-18 22:32:47,44.2998,-99.4388,1542,7,552.0,1535.0,46.0,209.54161751996216,11660.0,68.0,0.4539559014267186,84000046,USA,1584.4716344246167,4.409857328145267
1061,South Dakota,US,2020-04-19 23:41:01,44.2998,-99.4388,1635,7,646.0,1628.0,46.0,222.179341533812,12062.0,74.0,0.4281345565749236,84000046,USA,1639.0992156457742,4.525993883792049
396,South Dakota,US,2020-04-20 23:36:47,44.2998,-99.4388,1685,7,709.0,1678.0,46.0,228.97381681007542,12326.0,87.0,0.41543026706231456,84000046,USA,1674.974045104445,5.163204747774481
337,South Dakota,US,2020-04-21 23:40:34,44.2998,-99.4388,1755,8,824.0,1747.0,46.0,238.4860821968441,12815.0,100.0,0.4558404558404559,84000046,USA,1741.4240133063004,5.698005698005698
