,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1319,Texas,US,2020-04-12 23:18:15,31.0545,-97.5635,13677,283,2014.0,13394.0,48.0,59.50516088,124533.0,1338.0,2.069167215,84000048,USA,541.8115230000001,9.782847116000001
1380,Texas,US,2020-04-13 23:07:54,31.0545,-97.5635,14275,305,2269.0,13970.0,48.0,62.106907327923295,133226.0,1176.0,2.136602451838879,84000048,USA,579.6325629190828,8.238178633975481
632,Texas,US,2020-04-14 23:33:31,31.0545,-97.5635,15006,342,2580.0,14664.0,48.0,65.28730307,146467.0,1409.0,2.279088365,84000048,USA,637.2407982999999,9.389577502
573,Texas,US,2020-04-15 22:56:51,31.0545,-97.5635,15907,375,3150.0,15532.0,48.0,69.20732573487047,151810.0,1538.0,2.3574526937826112,84000048,USA,660.4868372295648,9.668699314767084
1787,Texas,US,2020-04-16 23:30:51,31.0545,-97.5635,16876,414,3677.0,16462.0,48.0,73.42319916399535,158547.0,1459.0,2.4531879592320456,84000048,USA,689.7978168910863,8.645413605119696
1846,Texas,US,2020-04-17 23:30:52,31.0545,-97.5635,17849,451,4190.0,17398.0,48.0,77.65647557941176,169536.0,1522.0,2.526752199002745,84000048,USA,737.6081709805118,8.527088352288644
923,Texas,US,2020-04-18 22:32:47,31.0545,-97.5635,18704,476,4806.0,18228.0,48.0,81.37636389922785,176239.0,1321.0,2.5449101796407185,84000048,USA,766.7712252585551,7.062660393498716
1063,Texas,US,2020-04-19 23:41:01,31.0545,-97.5635,19260,490,5334.0,18770.0,48.0,83.7953789937515,182710.0,1471.0,2.544132917964694,84000048,USA,794.9249063316893,7.637590861889928
398,Texas,US,2020-04-20 23:36:47,31.0545,-97.5635,19751,507,5706.0,19244.0,48.0,85.93159556103771,190394.0,1411.0,2.5669586350058227,84000048,USA,828.3560429977323,7.143942078882081
339,Texas,US,2020-04-21 23:40:34,31.0545,-97.5635,20574,533,6486.0,20041.0,48.0,89.51225999052146,205399.0,1419.0,2.5906483911733256,84000048,USA,893.6389953238611,6.8970545348498105
2255,Texas,US,2020-04-22 23:40:26,31.0545,-97.5635,21321,556,7341.0,20765.0,48.0,92.76226768046602,216783.0,1678.0,2.607757609868205,84000048,USA,943.167894309576,7.870174944890016
2314,Texas,US,2020-04-24 03:33:00,31.0545,-97.5635,22650,604,8025.0,22046.0,48.0,98.54440987582926,225078.0,1649.0,2.6666666666666665,84000048,USA,979.2573371316513,7.280353200883002
3592,Texas,US,2020-04-25 06:32:46,31.0545,-97.5635,23642,624,9156.0,23018.0,48.0,102.86035047613049,242547.0,1674.0,2.639370611623382,84000048,USA,1055.2605290133667,7.080619236951189
3533,Texas,US,2020-04-26 02:32:45,31.0545,-97.5635,24153,638,9986.0,23515.0,48.0,105.08358197487436,262816.0,1597.0,2.641493810292717,84000048,USA,1143.4458112991585,6.612015070591644
1203,Texas,US,2020-04-27 02:32:46,31.0545,-97.5635,24967,651,10763.0,24316.0,48.0,108.62508968520216,276021.0,1542.0,2.6074418232066328,84000048,USA,1200.8974197940954,6.176152521328152
