,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1320,Utah,US,2020-04-12 23:18:15,40.15,-111.8624,2303,18,,2285.0,49.0,80.3592053,44234.0,195.0,0.781589231,84000049,USA,1543.468991,8.467216674
1381,Utah,US,2020-04-13 23:07:54,40.15,-111.8624,2363,13,218.0,2350.0,49.0,82.45280161569806,45787.0,201.0,0.5501481168006771,84000049,USA,1597.6582427329529,8.506136267456624
633,Utah,US,2020-04-14 23:33:31,40.15,-111.8624,2417,18,218.0,2399.0,49.0,84.33703829999999,46476.0,213.0,0.744724866,84000049,USA,1621.699707,8.812577576
574,Utah,US,2020-04-15 22:56:51,40.15,-111.8624,2548,20,218.0,2528.0,49.0,88.90805692627958,47614.0,221.0,0.7849293563579278,84000049,USA,1661.408250583939,8.673469387755103
1788,Utah,US,2020-04-16 23:30:51,40.15,-111.8624,2683,20,357.0,2663.0,49.0,93.61864863940664,49678.0,238.0,0.7454342154304883,84000049,USA,1733.427963886859,8.87066716362281
1847,Utah,US,2020-04-17 23:30:52,40.15,-111.8624,2793,23,443.0,2770.0,49.0,97.45690855380647,55771.0,244.0,0.8234872896527032,84000049,USA,1946.0326698726608,8.736126029359111
924,Utah,US,2020-04-18 22:32:47,40.15,-111.8624,2917,25,565.0,2892.0,49.0,101.78367427549357,59944.0,251.0,0.8570449091532396,84000049,USA,2091.64229371621,8.604730887898526
1064,Utah,US,2020-04-19 23:41:01,40.15,-111.8624,3069,27,679.0,3042.0,49.0,107.08745161175513,63555.0,259.0,0.8797653958944281,84000049,USA,2217.641898724372,8.439231019876182
399,Utah,US,2020-04-20 23:36:47,40.15,-111.8624,3213,28,776.0,3185.0,49.0,112.11208277242399,68311.0,268.0,0.8714596949891068,84000049,USA,2383.5943001142405,8.341114223467164
340,Utah,US,2020-04-21 23:40:34,40.15,-111.8624,3297,32,888.0,3265.0,49.0,115.04311761614748,72358.0,277.0,0.9705793145283592,84000049,USA,2524.807371692205,8.401577191386107
2256,Utah,US,2020-04-22 23:40:26,40.15,-111.8624,3445,32,970.0,3413.0,49.0,120.20732186461271,76460.0,288.0,0.9288824383164006,84000049,USA,2667.9395732273692,8.359941944847606
2315,Utah,US,2020-04-24 03:33:00,40.15,-111.8624,3612,35,1050.0,3577.0,49.0,126.03449828011064,80627.0,301.0,0.9689922480620154,84000049,USA,2813.339837439224,8.333333333333334
