,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1321,Vermont,US,2020-04-12 23:18:15,44.0459,-72.7107,727,27,15.0,700.0,50.0,119.06497150000001,9841.0,34.0,3.71389271,84000050,USA,1611.7171720000001,4.6767537830000006
1382,Vermont,US,2020-04-13 23:07:54,44.0459,-72.7107,748,28,15.0,720.0,50.0,122.50426226393772,10366.0,33.0,3.7433155080213902,84000050,USA,1697.699442016014,4.411764705882354
634,Vermont,US,2020-04-14 23:33:31,44.0459,-72.7107,752,29,15.0,723.0,50.0,123.15936529999999,10585.0,64.0,3.8563829789999997,84000050,USA,1733.566332,8.510638298
575,Vermont,US,2020-04-15 22:56:51,44.0459,-72.7107,759,29,15.0,730.0,50.0,124.30579553252504,11081.0,63.0,3.820816864295125,84000050,USA,1814.7991044741896,8.300395256916996
1789,Vermont,US,2020-04-16 23:30:51,44.0459,-72.7107,774,33,15.0,741.0,50.0,126.7624318078714,11507.0,58.0,4.263565891472869,84000050,USA,1884.5675746940258,7.493540051679586
1848,Vermont,US,2020-04-17 23:30:52,44.0459,-72.7107,779,35,15.0,744.0,50.0,127.58131056632016,12116.0,32.0,4.492939666238769,84000050,USA,1984.307007473088,4.10783055198973
925,Vermont,US,2020-04-18 22:32:47,44.0459,-72.7107,803,38,15.0,765.0,50.0,131.5119286068743,12566.0,56.0,4.732254047322541,84000050,USA,2058.006095733478,6.973848069738481
1065,Vermont,US,2020-04-19 23:41:01,44.0459,-72.7107,813,38,15.0,775.0,50.0,133.14968612377191,12726.0,53.0,4.6740467404674035,84000050,USA,2084.210216003839,6.519065190651907
400,Vermont,US,2020-04-20 23:36:47,44.0459,-72.7107,816,38,15.0,778.0,50.0,133.64101337884117,12981.0,49.0,4.65686274509804,84000050,USA,2125.9730326847266,6.004901960784314
341,Vermont,US,2020-04-21 23:40:34,44.0459,-72.7107,818,40,1710.0,778.0,50.0,133.96856488222068,13111.0,41.0,4.88997555012225,84000050,USA,2147.263880404395,5.012224938875304
2257,Vermont,US,2020-04-22 23:40:26,44.0459,-72.7107,823,40,1710.0,783.0,50.0,134.78744364066944,13462.0,37.0,4.860267314702309,84000050,USA,2204.7491692475,4.4957472660996345
2316,Vermont,US,2020-04-24 03:33:00,44.0459,-72.7107,825,43,1710.0,782.0,50.0,135.11499514404898,13852.0,44.0,5.212121212121212,84000050,USA,2268.621712406505,5.333333333333333
3594,Vermont,US,2020-04-25 06:32:46,44.0459,-72.7107,827,44,1710.0,783.0,50.0,135.4425466474285,14310.0,32.0,5.32043530834341,84000050,USA,2343.631006680413,3.8694074969770256
3535,Vermont,US,2020-04-26 02:32:45,44.0459,-72.7107,843,46,1710.0,797.0,50.0,138.06295867446457,14682.0,37.0,5.456702253855278,84000050,USA,2404.555586309002,4.389086595492288
1205,Vermont,US,2020-04-27 02:32:46,44.0459,-72.7107,851,46,,805.0,50.0,139.37316468798264,14797.0,34.0,5.405405405405406,84000050,USA,2423.3897977533247,3.9952996474735607
1264,Vermont,US,2020-04-28 02:32:46,44.0459,-72.7107,855,47,,808.0,50.0,140.02826769474166,15073.0,33.0,5.497076023391813,84000050,USA,2468.591905219697,3.8596491228070176
2023,Vermont,US,2020-04-29 02:32:33,44.0459,-72.7107,862,47,,815.0,50.0,141.17469795657,15215.0,,5.452436194895592,84000050,USA,2491.8480619596426,
2082,Vermont,US,2020-04-30 02:32:31,44.0459,-72.7107,862,47,,815.0,50.0,141.17469795657,15429.0,,5.452436194895592,84000050,USA,2526.89607282125,
1615,Vermont,US,2020-05-01 02:32:32,44.0459,-72.7107,866,49,0.0,817.0,50.0,141.82980096332898,15652.0,,5.658198614318707,84000050,USA,2563.418065448066,
167,Vermont,US,2020-05-02 02:32:31,44.0459,-72.7107,879,50,0.0,829.0,50.0,143.9588857352958,16233.0,,5.688282138794084,84000050,USA,2658.5717771798145,
2433,Vermont,US,2020-05-03 02:32:33,44.0459,-72.7107,886,51,0.0,835.0,50.0,145.1053159971241,16591.0,,5.7562076749435676,84000050,USA,2717.203496284747,
2375,Vermont,US,2020-05-04 02:32:32,44.0459,-72.7107,897,53,0.0,844.0,50.0,146.90684926571143,16954.0,,5.908584169453736,84000050,USA,2776.6540941481285,
2839,Vermont,US,2020-05-05 02:32:38,44.0459,-72.7107,902,52,0.0,850.0,50.0,147.7257280241602,17332.0,,5.764966740576496,84000050,USA,2838.561328286857,
2897,Vermont,US,2020-05-06 02:32:35,44.0459,-72.7107,907,52,,855.0,50.0,148.54460678260898,17518.0,,5.733186328555679,84000050,USA,2869.023618101151,
1731,Vermont,US,2020-05-07 02:32:32,44.0459,-72.7107,908,52,706.0,150.0,50.0,148.70838253429875,17876.0,,5.7268722466960345,84000050,USA,2927.655337206084,
1673,Vermont,US,2020-05-08 02:32:36,44.0459,-72.7107,916,53,718.0,145.0,50.0,150.01858854781682,18451.0,,5.786026200873362,84000050,USA,3021.8263944276937,
2665,Vermont,US,2020-05-09 02:32:39,44.0459,-72.7107,919,53,737.0,129.0,50.0,150.5099158028861,19008.0,,5.767138193688793,84000050,USA,3113.049488118888,
2607,Vermont,US,2020-05-10 02:32:34,44.0459,-72.7107,921,53,744.0,124.0,50.0,150.8374673062656,19527.0,,5.754614549402822,84000050,USA,3198.049103245872,
1441,Vermont,US,2020-05-11 02:32:34,44.0459,-72.7107,927,53,777.0,97.0,50.0,151.82012181640408,20048.0,,5.717367853290184,84000050,USA,3283.376269876235,
1499,Vermont,US,2020-05-12 03:32:31,44.0459,-72.7107,926,53,785.0,88.0,50.0,151.65634606471434,20871.0,,5.72354211663067,84000050,USA,3418.1637135169044,
3245,Vermont,US,2020-05-13 03:32:30,44.0459,-72.7107,927,53,787.0,87.0,50.0,151.82012181640408,21262.0,,5.717367853290184,84000050,USA,3482.2000324275987,
3187,Vermont,US,2020-05-14 03:32:32,44.0459,-72.7107,929,53,789.0,87.0,50.0,152.14767331978362,21676.0,,5.705059203444563,84000050,USA,3550.003193627158,
1907,Vermont,US,2020-05-15 02:33:07,44.0459,-72.7107,932,53,792.0,87.0,50.0,149.36160733602674,22505.0,,5.686695278969957,84000050,USA,3606.6340913060967,
1965,Vermont,US,2020-05-16 02:32:24,44.0459,-72.7107,933,53,796.0,84.0,50.0,149.52186657136585,23205.0,,5.680600214362272,84000050,USA,3718.8155560434557,
751,Vermont,US,2020-05-17 02:32:37,44.0459,-72.7107,934,53,804.0,77.0,50.0,149.6821258067049,22276.0,,5.674518201284799,84000050,USA,3569.9347264134467,
693,Vermont,US,2020-05-18 02:32:26,44.0459,-72.7107,940,54,810.0,76.0,50.0,150.64368121873943,22282.0,,5.74468085106383,84000050,USA,3570.896281825481,
3477,Vermont,US,2020-05-19 02:32:23,44.0459,-72.7107,940,54,815.0,71.0,50.0,150.64368121873943,23825.0,,5.74468085106383,84000050,USA,3818.1762819536875,
