,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1383,Virgin Islands,US,2020-04-13 23:07:54,18.3358,-64.8963,51,1,43.0,50.0,78.0,47.5444680613044,373.0,,1.96078431372549,850,VIR,347.7271879777754,
635,Virgin Islands,US,2020-04-14 23:33:31,18.3358,-64.8963,51,1,44.0,50.0,78.0,47.54446806,377.0,,1.960784314,850,VIR,351.4561659,
576,Virgin Islands,US,2020-04-15 22:56:51,18.3358,-64.8963,51,1,44.0,50.0,78.0,47.5444680613044,382.0,,1.96078431372549,850,VIR,356.1173882238878,
1790,Virgin Islands,US,2020-04-16 23:30:51,18.3358,-64.8963,51,1,46.0,50.0,78.0,47.5444680613044,408.0,,1.96078431372549,850,VIR,380.3557444904352,
1849,Virgin Islands,US,2020-04-17 23:30:52,18.3358,-64.8963,51,2,46.0,49.0,78.0,47.5444680613044,424.0,,3.92156862745098,850,VIR,395.2716560390797,
926,Virgin Islands,US,2020-04-18 22:32:47,18.3358,-64.8963,53,3,46.0,50.0,78.0,49.40895700488496,443.0,,5.660377358490566,850,VIR,412.984301003095,
1066,Virgin Islands,US,2020-04-19 23:41:01,18.3358,-64.8963,53,3,48.0,50.0,78.0,49.40895700488496,601.0,,5.660377358490566,850,VIR,560.2789275459596,
401,Virgin Islands,US,2020-04-20 23:36:47,18.3358,-64.8963,53,3,48.0,50.0,78.0,49.40895700488496,607.0,,5.660377358490566,850,VIR,565.8723943767013,
342,Virgin Islands,US,2020-04-21 23:40:34,18.3358,-64.8963,53,3,48.0,50.0,78.0,49.40895700488496,628.0,,5.660377358490566,850,VIR,585.4495282842972,
2258,Virgin Islands,US,2020-04-22 23:40:26,18.3358,-64.8963,54,3,48.0,51.0,78.0,50.34120147667525,637.0,,5.5555555555555545,850,VIR,593.8397285304097,
2317,Virgin Islands,US,2020-04-24 03:33:00,18.3358,-64.8963,54,3,48.0,51.0,78.0,50.34120147667525,637.0,,5.5555555555555545,850,VIR,593.8397285304097,
3595,Virgin Islands,US,2020-04-25 06:32:46,18.3358,-64.8963,54,3,50.0,51.0,78.0,50.34120147667525,696.0,,5.5555555555555545,850,VIR,648.8421523660364,
3536,Virgin Islands,US,2020-04-26 02:32:45,18.3358,-64.8963,55,3,51.0,52.0,78.0,51.27344594846553,748.0,,5.454545454545454,850,VIR,697.3188648991313,
1206,Virgin Islands,US,2020-04-27 02:32:46,18.3358,-64.8963,57,4,51.0,53.0,78.0,53.13793489204609,757.0,,7.0175438596491215,850,VIR,705.7090651452437,
1265,Virgin Islands,US,2020-04-28 02:32:46,18.3358,-64.8963,57,4,51.0,53.0,78.0,53.13793489204609,775.0,,7.0175438596491215,850,VIR,722.4894656374687,
2024,Virgin Islands,US,2020-04-29 02:32:33,18.3358,-64.8963,57,4,51.0,53.0,78.0,53.13793489204609,778.0,,7.0175438596491215,850,VIR,725.2861990528396,
2083,Virgin Islands,US,2020-04-30 02:32:31,18.3358,-64.8963,57,4,51.0,53.0,78.0,53.13793489204609,794.0,,7.0175438596491215,850,VIR,740.2021106014843,
1616,Virgin Islands,US,2020-05-01 02:32:32,18.3358,-64.8963,66,4,51.0,11.0,78.0,61.52813513815864,873.0,,6.0606060606060606,850,VIR,813.8494238729164,
168,Virgin Islands,US,2020-05-02 02:32:31,18.3358,-64.8963,66,4,51.0,11.0,78.0,61.52813513815864,877.0,,6.0606060606060606,850,VIR,817.5784017600777,
2434,Virgin Islands,US,2020-05-03 02:32:33,18.3358,-64.8963,66,4,51.0,11.0,78.0,61.52813513815864,988.0,,6.0606060606060606,850,VIR,921.0575381287987,
2376,Virgin Islands,US,2020-05-04 02:32:32,18.3358,-64.8963,66,4,51.0,11.0,78.0,61.52813513815864,1017.0,,6.0606060606060606,850,VIR,948.0926278107173,
2840,Virgin Islands,US,2020-05-05 02:32:38,18.3358,-64.8963,66,4,51.0,11.0,78.0,61.52813513815864,1031.0,,6.0606060606060606,850,VIR,961.1440504157813,
2898,Virgin Islands,US,2020-05-06 02:32:35,18.3358,-64.8963,66,4,51.0,11.0,78.0,61.52813513815864,1039.0,,6.0606060606060606,850,VIR,968.6020061901033,
1732,Virgin Islands,US,2020-05-07 02:32:32,18.3358,-64.8963,66,4,54.0,8.0,78.0,61.52813513815864,1056.0,,6.0606060606060606,850,VIR,984.450162210538,
1674,Virgin Islands,US,2020-05-08 02:32:36,18.3358,-64.8963,66,4,54.0,8.0,78.0,61.52813513815864,1056.0,,6.0606060606060606,850,VIR,984.450162210538,
2666,Virgin Islands,US,2020-05-09 02:32:39,18.3358,-64.8963,68,4,57.0,7.0,78.0,63.392624081739186,1092.0,,5.882352941176472,850,VIR,1018.0109631949882,
2608,Virgin Islands,US,2020-05-10 02:32:34,18.3358,-64.8963,68,4,57.0,7.0,78.0,63.392624081739186,1092.0,,5.882352941176472,850,VIR,1018.0109631949882,
1442,Virgin Islands,US,2020-05-11 02:32:34,18.3358,-64.8963,69,4,59.0,6.0,78.0,64.32486855352947,1171.0,,5.797101449275362,850,VIR,1091.6582764664206,
1500,Virgin Islands,US,2020-05-12 03:32:31,18.3358,-64.8963,69,5,60.0,4.0,78.0,64.32486855352947,1179.0,,7.246376811594202,850,VIR,1099.1162322407429,
3246,Virgin Islands,US,2020-05-13 03:32:30,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1184.0,,8.695652173913043,850,VIR,1103.7774545996942,
3188,Virgin Islands,US,2020-05-14 03:32:32,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1197.0,,8.695652173913043,850,VIR,1115.8966327329679,
1908,Virgin Islands,US,2020-05-15 02:33:07,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1233.0,,8.695652173913043,850,VIR,1149.457433717418,
1966,Virgin Islands,US,2020-05-16 02:32:24,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1263.0,,8.695652173913043,850,VIR,1177.4247678711265,
752,Virgin Islands,US,2020-05-17 02:32:37,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1263.0,,8.695652173913043,850,VIR,1177.4247678711265,
694,Virgin Islands,US,2020-05-18 02:32:26,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1347.0,,8.695652173913043,850,VIR,1255.73330350151,
3478,Virgin Islands,US,2020-05-19 02:32:23,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1347.0,,8.695652173913043,850,VIR,1255.73330350151,
3420,Virgin Islands,US,2020-05-20 02:32:25,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1367.0,,8.695652173913043,850,VIR,1274.3781929373156,
2142,Virgin Islands,US,2020-05-21 02:32:54,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1383.0,,8.695652173913043,850,VIR,1289.2941044859606,
2200,Virgin Islands,US,2020-05-22 02:36:57,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1383.0,,8.695652173913043,850,VIR,1289.2941044859606,
284,Virgin Islands,US,2020-05-23 02:32:47,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1412.0,,8.695652173913043,850,VIR,1316.3291941678785,
226,Virgin Islands,US,2020-05-24 02:32:48,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1412.0,,8.695652173913043,850,VIR,1316.3291941678785,
810,Virgin Islands,US,2020-05-25 02:32:50,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1412.0,,8.695652173913043,850,VIR,1316.3291941678785,
868,Virgin Islands,US,2020-05-26 02:32:41,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1412.0,,8.695652173913043,850,VIR,1316.3291941678785,
3362,Virgin Islands,US,2020-05-27 02:32:37,18.3358,-64.8963,69,6,61.0,2.0,78.0,64.32486855352947,1494.0,,8.695652173913043,850,VIR,1392.7732408546815,
