,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1322,Virginia,US,2020-04-12 23:18:15,37.7693,-78.17,5274,141,,5133.0,51.0,66.69845192,39985.0,751.0,2.673492605,84000051,USA,505.6764505,14.23966629
1384,Virginia,US,2020-04-13 23:07:54,37.7693,-78.17,5747,149,,5598.0,51.0,72.68031915095425,41401.0,1238.0,2.592657038454846,84000051,USA,523.5841122618161,21.541673916826173
636,Virginia,US,2020-04-14 23:33:31,37.7693,-78.17,6182,154,721.0,6028.0,51.0,78.18161354,42763.0,1282.0,2.491103203,84000051,USA,540.8088547,20.73762536
577,Virginia,US,2020-04-15 22:56:51,37.7693,-78.17,6500,195,752.0,6305.0,51.0,82.20324943121675,44169.0,1298.0,3.0,84000051,USA,558.5900498657559,19.96923076923077
1791,Virginia,US,2020-04-16 23:30:51,37.7693,-78.17,6889,208,951.0,6681.0,51.0,87.12279774333109,46444.0,1337.0,3.0193061402235446,84000051,USA,587.3611871666816,19.407751487879228
1850,Virginia,US,2020-04-17 23:30:52,37.7693,-78.17,7491,231,1110.0,7260.0,51.0,94.73608330603764,48997.0,1308.0,3.0837004405286343,84000051,USA,619.6480942125119,17.460953143772528
927,Virginia,US,2020-04-18 22:32:47,37.7693,-78.17,8053,258,1228.0,7795.0,51.0,101.84350271839823,51931.0,1307.0,3.203774990686701,84000051,USA,656.7533763403873,16.229976406308207
1067,Virginia,US,2020-04-19 23:41:01,37.7693,-78.17,8542,277,1267.0,8265.0,51.0,108.02771640637744,54733.0,1422.0,3.242800280964645,84000051,USA,692.189300172121,16.64715523296652
402,Virginia,US,2020-04-20 23:36:47,37.7693,-78.17,8990,300,1324.0,8690.0,51.0,113.69341729025207,56735.0,1500.0,3.3370411568409337,84000051,USA,717.5079009969357,16.685205784204673
343,Virginia,US,2020-04-21 23:40:34,37.7693,-78.17,9630,324,1418.0,9306.0,51.0,121.78727569578727,58354.0,1581.0,3.364485981308411,84000051,USA,737.9828334321879,16.417445482866043
2259,Virginia,US,2020-04-22 23:40:26,37.7693,-78.17,10266,349,1497.0,9917.0,51.0,129.83054748628786,58354.0,1581.0,3.399571400740308,84000051,USA,737.9828334321879,15.400350672121569
2318,Virginia,US,2020-04-24 03:33:00,37.7693,-78.17,10998,373,1567.0,10625.0,51.0,139.08789803761874,64518.0,1753.0,3.391525731951264,84000051,USA,815.9368072004988,15.939261683942535
3596,Virginia,US,2020-04-25 06:32:46,37.7693,-78.17,11594,411,1672.0,11183.0,51.0,146.6253036777734,69440.0,1837.0,3.5449370363981365,84000051,USA,878.1836370005677,15.844402277039848
3537,Virginia,US,2020-04-26 02:32:45,37.7693,-78.17,12366,437,1717.0,11929.0,51.0,156.3885203794502,72178.0,1942.0,3.5338832282063724,84000051,USA,912.810174991748,15.704350638848455
1207,Virginia,US,2020-04-27 02:32:46,37.7693,-78.17,12970,449,1815.0,12521.0,51.0,164.02709924967402,76118.0,2014.0,3.4618350038550503,84000051,USA,962.637990800824,15.528141865844256
1266,Virginia,US,2020-04-28 02:32:46,37.7693,-78.17,13538,460,1843.0,13078.0,51.0,171.2103985845865,80679.0,3298.0,3.3978431082877827,84000051,USA,1020.3193785940207,24.361057763332838
2025,Virginia,US,2020-04-29 02:32:33,37.7693,-78.17,14339,492,1914.0,13847.0,51.0,181.34036824526413,82753.0,3422.0,3.4312016179649905,84000051,USA,1046.5485384894582,23.864983611130487
2084,Virginia,US,2020-04-30 02:32:31,37.7693,-78.17,14962,522,2042.0,14440.0,51.0,189.21923353690232,85940.0,3608.0,3.488838390589493,84000051,USA,1086.8534240182719,24.114423205453814
1617,Virginia,US,2020-05-01 02:32:32,37.7693,-78.17,15847,552,2104.0,13191.0,51.0,200.41152211330643,91509.0,3654.0,3.483309143686502,84000051,USA,1157.2826388001868,23.057992048968263
169,Virginia,US,2020-05-02 02:32:31,37.7693,-78.17,16902,581,2196.0,14125.0,51.0,213.75374182868083,105648.0,3654.0,3.4374630221275586,84000051,USA,1336.093676293721,21.61874334398296
2435,Virginia,US,2020-05-03 02:32:33,37.7693,-78.17,17738,617,2312.0,14809.0,51.0,224.3263443709112,113202.0,3738.0,3.4784079377607395,84000051,USA,1431.6264987865536,21.073401736385158
2377,Virginia,US,2020-05-04 02:32:32,37.7693,-78.17,18672,660,2497.0,15515.0,51.0,236.1383189814891,108002.0,3910.0,3.5347043701799485,84000051,USA,1365.8638992415802,20.940445586975148
2841,Virginia,US,2020-05-05 02:32:38,37.7693,-78.17,19493,684,2547.0,16262.0,51.0,246.5212217173397,112293.0,4010.0,3.5089519314625766,84000051,USA,1420.130690519942,20.571487200533525
2899,Virginia,US,2020-05-06 02:32:35,37.7693,-78.17,20257,713,2617.0,16927.0,51.0,256.1832651889473,113708.0,4113.0,3.5197709433775977,84000051,USA,1438.0257055884301,20.304092412499386
1733,Virginia,US,2020-05-07 02:32:32,37.7693,-78.17,20257,713,2617.0,16927.0,51.0,256.1832651889473,113708.0,4113.0,3.5197709433775977,84000051,USA,1438.0257055884301,20.304092412499386
1675,Virginia,US,2020-05-08 02:32:36,37.7693,-78.17,21570,769,2825.0,17976.0,51.0,272.7883215740531,123152.0,4438.0,3.5651367640241074,84000051,USA,1557.4607036851087,20.57487250811312
2667,Virginia,US,2020-05-09 02:32:39,37.7693,-78.17,22342,812,2997.0,18533.0,51.0,282.55153827572985,129945.0,4622.0,3.6344105272580784,84000051,USA,1643.3694226676093,20.687494405156208
2609,Virginia,US,2020-05-10 02:32:34,37.7693,-78.17,23196,827,3124.0,19245.0,51.0,293.35178058561587,137149.0,4717.0,3.5652698741162268,84000051,USA,1734.4759163449148,20.335402655630286
1443,Virginia,US,2020-05-11 02:32:34,37.7693,-78.17,24081,839,3201.0,20041.0,51.0,304.5440691620201,143055.0,4756.0,3.4840745816203644,84000051,USA,1809.167053443494,19.75001038162867
