,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1323,Washington,US,2020-04-12 23:18:15,47.4009,-121.4905,10609,506,,10103.0,53.0,140.5276682,93615.0,642.0,4.769535299999999,84000053,USA,1240.031828,6.051465737000001
1385,Washington,US,2020-04-13 23:07:54,47.4009,-121.4905,10635,513,,10122.0,53.0,140.8720663077597,93802.0,527.0,4.823695345557122,84000053,USA,1242.5088447391138,4.955336154207805
637,Washington,US,2020-04-14 23:33:31,47.4009,-121.4905,10799,530,,10269.0,53.0,143.04442350000002,93929.0,387.0,4.907861839,84000053,USA,1244.1910970000001,3.5836651539999997
578,Washington,US,2020-04-15 22:56:51,47.4009,-121.4905,10942,552,,10390.0,53.0,144.9386130267519,122854.0,645.0,5.044781575580332,84000053,USA,1627.333975944853,5.894717601900933
1792,Washington,US,2020-04-16 23:30:51,47.4009,-121.4905,11057,579,,10478.0,53.0,146.46191228630923,124283.0,595.0,5.236501763588677,84000053,USA,1646.2626250049177,5.381206475535859
1851,Washington,US,2020-04-17 23:30:52,47.4009,-121.4905,11517,603,,10914.0,53.0,152.55510932453862,128900.0,622.0,5.235738473560823,84000053,USA,1707.4197787560156,5.400711990969871
928,Washington,US,2020-04-18 22:32:47,47.4009,-121.4905,11776,613,,11163.0,53.0,155.98584417867215,131627.0,518.0,5.205502717391305,84000053,USA,1743.5418403283013,4.398777173913044
1068,Washington,US,2020-04-19 23:41:01,47.4009,-121.4905,12255,636,,11619.0,53.0,162.33071674674142,135706.0,586.0,5.189718482252142,84000053,USA,1797.5726027607745,4.78172174622603
403,Washington,US,2020-04-20 23:36:47,47.4009,-121.4905,12114,643,,11471.0,53.0,160.46301939371898,138642.0,403.0,5.307908205382202,84000053,USA,1836.4630951612994,3.3267294039953774
344,Washington,US,2020-04-21 23:40:34,47.4009,-121.4905,12392,664,,11728.0,53.0,166.41050954625157,141011.0,503.0,5.285361776645706,84000053,USA,1867.8430599081807,4.003820743452997
2260,Washington,US,2020-04-22 23:40:26,47.4009,-121.4905,12596,686,,11910.0,53.0,159.6285163210919,145031.0,543.0,5.368849058169446,84000053,USA,1921.0923035900985,4.505850136918098
2319,Washington,US,2020-04-24 03:33:00,47.4009,-121.4905,12753,711,,12042.0,53.0,168.92726484465064,147953.0,544.0,5.57515878616796,84000053,USA,1959.7973508633731,4.265662981259312
3597,Washington,US,2020-04-25 06:32:46,47.4009,-121.4905,12977,722,,12255.0,53.0,171.89438688065795,160324.0,455.0,5.563689604685212,84000053,USA,2123.6646129501896,3.506203282730985
3538,Washington,US,2020-04-26 02:32:45,47.4009,-121.4905,13319,737,,12582.0,53.0,176.42454641777638,160324.0,455.0,5.5334484570913745,84000053,USA,2123.6646129501896,3.416172385314213
