,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1324,West Virginia,US,2020-04-12 23:18:15,38.4912,-80.9545,593,6,83.0,587.0,54.0,44.82244115,16257.0,81.0,1.0118043840000002,84000054,USA,1228.8000439999998,13.65935919
1386,West Virginia,US,2020-04-13 23:07:54,38.4912,-80.9545,611,8,85.0,603.0,54.0,46.18298742704071,16655.0,164.0,1.3093289689034369,84000054,USA,1258.8832333835726,26.84124386252045
638,West Virginia,US,2020-04-14 23:33:31,38.4912,-80.9545,640,9,147.0,631.0,54.0,48.37497865,17038.0,164.0,1.40625,84000054,USA,1287.832635,25.625
579,West Virginia,US,2020-04-15 22:56:51,38.4912,-80.9545,702,10,211.0,692.0,54.0,53.06130470340847,17656.0,164.0,1.4245014245014245,84000054,USA,1334.5447234236185,23.361823361823358
1793,West Virginia,US,2020-04-16 23:30:51,38.4912,-80.9545,728,12,223.0,716.0,54.0,55.026538210942114,18306.0,85.0,1.6483516483516485,84000054,USA,1383.6755611119593,11.675824175824175
1852,West Virginia,US,2020-04-17 23:30:52,38.4912,-80.9545,775,16,223.0,759.0,54.0,58.579075705329856,18681.0,85.0,2.064516129032258,84000054,USA,1412.0202751629254,10.967741935483868
929,West Virginia,US,2020-04-18 22:32:47,38.4912,-80.9545,785,16,255.0,769.0,54.0,59.33493474668896,19440.0,83.0,2.0382165605095537,84000054,USA,1469.3899764020807,10.573248407643312
1069,West Virginia,US,2020-04-19 23:41:01,38.4912,-80.9545,890,18,265.0,872.0,54.0,67.27145468095945,20031.0,72.0,2.02247191011236,84000054,USA,1514.0612457464033,8.089887640449438
404,West Virginia,US,2020-04-20 23:36:47,38.4912,-80.9545,902,24,290.0,878.0,54.0,68.17848553059036,22155.0,77.0,2.6607538802660757,84000054,USA,1674.605706131075,8.536585365853659
345,West Virginia,US,2020-04-21 23:40:34,38.4912,-80.9545,908,26,330.0,882.0,54.0,68.63200095540583,22763.0,85.0,2.8634361233480177,84000054,USA,1720.561935845708,9.361233480176212
