,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
1326,Wyoming,US,2020-04-12 23:18:15,42.756,-107.3025,270,0,137.0,270.0,56.0,54.29973453,5459.0,40.0,0.0,84000056,USA,1097.860188,14.81481481
1388,Wyoming,US,2020-04-13 23:07:54,42.756,-107.3025,275,1,138.0,274.0,56.0,55.30528517416137,5964.0,41.0,0.3636363636363637,84000056,USA,1199.4208028316307,14.909090909090908
640,Wyoming,US,2020-04-14 23:33:31,42.756,-107.3025,282,1,140.0,281.0,56.0,56.71305607,5964.0,43.0,0.354609929,84000056,USA,1199.420803,15.24822695
581,Wyoming,US,2020-04-15 22:56:51,42.756,-107.3025,287,1,129.0,286.0,56.0,57.718606709033864,6329.0,43.0,0.3484320557491289,84000056,USA,1272.8259995173355,14.982578397212546
1795,Wyoming,US,2020-04-16 23:30:51,42.756,-107.3025,296,2,148.0,294.0,56.0,59.52859786018825,6427.0,43.0,0.6756756756756757,84000056,USA,1292.5347920521276,14.527027027027025
1854,Wyoming,US,2020-04-17 23:30:52,42.756,-107.3025,305,2,148.0,303.0,56.0,61.33858901134261,6427.0,43.0,0.6557377049180327,84000056,USA,1292.5347920521276,14.098360655737705
931,Wyoming,US,2020-04-18 22:32:47,42.756,-107.3025,309,2,206.0,307.0,56.0,62.143029522966785,6522.0,50.0,0.6472491909385113,84000056,USA,1311.6402542032015,16.181229773462785
1071,Wyoming,US,2020-04-19 23:41:01,42.756,-107.3025,313,2,227.0,311.0,56.0,62.94747003459094,7281.0,50.0,0.6389776357827476,84000056,USA,1464.2828412838874,15.974440894568689
406,Wyoming,US,2020-04-20 23:36:47,42.756,-107.3025,317,2,233.0,315.0,56.0,63.75191054621511,7386.0,51.0,0.6309148264984227,84000056,USA,1485.3994047140213,16.08832807570978
347,Wyoming,US,2020-04-21 23:40:34,42.756,-107.3025,443,2,237.0,441.0,56.0,89.09178666237631,7621.0,52.0,0.4514672686230248,84000056,USA,1532.6602847719412,11.738148984198643
2263,Wyoming,US,2020-04-22 23:40:26,42.756,-107.3025,447,6,254.0,441.0,56.0,89.89622717400049,7623.0,52.0,1.342281879194631,84000056,USA,1533.0625050277529,11.6331096196868
2322,Wyoming,US,2020-04-24 03:33:00,42.756,-107.3025,453,7,275.0,446.0,56.0,91.1028879414367,7567.0,52.0,1.5452538631346575,84000056,USA,1521.8003378650146,11.479028697571746
3600,Wyoming,US,2020-04-25 06:32:46,42.756,-107.3025,473,7,321.0,466.0,56.0,95.12509049955757,8045.0,54.0,1.4799154334038056,84000056,USA,1617.9309790041027,11.416490486257928
3541,Wyoming,US,2020-04-26 02:32:45,42.756,-107.3025,491,7,321.0,484.0,56.0,98.7450728018663,8146.0,54.0,1.4256619144602851,84000056,USA,1638.2431019226126,10.9979633401222
1211,Wyoming,US,2020-04-27 02:32:46,42.756,-107.3025,502,7,334.0,495.0,56.0,100.95728420883276,8159.0,54.0,1.3944223107569722,84000056,USA,1640.8575335853916,10.756972111553784
1270,Wyoming,US,2020-04-28 02:32:46,42.756,-107.3025,520,7,342.0,513.0,56.0,104.57726651114149,8167.0,54.0,1.3461538461538465,84000056,USA,1642.4664146086398,10.384615384615383
2029,Wyoming,US,2020-04-29 02:32:33,42.756,-107.3025,536,7,343.0,529.0,56.0,107.79502855763815,8615.0,56.0,1.3059701492537314,84000056,USA,1732.5637519105462,10.447761194029852
2088,Wyoming,US,2020-04-30 02:32:31,42.756,-107.3025,545,7,362.0,538.0,56.0,109.60501970879255,9217.0,56.0,1.2844036697247707,84000056,USA,1853.6320489099828,10.275229357798166
1621,Wyoming,US,2020-05-01 02:32:32,42.756,-107.3025,559,7,371.0,181.0,56.0,112.42056149947712,9446.0,56.0,1.2522361359570662,84000056,USA,1899.6862682004667,10.01788908765653
173,Wyoming,US,2020-05-02 02:32:31,42.756,-107.3025,566,7,373.0,186.0,56.0,113.82833239481941,9695.0,56.0,1.2367491166077738,84000056,USA,1949.7626900490711,9.89399293286219
2439,Wyoming,US,2020-05-03 02:32:33,42.756,-107.3025,579,7,387.0,185.0,56.0,116.44276405759794,10029.0,58.0,1.2089810017271156,84000056,USA,2016.9334727696887,10.01727115716753
2381,Wyoming,US,2020-05-04 02:32:32,42.756,-107.3025,586,7,391.0,188.0,56.0,117.85053495294024,10219.0,60.0,1.1945392491467577,84000056,USA,2055.1443970718365,10.238907849829351
2845,Wyoming,US,2020-05-05 02:32:38,42.756,-107.3025,596,7,391.0,198.0,56.0,119.86163623200063,10454.0,60.0,1.174496644295302,84000056,USA,2102.405277129756,10.06711409395973
2903,Wyoming,US,2020-05-06 02:32:35,42.756,-107.3025,604,7,405.0,192.0,56.0,121.47051725524898,10915.0,60.0,1.1589403973509933,84000056,USA,2195.1170460944413,9.933774834437086
1737,Wyoming,US,2020-05-07 02:32:32,42.756,-107.3025,631,7,409.0,215.0,56.0,126.90049070871208,12007.0,60.0,1.109350237717908,84000056,USA,2414.7293057678385,9.508716323296355
1679,Wyoming,US,2020-05-08 02:32:36,42.756,-107.3025,635,7,416.0,212.0,56.0,127.70493122033626,12034.0,59.0,1.1023622047244095,84000056,USA,2420.159279221301,9.291338582677165
2671,Wyoming,US,2020-05-09 02:32:39,42.756,-107.3025,644,7,428.0,209.0,56.0,129.51492237149063,12038.0,60.0,1.0869565217391304,84000056,USA,2420.9637197329253,9.316770186335404
2613,Wyoming,US,2020-05-10 02:32:34,42.756,-107.3025,653,7,438.0,208.0,56.0,131.324913522645,12047.0,64.0,1.0719754977029097,84000056,USA,2422.77371088408,9.800918836140886
1447,Wyoming,US,2020-05-11 02:32:34,42.756,-107.3025,662,7,443.0,212.0,56.0,133.13490467379938,12064.0,65.0,1.0574018126888218,84000056,USA,2426.192583058483,9.818731117824774
1505,Wyoming,US,2020-05-12 03:32:31,42.756,-107.3025,669,7,443.0,219.0,56.0,134.54267556914166,12065.0,66.0,1.0463378176382658,84000056,USA,2426.3936931863886,9.865470852017935
3251,Wyoming,US,2020-05-13 03:32:30,42.756,-107.3025,675,7,477.0,191.0,56.0,135.7493363365779,15059.0,67.0,1.037037037037037,84000056,USA,3028.5174161370765,9.925925925925926
3193,Wyoming,US,2020-05-14 03:32:32,42.756,-107.3025,688,7,477.0,204.0,56.0,138.36376799935644,15059.0,67.0,1.0174418604651163,84000056,USA,3028.5174161370765,9.738372093023257
1913,Wyoming,US,2020-05-15 02:33:07,42.756,-107.3025,701,7,480.0,214.0,56.0,121.12122662455357,15430.0,67.0,0.9985734664764622,84000056,USA,2666.049253661714,9.557774607703283
